gene_id	TCGA-BH-A0DO-01B-11R-A12D-07	gene_id	TCGA-BH-A0DO-11A-22R-A12D-07
AGAP1|116987	543.0972	AGAP1|116987	799.4652
AGAP2|116986	42.8671	AGAP2|116986	72.3224
AGAP3|116988	1181.8846	AGAP3|116988	1292.5898
AGAP4|119016	245.7999	AGAP4|119016	249.809
AGAP5|729092	61.1468	AGAP5|729092	42.0206
AGAP6|414189	142.4397	AGAP6|414189	96.6387
AGAP7|653268	10.9569	AGAP7|653268	9.5493
AGAP8|728404	36.8882	AGAP8|728404	58.8235
AGA|175	576.6983	AGA|175	661.9557
AGBL2|79841	18.2615	AGBL2|79841	14.8969
AGBL3|340351	9.496	AGBL3|340351	13.369
AGBL4|84871	11.3221	AGBL4|84871	11.8411
AGBL5|60509	604.832	AGBL5|60509	930.8938
AGER|177	16.0701	AGER|177	32.0856
AGFG1|3267	1898.8313	AGFG1|3267	1782.2765
AGFG2|3268	1070.4894	AGFG2|3268	533.2315
AGGF1|55109	868.8824	AGGF1|55109	963.7128
AGK|55750	719.1381	AGK|55750	635.2177
AGL|178	2952.1549	AGL|178	1183.3461
AGMAT|79814	22.6443	AGMAT|79814	14.1329
AGPAT1|10554	1452.2717	AGPAT1|10554	1583.0481
AGPAT2|10555	901.3879	AGPAT2|10555	849.8854
AGPAT3|56894	2425.4931	AGPAT3|56894	1716.9595
AGPAT4|56895	147.9182	AGPAT4|56895	210.466
AGPAT5|55326	846.6034	AGPAT5|55326	621.8487
AGPAT6|137964	1909.0577	AGPAT6|137964	1832.3147
AGPAT9|84803	29.2184	AGPAT9|84803	122.2307
AGPHD1|123688	38.7144	AGPHD1|123688	74.1024
AGPS|8540	979.5471	AGPS|8540	1142.4752
AGR2|10551	35096.786	AGR2|10551	1776.929
AGR3|155465	2886.7787	AGR3|155465	319.7097
AGRN|375790	6358.2907	AGRN|375790	4146.6769
AGTPBP1|23287	198.6852	AGTPBP1|23287	451.4897
AGTR1|185	37.6187	AGTR1|185	231.8564
AGTRAP|57085	724.2513	AGTRAP|57085	560.7334
AGT|183	340.3944	AGT|183	26.356
AGXT2L2|85007	323.8714	AGXT2L2|85007	394.809
AHCTF1|25909	2085.8291	AHCTF1|25909	1585.9435
AHCYL1|10768	4375.0913	AHCYL1|10768	4097.4026
AHCYL2|23382	834.916	AHCYL2|23382	721.1612
AHCY|191	2532.8707	AHCY|191	3313.9801
AHDC1|27245	823.5939	AHDC1|27245	1588.6173
AHI1|54806	344.7772	AHI1|54806	500.7639
AHNAK2|113146	364.1344	AHNAK2|113146	1108.0978
AHNAK|79026	67060.263	AHNAK|79026	78166.5393
AHRR|57491	145.7268	AHRR|57491	61.8793
AHR|196	4533.6012	AHR|196	3343.0099
AHSA1|10598	1088.0205	AHSA1|10598	1235.6761
AHSA2|130872	500	AHSA2|130872	605.806
AIDA|64853	991.3221	AIDA|64853	807.8877
AIF1L|83543	482.1037	AIF1L|83543	2954.1635
AIF1|199	221.3294	AIF1|199	253.2468
AIFM1|9131	956.1724	AIFM1|9131	609.2437
AIFM2|84883	388.9701	AIFM2|84883	557.2956
AIFM3|150209	24.3097	AIFM3|150209	6.6883
AIG1|51390	983.5646	AIG1|51390	856.7609
AIM1L|55057	10.9569	lowly_expressed	lowly_expressed
AIM1|202	1411.6143	AIM1|202	3324.6753
AIM2|9447	12.4178	AIM2|9447	6.1115
AIMP1|9255	1139.1527	AIMP1|9255	1318.644
AIMP2|7965	415.0986	AIMP2|7965	239.4691
AIP|9049	607.3776	AIP|9049	586.3254
AJAP1|55966	10.2264	AJAP1|55966	16.4248
AK1|203	310.8108	AK1|203	375.0955
AK2|204	2159.6056	AK2|204	2032.0856
AK3L1|205	101.534	AK3L1|205	560.3514
AK3|50808	1282.6881	AK3|50808	1898.7777
AK5|26289	873.9956	AK5|26289	2329.6409
AK7|122481	20.8181	AK7|122481	40.4889
AKAP10|11216	490.1388	AKAP10|11216	521.7723
AKAP11|11215	1933.5281	AKAP11|11215	2199.7708
AKAP12|9590	609.9343	AKAP12|9590	1352.1772
AKAP13|11214	2523.74	AKAP13|11214	5444.2322
AKAP1|8165	1633.6742	AKAP1|8165	3219.6333
AKAP2|11217	585.6318	AKAP2|11217	1062.2956
AKAP3|10566	21.5486	AKAP3|10566	45.8365
AKAP5|9495	417.0928	AKAP5|9495	147.4408
AKAP6|9472	86.5595	AKAP6|9472	409.8549
AKAP7|9465	227.5383	AKAP7|9465	255.5386
AKAP8L|26993	911.6143	AKAP8L|26993	628.3422
AKAP8|10270	924.3974	AKAP8|10270	781.5126
AKAP9|10142	5344.0467	AKAP9|10142	3150.1146
AKD1|221264	164.7188	AKD1|221264	158.518
AKIRIN1|79647	1304.2367	AKIRIN1|79647	1117.6471
AKIRIN2|55122	543.8276	AKIRIN2|55122	758.5943
AKNA|80709	682.9803	AKNA|80709	799.8472
AKR1A1|10327	1725.7122	AKR1A1|10327	1619.9389
AKR1B10|57016	23.3747	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	9.1673
AKR1B1|231	396.2747	AKR1B1|231	890.3743
AKR1C1|1645	180.9679	AKR1C1|1645	972.0665
AKR1C2|1646	164.7188	AKR1C2|1646	899.9236
AKR1C3|8644	265.8875	AKR1C3|8644	928.9534
AKR1E2|83592	45.4748	AKR1E2|83592	39.3927
AKR7A2|8574	798.7582	AKR7A2|8574	971.7341
AKR7A3|22977	190.6501	AKR7A3|22977	84.4156
AKR7L|246181	25.2009	AKR7L|246181	16.8067
AKT1S1|84335	1199.0504	AKT1S1|84335	778.8388
AKT1|207	3830.8985	AKT1|207	2862.1085
AKT2|208	2565.011	AKT2|208	2313.5982
AKT3|10000	422.9364	AKT3|10000	920.1681
AKTIP|64400	429.8795	AKTIP|64400	628.0634
ALAD|210	1361.2126	ALAD|210	1470.2063
ALAS1|211	962.0161	ALAS1|211	895.34
ALB|213	1092.038	ALB|213	225.7448
ALCAM|214	7646.8225	ALCAM|214	3222.3071
ALDH16A1|126133	688.824	ALDH16A1|126133	401.4515
ALDH18A1|5832	2564.2805	ALDH18A1|5832	1548.1283
ALDH1A1|216	383.8568	ALDH1A1|216	998.4721
ALDH1A2|8854	50.4018	ALDH1A2|8854	239.4958
ALDH1A3|220	616.2126	ALDH1A3|220	2773.9114
ALDH1B1|219	481.00800000000004	ALDH1B1|219	462.1849
ALDH1L1|10840	59.8977	ALDH1L1|10840	183.72799999999998
ALDH1L2|160428	229.3645	ALDH1L2|160428	266.9977
ALDH2|217	1972.2425	ALDH2|217	2920.9320000000002
ALDH3A1|218	8.4003	ALDH3A1|218	42.0168
ALDH3A2|224	1366.691	ALDH3A2|224	1851.0313
ALDH3B1|221	149.0139	ALDH3B1|221	133.3079
ALDH3B2|222	8883.4916	ALDH3B2|222	1167.3033
ALDH4A1|8659	481.3733	ALDH4A1|8659	595.4927
ALDH5A1|7915	415.6318	ALDH5A1|7915	813.9801
ALDH6A1|4329	587.9145	ALDH6A1|4329	451.0313
ALDH7A1|501	1476.9905	ALDH7A1|501	3238.3499
ALDH8A1|64577	15.7049	ALDH8A1|64577	11.0772
ALDH9A1|223	4069.3937	ALDH9A1|223	4084.0336
ALDOA|226	29023.74	ALDOA|226	12616.5011
ALDOC|230	252.37400000000002	ALDOC|230	1089.3812
ALG10B|144245	363.4039	ALG10B|144245	530.9396
ALG10|84920	115.7779	ALG10|84920	149.3506
ALG11|440138	19.7224	ALG11|440138	14.1329
ALG12|79087	563.9153	ALG12|79087	491.2147
ALG13|79868	461.6508	ALG13|79868	526.356
ALG14|199857	214.3901	ALG14|199857	193.6593
ALG1|56052	728.382	ALG1|56052	443.9534
ALG2|85365	826.1505	ALG2|85365	881.971
ALG3|10195	533.2359	ALG3|10195	478.6096
ALG5|29880	567.5676	ALG5|29880	574.8663
ALG6|29929	338.9335	ALG6|29929	303.6669
ALG8|79053	1198.3199	ALG8|79053	613.0634
ALG9|79796	722.0599	ALG9|79796	697.8610000000001
ALKBH1|8846	322.8634	ALKBH1|8846	260.8862
ALKBH2|121642	280.8619	ALKBH2|121642	341.48199999999997
ALKBH3|221120	462.7465	ALKBH3|221120	511.0772
ALKBH4|54784	292.6041	ALKBH4|54784	271.2643
ALKBH5|54890	2268.4149	ALKBH5|54890	2184.2934
ALKBH6|84964	108.8386	ALKBH6|84964	61.4973
ALKBH7|84266	631.4828	ALKBH7|84266	445.7601
ALKBH8|91801	329.8028	ALKBH8|91801	376.2414
ALMS1P|200420	8.7655	ALMS1P|200420	5.7296
ALMS1|7840	976.9905	ALMS1|7840	904.5073
ALOX12P2|245	56.6107	ALOX12P2|245	24.8281
ALOX12|239	7.3629999999999995	ALOX12|239	5.7829999999999995
ALOX15B|247	293.645	ALOX15B|247	290.2979
lowly_expressed	lowly_expressed	ALOX15|246	9.9312
ALOX5AP|241	195.0329	ALOX5AP|241	211.6119
ALOX5|240	544.9233	ALOX5|240	344.1558
ALOXE3|59344	10.5917	ALOXE3|59344	29.4118
ALPK1|80216	1134.7699	ALPK1|80216	930.4813
ALPK2|115701	17.531	ALPK2|115701	10.3132
ALPK3|57538	154.8576	ALPK3|57538	173.0328
