gene_id	TCGA-E2-A158-01A-11R-A12D-07	gene_id	TCGA-E2-A158-11A-22R-A12D-07
ADPGK|83440	794.6945	ADPGK|83440	693.7086
ADPRHL1|113622	115.8427	ADPRHL1|113622	61.2883
ADPRHL2|54936	1078.5708	ADPRHL2|54936	533.4584
ADPRH|141	293.7195	ADPRH|141	487.1795
lowly_expressed	lowly_expressed	ADRA1A|148	207.6298
lowly_expressed	lowly_expressed	ADRA1B|147	90.6817
lowly_expressed	lowly_expressed	ADRA1D|146	20.0125
ADRA2A|150	12.681	ADRA2A|150	988.1176
ADRA2B|151	31.5311	ADRA2B|151	47.5297
ADRA2C|152	10.6246	ADRA2C|152	240.1501
lowly_expressed	lowly_expressed	ADRB1|153	92.5578
lowly_expressed	lowly_expressed	ADRB2|154	593.4959
lowly_expressed	lowly_expressed	ADRB3|155	8.1301
ADRBK1|156	2377.8597	ADRBK1|156	1704.1901
ADRBK2|157	261.1601	ADRBK2|157	3419.6373
ADRM1|11047	2545.7973	ADRM1|11047	1230.1438
ADSL|158	995.6302	ADSL|158	661.0381
ADSSL1|122622	43.184	ADSSL1|122622	352.0951
ADSS|159	1970.3539	ADSS|159	788.6179
AEBP1|165	1444.2636	AEBP1|165	21624.1401
AEBP2|121536	992.5456	AEBP2|121536	737.9612
AEN|64782	939.4225	AEN|64782	297.0607
AES|166	4180.6186	AES|166	6380.2376
AFAP1L1|134265	419.5013	AFAP1L1|134265	1028.1426
AFAP1L2|84632	32.9021	AFAP1L2|84632	594.7467
AFAP1|60312	917.618	AFAP1|60312	1817.0482
AFARP1|246182	11.6528	lowly_expressed	lowly_expressed
AFF1|4299	1203.3245	AFF1|4299	3409.631
lowly_expressed	lowly_expressed	AFF2|2334	146.3415
lowly_expressed	lowly_expressed	AFF3|3899	912.4453
AFF4|27125	2133.836	AFF4|27125	2812.3827
AFG3L1|172	415.0458	AFG3L1|172	212.6329
AFG3L2|10939	1333.13	AFG3L2|10939	1161.3571
AFMID|125061	569.617	AFMID|125061	280.8005
lowly_expressed	lowly_expressed	AFP|174	23.1395
AFTPH|54812	2257.5615	AFTPH|54812	1081.3008
AG2|387763	47.6394	AG2|387763	1973.1082
AGAP11|119385	330.4738	AGAP11|119385	317.0794
AGAP1|116987	290.9776	AGAP1|116987	393.9962
AGAP2|116986	96.7355	AGAP2|116986	53.4209
AGAP3|116988	3047.8965	AGAP3|116988	1277.6735
AGAP4|119016	300.9168	AGAP4|119016	168.2301
AGAP5|729092	74.8214	AGAP5|729092	42.4015
AGAP6|414189	188.5014	AGAP6|414189	99.4371
AGAP7|653268	9.5964	AGAP7|653268	6.2539
AGAP8|728404	120.6409	AGAP8|728404	39.3996
AGA|175	576.8143	AGA|175	372.1076
AGBL3|340351	9.9392	AGBL3|340351	6.2539
AGBL4|84871	9.9392	lowly_expressed	lowly_expressed
AGBL5|60509	1805.5351	AGBL5|60509	742.3452
AGER|177	39.0712	AGER|177	16.8856
AGFG1|3267	899.6658	AGFG1|3267	1753.596
AGFG2|3268	238.1972	AGFG2|3268	490.9318
AGGF1|55109	502.442	AGGF1|55109	727.3296
AGK|55750	829.4062	AGK|55750	450.2814
AGL|178	1592.6656	AGL|178	1646.0288
AGMAT|79814	76.7715	AGMAT|79814	14.384
AGPAT1|10554	2320.5826	AGPAT1|10554	2053.9337
AGPAT2|10555	288.9213	AGPAT2|10555	5985.616
AGPAT3|56894	2642.1044	AGPAT3|56894	2357.0982
AGPAT4|56895	35.6439	AGPAT4|56895	278.2989
AGPAT5|55326	1009.3394	AGPAT5|55326	360.8505
AGPAT6|137964	1795.9044	AGPAT6|137964	1854.9093
AGPAT9|84803	11.9955	AGPAT9|84803	283.9275
AGPHD1|123688	152.8575	AGPHD1|123688	68.1676
AGPS|8540	691.6288	AGPS|8540	1342.7142
AGR2|10551	47.2967	AGR2|10551	233.2708
lowly_expressed	lowly_expressed	AGR3|155465	41.9012
AGRN|375790	6556.0792	AGRN|375790	2720.4503
