gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
ADAMTS9|56999	211.0761	ADAMTS9|56999	779.8574
ADAMTSL1|92949	272.5817	ADAMTSL1|92949	200.5348
ADAMTSL2|9719	207.232	ADAMTSL2|9719	36.5419
ADAMTSL3|57188	502.5288	ADAMTSL3|57188	115.4189
ADAMTSL4|54507	455.3512	ADAMTSL4|54507	1186.7201
ADAMTSL5|339366	56.2637	ADAMTSL5|339366	36.5419
ADAP1|11033	193.7741	ADAP1|11033	101.3547
ADAP2|55803	300.5388	ADAP2|55803	238.4135
ADARB1|104	883.0948	ADARB1|104	774.9554
ADAR|103	10165.5497	ADAR|103	6471.0339
ADAT1|23536	255.1085	ADAT1|23536	290.9982
ADAT2|134637	46.4787	ADAT2|134637	166.221
ADAT3|113179	13.6291	ADAT3|113179	20.9447
ADA|100	174.0329	ADA|100	91.8004
ADCK1|57143	179.2749	ADCK1|57143	152.4064
ADCK2|90956	1368.1504	ADCK2|90956	692.5134
ADCK4|79934	911.0519	ADCK4|79934	516.934
ADCK5|203054	153.4146	ADCK5|203054	79.7683
ADCY1|107	846.4011	ADCY1|107	417.1123
ADCY2|108	180.6727	ADCY2|108	131.4617
ADCY3|109	484.3392	ADCY3|109	1644.7103
ADCY4|196883	106.5864	ADCY4|196883	531.6399
ADCY5|111	78.2799	ADCY5|111	563.7255
ADCY6|112	1773.5283	ADCY6|112	2956.328
ADCY7|113	553.5505	ADCY7|113	448.3066
ADCY9|115	1368.8493	ADCY9|115	800.8021
lowly_expressed	lowly_expressed	ADCYAP1R1|117	10.6952
lowly_expressed	lowly_expressed	ADCYAP1|116	8.9127
ADC|113451	110.78	ADC|113451	123.8859
ADD1|118	5563.4622	ADD1|118	5703.2086
ADD2|119	6.2903	ADD2|119	68.1818
ADD3|120	1576.7802	ADD3|120	2131.016
lowly_expressed	lowly_expressed	ADH1A|124	271.4394
lowly_expressed	lowly_expressed	ADH1B|125	28120.7665
lowly_expressed	lowly_expressed	ADH1C|126	247.7718
lowly_expressed	lowly_expressed	ADH4|127	32.9768
ADH5|128	1109.8967	ADH5|128	2792.3351
ADHFE1|137872	15.3764	ADHFE1|137872	216.1319
ADI1|55256	1931.8354	ADI1|55256	1227.2727
lowly_expressed	lowly_expressed	ADIPOQ|9370	20282.9768
ADIPOR1|51094	9340.8154	ADIPOR1|51094	1961.6756
ADIPOR2|79602	5416.6874	ADIPOR2|79602	2377.0053
ADK|132	334.4368	ADK|132	344.0285
ADM2|79924	236.2375	ADM2|79924	112.2995
ADM|133	351.91	ADM|133	780.303
ADNP2|22850	1025.676	ADNP2|22850	786.0963
ADNP|23394	3738.9122	ADNP|23394	2692.0677
ADORA1|134	210.3771	ADORA1|134	365.8645
ADORA2A|135	530.4859	ADORA2A|135	60.6061
ADORA2B|136	21.6667	ADORA2B|136	109.18
ADORA3|140	384.0606	ADORA3|140	134.1355
ADO|84890	640.9164	ADO|84890	621.6578
ADPGK|83440	642.7511	ADPGK|83440	772.2816
ADPRHL1|113622	77.9304	ADPRHL1|113622	82.4421
ADPRHL2|54936	883.0948	ADPRHL2|54936	626.5597
ADPRH|141	302.2861	ADPRH|141	416.221
lowly_expressed	lowly_expressed	ADRA1A|148	15.1515
ADRA1B|147	29.7044	ADRA1B|147	26.2923
ADRA1D|146	5.242	ADRA1D|146	13.369
ADRA2A|150	183.8179	ADRA2A|150	822.6381
ADRA2B|151	32.1507	ADRA2B|151	35.6506
ADRA2C|152	102.0434	ADRA2C|152	79.7683
lowly_expressed	lowly_expressed	ADRB1|153	42.3351
ADRB2|154	16.0753	ADRB2|154	410.8734
ADRBK1|156	2194.6321	ADRBK1|156	1653.2977
ADRBK2|157	545.1634	ADRBK2|157	1492.8699
ADRM1|11047	1654.7106	ADRM1|11047	1211.6756
ADSL|158	622.7443	ADSL|158	775.4011
ADSSL1|122622	196.7481	ADSSL1|122622	121.2121
ADSS|159	941.8047	ADSS|159	1337.7897
AEBP1|165	32054.9077	AEBP1|165	5368.5383
AEBP2|121536	509.8675	AEBP2|121536	824.8663
AEN|64782	620.2981	AEN|64782	814.6168
AES|166	4912.7608	AES|166	4941.1765
AFAP1L1|134265	273.9795	AFAP1L1|134265	670.2317
AFAP1L2|84632	463.7383	AFAP1L2|84632	883.2442
AFAP1|60312	1765.4277	AFAP1|60312	1519.1533
AFF1|4299	1062.3697	AFF1|4299	2709.4474
