gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
lowly_expressed	lowly_expressed	ADH4|127	40.9298
ADH5|128	1743.025	ADH5|128	3341.5867
lowly_expressed	lowly_expressed	ADH6|130	6.569
ADHFE1|137872	58.2477	ADHFE1|137872	291.0561
ADI1|55256	1083.7004	ADI1|55256	1639.717
ADIPOQ|9370	89.5742	ADIPOQ|9370	2603.335
ADIPOR1|51094	3458.6393	ADIPOR1|51094	2251.1369
ADIPOR2|79602	3837.4939	ADIPOR2|79602	1959.0702
ADK|132	265.2961	ADK|132	400.2021
ADM2|79924	423.8864	ADM2|79924	67.711
ADM|133	82.7215	ADM|133	640.7276
ADNP2|22850	812.5306	ADNP2|22850	627.5897
ADNP|23394	3432.697	ADNP|23394	2620.0101
ADORA1|134	33.7739	ADORA1|134	189.9949
ADORA2A|135	171.3167	ADORA2A|135	104.093
ADORA2B|136	25.9422	ADORA2B|136	104.093
ADORA3|140	212.9222	ADORA3|140	139.4644
ADO|84890	690.1615	ADO|84890	827.1854
ADPGK|83440	821.5027	ADPGK|83440	1009.8029
ADPRHL1|113622	39.6476	ADPRHL1|113622	72.764
ADPRHL2|54936	656.3877	ADPRHL2|54936	504.2951
ADPRH|141	125.7954	ADPRH|141	390.096
lowly_expressed	lowly_expressed	ADRA1A|148	7.5796
ADRA1B|147	36.7107	ADRA1B|147	24.2547
lowly_expressed	lowly_expressed	ADRA1D|146	7.0743
ADRA2A|150	65.5898	ADRA2A|150	834.765
lowly_expressed	lowly_expressed	ADRA2B|151	56.0889
ADRA2C|152	20.558	ADRA2C|152	58.1102
lowly_expressed	lowly_expressed	ADRB1|153	24.76
ADRB2|154	45.5213	ADRB2|154	283.4765
ADRBK1|156	2901.6153	ADRBK1|156	1759.9798
ADRBK2|157	755.7513	ADRBK2|157	1237.999
ADRM1|11047	1147.3324	ADRM1|11047	830.2173
ADSL|158	933.9207	ADSL|158	707.428
ADSSL1|122622	93.49	ADSSL1|122622	92.9763
ADSS|159	975.0367	ADSS|159	1264.7802
AEBP1|165	4130.6902	AEBP1|165	9125.8211
AEBP2|121536	628.977	AEBP2|121536	881.7585
AEN|64782	315.2227	AEN|64782	476.5033
AES|166	8255.5066	AES|166	5384.5376
AFAP1L1|134265	240.8223	AFAP1L1|134265	569.4795
AFAP1L2|84632	262.3593	AFAP1L2|84632	1129.8636
AFAP1|60312	490.4552	AFAP1|60312	1257.1804
AFARP1|246182	7.8316	lowly_expressed	lowly_expressed
AFF1|4299	2563.8767	AFF1|4299	2747.8525
AFF2|2334	9.7895	AFF2|2334	134.4113
AFF3|3899	8740.0881	AFF3|3899	2081.8595
AFF4|27125	3958.884	AFF4|27125	3600.8085
AFG3L1|172	318.1596	AFG3L1|172	292.0667
AFG3L2|10939	1501.537	AFG3L2|10939	1095.0834
AFMID|125061	1896.7205	AFMID|125061	2516.4224
AFP|174	62.653	AFP|174	175.3411
AFTPH|54812	2617.719	AFTPH|54812	1673.0672
AG2|387763	250.1224	AG2|387763	254.1688
AGAP11|119385	152.232	AGAP11|119385	197.0793
AGAP1|116987	379.3441	AGAP1|116987	434.5629
AGAP2|116986	69.6231	AGAP2|116986	69.7827
AGAP3|116988	2090.5531	AGAP3|116988	1167.7615
AGAP4|119016	209.0064	AGAP4|119016	242.0414
AGAP5|729092	58.6931	AGAP5|729092	73.9565
AGAP6|414189	107.6848	AGAP6|414189	131.3795
AGAP7|653268	32.7949	AGAP7|653268	44.4669
AGAP8|728404	26.4317	AGAP8|728404	15.6645
AGA|175	515.908	AGA|175	573.522
AGBL2|79841	13.2159	AGBL2|79841	17.1804
AGBL3|340351	6.8527	AGBL3|340351	7.0743
AGBL4|84871	23.0054	lowly_expressed	lowly_expressed
AGBL5|60509	957.4351	AGBL5|60509	580.6316
AGER|177	22.0264	AGER|177	71.2481
AGFG1|3267	1618.698	AGFG1|3267	1711.9757
AGFG2|3268	704.8458	AGFG2|3268	530.0657
AGGF1|55109	960.3524	AGGF1|55109	1017.1804
AGK|55750	569.7504	AGK|55750	519.4543
AGL|178	997.0631	AGL|178	1004.5478
AGMAT|79814	13.7053	AGMAT|79814	11.622
AGPAT1|10554	2425.8639	AGPAT1|10554	1897.3168
AGPAT2|10555	834.0675	AGPAT2|10555	643.7595
AGPAT3|56894	3557.024	AGPAT3|56894	2156.1395
AGPAT4|56895	44.0529	AGPAT4|56895	352.1981
AGPAT5|55326	1208.5169	AGPAT5|55326	953.0066
AGPAT6|137964	1831.1307	AGPAT6|137964	1465.3866
AGPAT9|84803	46.9897	AGPAT9|84803	214.2496
AGPHD1|123688	6.8527	AGPHD1|123688	56.0889
AGPS|8540	1545.766	AGPS|8540	1419.909
AGR2|10551	587.3715	AGR2|10551	3600.3032
AGR3|155465	9.3	AGR3|155465	439.616
AGRN|375790	5476.7499	AGRN|375790	3023.7494
AGTPBP1|23287	275.5751	AGTPBP1|23287	431.5311
AGTR1|185	54.8213	AGTR1|185	288.5296
AGTRAP|57085	611.8453	AGTRAP|57085	756.4426
AGT|183	150.2692	AGT|183	72.2587
AGXT2L2|85007	454.0969	AGXT2L2|85007	531.1925
AHCTF1|25909	1372.002	AHCTF1|25909	1334.0071
AHCYL1|10768	8513.4606	AHCYL1|10768	3883.2744
AHCYL2|23382	1109.6427	AHCYL2|23382	712.9864
AHCY|191	2956.9261	AHCY|191	2225.8717
AHDC1|27245	1578.0715	AHDC1|27245	1034.3608
AHI1|54806	712.6774	AHI1|54806	482.567
AHNAK2|113146	295.6437	AHNAK2|113146	1171.2986
AHNAK|79026	33845.3255	AHNAK|79026	61865.5887
AHRR|57491	39.1581	AHRR|57491	49.52
AHR|196	810.0832	AHR|196	5166.7509
AHSA1|10598	1661.2824	AHSA1|10598	1433.5523
AHSA2|130872	383.2599	AHSA2|130872	651.3391
AIDA|64853	868.3847	AIDA|64853	1144.5932
AIF1L|83543	300.5384	AIF1L|83543	1823.6483
AIF1|199	589.8189	AIF1|199	771.6018
AIFM1|9131	1084.6794	AIFM1|9131	724.6084
AIFM2|84883	149.2903	AIFM2|84883	380.4952
AIFM3|150209	69.0162	AIFM3|150209	23.0622
AIG1|51390	1401.86	AIG1|51390	886.8115
AIM1|202	459.6182	AIM1|202	3663.9717
AIM2|9447	31.3265	AIM2|9447	13.6433
AIMP1|9255	1300.1566	AIMP1|9255	1087.3067
AIMP2|7965	453.6515	AIMP2|7965	233.7898
AIP|9049	1093.9794	AIP|9049	769.5806
AJAP1|55966	96.9163	AJAP1|55966	16.1698
AK1|203	668.1351	AK1|203	497.2208
AK2|204	1993.6368	AK2|204	1782.2132
AK3L1|205	233.4802	AK3L1|205	398.1809
AK3|50808	1321.5859	AK3|50808	1806.4679
AK5|26289	640.7244	AK5|26289	2302.1728
AK7|122481	40.6265	AK7|122481	54.0677
AKAP10|11216	614.7822	AKAP10|11216	587.1652
AKAP11|11215	1716.5932	AKAP11|11215	2275.3916
AKAP12|9590	316.6911	AKAP12|9590	1970.187
AKAP13|11214	2014.6843	AKAP13|11214	3381.5058
AKAP1|8165	953.9892	AKAP1|8165	1719.5553
AKAP2|11217	421.1258	AKAP2|11217	1451.8343
AKAP3|10566	14.1948	AKAP3|10566	44.9722
AKAP5|9495	377.8757	AKAP5|9495	163.2137
AKAP6|9472	59.2266	AKAP6|9472	148.0546
AKAP7|9465	84.1899	AKAP7|9465	201.1117
AKAP8L|26993	718.0617	AKAP8L|26993	492.6731
AKAP8|10270	594.7137	AKAP8|10270	529.5604
AKAP9|10142	2707.7827	AKAP9|10142	2555.8363
AKD1|221264	311.3069	AKD1|221264	158.1607
AKIRIN1|79647	1137.5428	AKIRIN1|79647	1329.9646
AKIRIN2|55122	738.6197	AKIRIN2|55122	652.3497
AKNAD1|254268	5.3842	lowly_expressed	lowly_expressed
AKNA|80709	691.1405	AKNA|80709	774.6337
AKR1A1|10327	1820.3622	AKR1A1|10327	3248.1051
lowly_expressed	lowly_expressed	AKR1B10|57016	13.6433
lowly_expressed	lowly_expressed	AKR1B15|441282	1807.4785
AKR1B1|231	650.514	AKR1B1|231	1246.0839
AKR1C1|1645	24.4738	AKR1C1|1645	1052.0465
AKR1C2|1646	19.0896	AKR1C2|1646	2594.2395
AKR1C3|8644	569.7504	AKR1C3|8644	1169.7827
lowly_expressed	lowly_expressed	AKR1D1|6718	248.6104
AKR1E2|83592	23.9843	AKR1E2|83592	53.5624
AKR7A2|8574	4167.4009	AKR7A2|8574	1054.573
AKR7A3|22977	5406.7548	AKR7A3|22977	275.8969
AKR7L|246181	160.0587	AKR7L|246181	20.2122
AKT1S1|84335	1127.2638	AKT1S1|84335	627.5897
AKT1|207	4799.3147	AKT1|207	2693.7847
AKT2|208	2900.6363	AKT2|208	1857.5038
AKT3|10000	264.8067	AKT3|10000	1283.9818
AKTIP|64400	675.115	AKTIP|64400	681.8393
ALAD|210	1166.4219	ALAD|210	1493.6837
ALAS1|211	1127.2638	ALAS1|211	965.1339
ALB|213	57.7582	ALB|213	4537.14
ALCAM|214	14713.1669	ALCAM|214	6756.4426
ALDH16A1|126133	469.4077	ALDH16A1|126133	381.0005
ALDH18A1|5832	2659.3245	ALDH18A1|5832	1551.2885
ALDH1A1|216	184.0431	ALDH1A1|216	2459.3229
ALDH1A2|8854	13.7053	ALDH1A2|8854	304.6993
ALDH1A3|220	109.7112	ALDH1A3|220	1790.8944
ALDH1B1|219	313.7543	ALDH1B1|219	504.2951
lowly_expressed	lowly_expressed	ALDH1L1|10840	135.4219
ALDH1L2|160428	95.4479	ALDH1L2|160428	453.2592
ALDH2|217	609.8874	ALDH2|217	2319.3532
lowly_expressed	lowly_expressed	ALDH3A1|218	26.2759
ALDH3A2|224	766.5198	ALDH3A2|224	1959.0702
ALDH3B1|221	200.1958	ALDH3B1|221	351.6928
ALDH3B2|222	3418.0127	ALDH3B2|222	5752.9055
ALDH4A1|8659	432.69699999999995	ALDH4A1|8659	1480.5457
ALDH5A1|7915	657.8561	ALDH5A1|7915	458.3123
ALDH6A1|4329	463.6662	ALDH6A1|4329	600.384
ALDH7A1|501	1756.2408	ALDH7A1|501	1998.9894
ALDH8A1|64577	5.8737	ALDH8A1|64577	5.5584
ALDH9A1|223	2253.0592	ALDH9A1|223	2682.1627
ALDOA|226	47842.3886	ALDOA|226	12505.3057
ALDOC|230	967.6946	ALDOC|230	555.8363
ALG10B|144245	436.1233	ALG10B|144245	465.8919
ALG10|84920	94.4689	ALG10|84920	112.1779
ALG11|440138	13.7053	ALG11|440138	14.6539
ALG12|79087	827.2149	ALG12|79087	443.1531
ALG13|79868	423.8864	ALG13|79868	514.9065
ALG14|199857	187.9589	ALG14|199857	160.1819
ALG1|56052	732.8243	ALG1|56052	447.1602
ALG2|85365	1011.258	ALG2|85365	1016.1698
ALG3|10195	661.2824	ALG3|10195	499.7473
ALG5|29880	653.9403	ALG5|29880	540.1718
ALG6|29929	277.0436	ALG6|29929	278.9288
ALG8|79053	549.1924	ALG8|79053	678.6256
ALG9|79796	558.0029	ALG9|79796	591.2077
ALKBH1|8846	261.8698	ALKBH1|8846	234.9672
ALKBH2|121642	202.6432	ALKBH2|121642	181.4047
ALKBH3|221120	290.2594	ALKBH3|221120	292.0667
ALKBH4|54784	299.5448	ALKBH4|54784	183.2542
ALKBH5|54890	3230.9936	ALKBH5|54890	2261.6675
ALKBH6|84964	152.7166	ALKBH6|84964	79.8383
ALKBH7|84266	556.045	ALKBH7|84266	345.6291
ALKBH8|91801	361.2335	ALKBH8|91801	291.0561
lowly_expressed	lowly_expressed	ALK|238	21.7281
lowly_expressed	lowly_expressed	ALMS1P|200420	6.0637
ALMS1|7840	807.6358	ALMS1|7840	588.6812
