gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
ACVR2A|92	222.2222	ACVR2A|92	526.7849
ACVR2B|93	543.1548	ACVR2B|93	277.2
ACVRL1|94	285.4663	ACVRL1|94	1632.0895
ACY1|95	756.4162	ACY1|95	743.798
ACYP1|97	79.1171	ACYP1|97	33.2081
ACYP2|98	21.8254	ACYP2|98	269.8593
ADAL|161823	216.5179	ADAL|161823	336.2755
ADAM10|102	2883.4325	ADAM10|102	1296.8627
ADAM11|4185	5.9524	lowly_expressed	lowly_expressed
ADAM12|8038	3571.9246	ADAM12|8038	1315.0398
ADAM15|8751	7026.4534	ADAM15|8751	4548.503
ADAM17|6868	647.8175	ADAM17|6868	669.0553
ADAM19|8728	667.6587	ADAM19|8728	164.6421
lowly_expressed	lowly_expressed	ADAM21|8747	5.2434
ADAM22|53616	104.4147	ADAM22|53616	384.165
ADAM23|8745	29.2659	ADAM23|8745	68.1639
ADAM28|10863	29.5139	ADAM28|10863	8.3894
ADAM32|203102	33.2341	ADAM32|203102	41.2479
ADAM33|80332	9.9206	ADAM33|80332	332.0807
ADAM6|8755	3980.4043	ADAM6|8755	844.74
ADAM8|101	305.5556	ADAM8|101	44.0444
ADAM9|8754	4194.9405	ADAM9|8754	2679.0177
ADAMTS10|81794	125.496	ADAMTS10|81794	365.9879
ADAMTS12|81792	543.1548	ADAMTS12|81792	698.4182
ADAMTS13|11093	115.0794	ADAMTS13|11093	56.9781
ADAMTS14|140766	392.3611	ADAMTS14|140766	18.5266
ADAMTS15|170689	359.871	ADAMTS15|170689	887.5295
ADAMTS16|170690	101.4385	ADAMTS16|170690	345.0144
ADAMTS17|170691	39.4345	ADAMTS17|170691	25.5178
ADAMTS18|170692	7.1925	ADAMTS18|170692	743.5113
ADAMTS1|9510	174.6032	ADAMTS1|9510	2076.3786
ADAMTS2|9509	618.3036	ADAMTS2|9509	1109.8488
ADAMTS3|9508	21.5774	ADAMTS3|9508	134.9297
ADAMTS4|9507	376.9841	ADAMTS4|9507	325.4391
ADAMTS5|11096	132.1925	ADAMTS5|11096	2420.6939
ADAMTS6|11174	90.0298	ADAMTS6|11174	50.3365
ADAMTS7|11173	150.7937	ADAMTS7|11173	313.2046
ADAMTS8|11095	8.4325	ADAMTS8|11095	9.0885
ADAMTS9|56999	105.9028	ADAMTS9|56999	1490.1687
ADAMTSL1|92949	113.0952	ADAMTSL1|92949	358.6472
ADAMTSL2|9719	127.4802	ADAMTSL2|9719	103.8189
ADAMTSL3|57188	83.3333	ADAMTSL3|57188	879.1401
ADAMTSL4|54507	119.0476	ADAMTSL4|54507	1299.6592
ADAMTSL5|339366	63.7401	ADAMTSL5|339366	26.5665
ADAP1|11033	246.4633	ADAP1|11033	84.2157
ADAP2|55803	162.4504	ADAP2|55803	435.8997
ADARB1|104	230.4067	ADARB1|104	1046.9283
ADAR|103	22233.1349	ADAR|103	6682.5133
ADAT1|23536	568.2044	ADAT1|23536	366.3375
ADAT2|134637	21.8254	ADAT2|134637	113.257
ADAT3|113179	12.6488	ADAT3|113179	9.0885
ADA|100	71.9246	ADA|100	205.5405
ADCK1|57143	144.5933	ADCK1|57143	202.3945
ADCK2|90956	1119.0476	ADCK2|90956	434.851
ADCK4|79934	655.2579	ADCK4|79934	344.3153
ADCK5|203054	147.5694	ADCK5|203054	51.3851
ADCY10|55811	17.8571	lowly_expressed	lowly_expressed
