gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
AKR1A1|10327	2908.6181	AKR1A1|10327	1599.1683
AKR1B1|231	747.8176	AKR1B1|231	684.9335
AKR1C1|1645	64.6414	AKR1C1|1645	156.0229
AKR1C2|1646	36.0216	AKR1C2|1646	109.0072
AKR1C3|8644	438.4269	AKR1C3|8644	286.3295
AKR1E2|83592	24.919	AKR1E2|83592	67.3379
AKR7A2|8574	1035.4967	AKR7A2|8574	682.5574
AKR7A3|22977	672.3203	AKR7A3|22977	113.1655
AKR7L|246181	66.1218	AKR7L|246181	32.0784
AKT1S1|84335	694.0319999999999	AKT1S1|84335	525.1355
AKT1|207	3456.59	AKT1|207	2282.3197
AKT2|208	1807.7398	AKT2|208	1559.3673
AKT3|10000	612.8601	AKT3|10000	860.1767
AKTIP|64400	393.7897	AKTIP|64400	603.3445
ALAD|210	1105.3193	ALAD|210	1427.4894
ALAS1|211	1779.6134	ALAS1|211	785.6241
ALAS2|212	6.4148	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALB|213	36.8308
ALCAM|214	15430.0599	ALCAM|214	6110.9378
ALDH16A1|126133	653.3227	ALDH16A1|126133	426.8211
ALDH18A1|5832	2559.7517	ALDH18A1|5832	1686.7899
ALDH1A1|216	736.9618	ALDH1A1|216	999.4802
ALDH1A2|8854	325.4277	ALDH1A2|8854	153.2635
ALDH1A3|220	667.3908	ALDH1A3|220	4762.2188
ALDH1B1|219	1197.8404	ALDH1B1|219	435.7318
lowly_expressed	lowly_expressed	ALDH1L1|10840	68.6122
ALDH1L2|160428	653.3227	ALDH1L2|160428	195.4407
ALDH2|217	1388.8041	ALDH2|217	1314.6209
lowly_expressed	lowly_expressed	ALDH3A1|218	35.3457
ALDH3A2|224	1806.0128	ALDH3A2|224	1668.9686
ALDH3B1|221	433.2457	ALDH3B1|221	152.9665
ALDH3B2|222	2499.0578	ALDH3B2|222	1284.3246
ALDH4A1|8659	514.1708	ALDH4A1|8659	335.6353
ALDH5A1|7915	374.2789	ALDH5A1|7915	629.3904
ALDH6A1|4329	663.5469	ALDH6A1|4329	620.5807
ALDH7A1|501	1934.8022	ALDH7A1|501	2702.0123
lowly_expressed	lowly_expressed	ALDH8A1|64577	7.1285
ALDH9A1|223	2424.3007	ALDH9A1|223	4908.5914
ALDOA|226	19614.4829	ALDOA|226	8362.0702
ALDOC|230	56.4996	ALDOC|230	524.5415
ALG10B|144245	403.6389	ALG10B|144245	482.0673
ALG10|84920	181.5882	ALG10|84920	146.135
ALG11|440138	13.0763	ALG11|440138	8.9107
ALG12|79087	447.0622	ALG12|79087	388.8023
ALG13|79868	477.1624	ALG13|79868	620.1827
ALG14|199857	226.9852	ALG14|199857	161.5802
lowly_expressed	lowly_expressed	ALG1L|200810	5.489
ALG1|56052	630.9597	ALG1|56052	395.9961
ALG2|85365	654.0628	ALG2|85365	730.675
ALG3|10195	619.2749	ALG3|10195	403.6534
ALG5|29880	954.5715	ALG5|29880	738.9916
ALG6|29929	489.4985	ALG6|29929	449.6918
ALG8|79053	1096.9307	ALG8|79053	787.1092
ALG9|79796	648.6349	ALG9|79796	565.8276
