gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
ADAMTSL4|54507	194.8239	ADAMTSL4|54507	246.9764
ADAMTSL5|339366	105.3199	ADAMTSL5|339366	69.5947
ADAP1|11033	108.4687	ADAP1|11033	54.1587
ADAP2|55803	179.3674	ADAP2|55803	219.8175
ADARB1|104	539.5399	ADARB1|104	636.9616
ADAR|103	28138.7491	ADAR|103	13566.306
ADAT1|23536	507.5485	ADAT1|23536	424.9947
ADAT2|134637	109.6334	ADAT2|134637	213.4522
ADAT3|113179	11.862	ADAT3|113179	10.3968
ADA|100	214.9533	ADA|100	66.4121
ADCK1|57143	76.2042	ADCK1|57143	116.6985
ADCK2|90956	664.6298	ADCK2|90956	489.7093
ADCK4|79934	841.4809	ADCK4|79934	402.2915
ADCK5|203054	86.6283	ADCK5|203054	58.5614
ADCY10|55811	5.3918	ADCY10|55811	5.5167
ADCY1|107	557.1531	ADCY1|107	1828.1349
ADCY2|108	221.064	ADCY2|108	121.7908
ADCY3|109	1369.2308	ADCY3|109	801.9796
ADCY4|196883	190.5104	ADCY4|196883	352.6416
ADCY5|111	364.8454	ADCY5|111	362.1897
ADCY6|112	1489.2164	ADCY6|112	2314.6616
ADCY7|113	368.7994	ADCY7|113	392.5313
ADCY9|115	1456.1467	ADCY9|115	1042.2236
ADCYAP1R1|117	11.862	ADCYAP1R1|117	35.4339
ADCYAP1|116	449.6765	ADCYAP1|116	259.2828
ADC|113451	101.0065	ADC|113451	155.1029
ADD1|118	5537.7426	ADD1|118	4950.9866
ADD2|119	51.7613	ADD2|119	53.0448
ADD3|120	1864.8454	ADD3|120	4392.1069
ADH1A|124	10.0647	ADH1A|124	93.571
ADH1B|125	812.7247	ADH1B|125	8856.3548
ADH1C|126	35.2265	ADH1C|126	215.5739
lowly_expressed	lowly_expressed	ADH4|127	5.5167
ADH5|128	1869.8778	ADH5|128	3048.3768
ADHFE1|137872	36.6643	ADHFE1|137872	221.9393
ADI1|55256	1342.5593	ADI1|55256	1345.2154
ADIPOQ|9370	419.8418	ADIPOQ|9370	9320.8148
ADIPOR1|51094	5059.6693	ADIPOR1|51094	2756.2062
ADIPOR2|79602	3920.9202	ADIPOR2|79602	2718.4384
ADK|132	267.4335	ADK|132	423.9338
ADM2|79924	278.2171	ADM2|79924	93.1466
ADM|133	75.1258	ADM|133	244.8547
ADNP2|22850	973.4004	ADNP2|22850	1064.9268
ADNP|23394	5283.2495	ADNP|23394	4240.3989
ADORA1|134	192.3077	ADORA1|134	160.8317
ADORA2A|135	645.5643	ADORA2A|135	51.7632
ADORA2B|136	48.1668	ADORA2B|136	45.1941
ADORA3|140	39.1804	ADORA3|140	30.766
ADO|84890	716.7505	ADO|84890	930.6174
ADPGK|83440	774.2487	ADPGK|83440	881.7059
ADPRHL1|113622	75.1258	ADPRHL1|113622	58.5614
ADPRHL2|54936	634.7951	ADPRHL2|54936	464.0356
ADPRH|141	221.4234	ADPRH|141	300.6578
lowly_expressed	lowly_expressed	ADRA1A|148	37.7679
ADRA1B|147	5.3918	ADRA1B|147	9.7602
ADRA2A|150	295.8303	ADRA2A|150	602.5886
lowly_expressed	lowly_expressed	ADRA2B|151	8.4872
ADRA2C|152	73.3285	ADRA2C|152	29.2807
ADRB1|153	13.6592	ADRB1|153	28.8564
ADRB2|154	29.8347	ADRB2|154	190.3246
ADRBK1|156	1237.2394	ADRBK1|156	1298.9603
ADRBK2|157	1480.2301	ADRBK2|157	1375.1326
ADRM1|11047	1437.4551	ADRM1|11047	584.5534
ADSL|158	691.2293	ADSL|158	611.7123
ADSSL1|122622	63.2638	ADSSL1|122622	92.9344
ADSS|159	3292.2358	ADSS|159	2418.6293
AEBP1|165	5748.7419	AEBP1|165	2506.2593
AEBP2|121536	921.6391	AEBP2|121536	1095.4806
AEN|64782	855.8591	AEN|64782	623.17
AES|166	3233.2854	AES|166	3644.8122
AFAP1L1|134265	212.7965	AFAP1L1|134265	336.9404
AFAP1L2|84632	181.5241	AFAP1L2|84632	423.2973
