gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
ADAMDEC1|27299	577.7083	ADAMDEC1|27299	6.7749
ADAMTS10|81794	35.9818	ADAMTS10|81794	327.1311
ADAMTS12|81792	215.3912	ADAMTS12|81792	79.8471
ADAMTS13|11093	19.9899	ADAMTS13|11093	90.4934
ADAMTS14|140766	142.4281	ADAMTS14|140766	81.2988
ADAMTS15|170689	79.4599	ADAMTS15|170689	277.2871
lowly_expressed	lowly_expressed	ADAMTS16|170690	346.004
ADAMTS17|170691	9.995	ADAMTS17|170691	35.3263
lowly_expressed	lowly_expressed	ADAMTS18|170692	56.6188
ADAMTS1|9510	510.2423	ADAMTS1|9510	2323.792
ADAMTS2|9509	941.5245	ADAMTS2|9509	978.4897
ADAMTS3|9508	53.473	ADAMTS3|9508	141.7891
ADAMTS4|9507	499.2479	ADAMTS4|9507	144.6926
ADAMTS5|11096	203.897	ADAMTS5|11096	1346.7541
ADAMTS6|11174	31.4841	ADAMTS6|11174	43.553
ADAMTS7|11173	245.8758	ADAMTS7|11173	165.5012
ADAMTS8|11095	48.9753	ADAMTS8|11095	64.8455
ADAMTS9|56999	193.4023	ADAMTS9|56999	406.4942
ADAMTSL1|92949	113.4427	ADAMTSL1|92949	535.7013
ADAMTSL2|9719	78.9601	ADAMTSL2|9719	119.0447
lowly_expressed	lowly_expressed	ADAMTSL3|57188	220.1844
ADAMTSL4|54507	402.7966	ADAMTSL4|54507	2545.4281
ADAMTSL5|339366	25.4871	ADAMTSL5|339366	51.2957
ADAP1|11033	229.5491	ADAP1|11033	291.3209
ADAP2|55803	762.6149	ADAP2|55803	964.9399
ADARB1|104	760.6159	ADARB1|104	812.0206
ADAR|103	16794.019	ADAR|103	4902.1268
ADAT1|23536	386.3049	ADAT1|23536	135.4981
ADAT2|134637	107.9455	ADAT2|134637	195.9883
ADAT3|113179	25.4871	ADAT3|113179	33.8745
ADA|100	216.8905	ADA|100	299.0636
ADCK1|57143	320.3382	ADCK1|57143	319.3883
ADCK2|90956	828.0818	ADCK2|90956	929.1297
ADCK4|79934	473.261	ADCK4|79934	654.2621
ADCK5|203054	102.948	ADCK5|203054	166.953
ADCY1|107	86.9561	ADCY1|107	176.1475
lowly_expressed	lowly_expressed	ADCY2|108	81.2988
ADCY3|109	2564.5949	ADCY3|109	2287.3914
ADCY4|196883	65.4669	ADCY4|196883	872.0269
lowly_expressed	lowly_expressed	ADCY5|111	405.0425
ADCY6|112	930.0303	ADCY6|112	2742.3843
ADCY7|113	991.999	ADCY7|113	1201.0937
lowly_expressed	lowly_expressed	ADCY8|114	26.6157
ADCY9|115	273.8617	ADCY9|115	688.6206
lowly_expressed	lowly_expressed	ADCYAP1R1|117	8.2267
ADC|113451	87.4558	ADC|113451	123.4
ADD1|118	3685.139	ADD1|118	7220.5957
ADD2|119	22.9884	ADD2|119	86.622
ADD3|120	1498.2434	ADD3|120	2391.0571
lowly_expressed	lowly_expressed	ADH1A|124	197.7933
lowly_expressed	lowly_expressed	ADH1B|125	27177.0428
lowly_expressed	lowly_expressed	ADH1C|126	451.4989
lowly_expressed	lowly_expressed	ADH4|127	30.0031
ADH5|128	1758.1122	ADH5|128	3751.845
lowly_expressed	lowly_expressed	ADHFE1|137872	310.6777
ADI1|55256	2432.7715	ADI1|55256	1878.584
lowly_expressed	lowly_expressed	ADIPOQ|9370	15618.5729
ADIPOR1|51094	1613.6851	ADIPOR1|51094	2161.1943
ADIPOR2|79602	1943.0188	ADIPOR2|79602	2320.4046
ADK|132	451.2721	ADK|132	363.4252
ADM2|79924	254.3715	ADM2|79924	62.4259
ADM|133	826.0828	ADM|133	2306.3708
ADNP2|22850	540.7269	ADNP2|22850	402.6229
ADNP|23394	2638.6675	ADNP|23394	1552.4208
ADORA1|134	170.9137	ADORA1|134	696.8473
ADORA2A|135	137.9303	ADORA2A|135	92.9081
ADORA2B|136	58.4705	ADORA2B|136	139.8534
ADORA3|140	455.2701	ADORA3|140	519.248
ADO|84890	587.2035	ADO|84890	627.6464
ADPGK|83440	1528.5231	ADPGK|83440	1231.6582
ADPRHL1|113622	86.9561	ADPRHL1|113622	70.6526
ADPRHL2|54936	1113.4377	ADPRHL2|54936	826.5383
ADPRH|141	720.1363	ADPRH|141	617.4841
lowly_expressed	lowly_expressed	ADRA1A|148	29.5192
lowly_expressed	lowly_expressed	ADRA1B|147	90.9773
lowly_expressed	lowly_expressed	ADRA1D|146	10.1624
ADRA2A|150	55.472	ADRA2A|150	1779.3801
lowly_expressed	lowly_expressed	ADRA2B|151	151.9514
ADRA2C|152	19.9899	ADRA2C|152	124.3679
ADRB1|153	23.4881	ADRB1|153	99.2039
ADRB2|154	55.472	ADRB2|154	526.9907
lowly_expressed	lowly_expressed	ADRB3|155	28.5514
ADRBK1|156	3515.2248	ADRBK1|156	2631.5662
ADRBK2|157	614.6896	ADRBK2|157	1410.1478
ADRM1|11047	2115.4317	ADRM1|11047	2030.0515
ADSL|158	779.1066	ADSL|158	1060.2724
ADSSL1|122622	391.8021	ADSSL1|122622	172.2761
ADSS|159	1564.2101	ADSS|159	913.6442
AEBP1|165	11602.1409	AEBP1|165	15038.3508
AEBP2|121536	711.6406	AEBP2|121536	449.0793
AEN|64782	294.3514	AEN|64782	363.9091
AES|166	7554.6849	AES|166	10499.6492
AFAP1L1|134265	277.3599	AFAP1L1|134265	958.165
AFAP1L2|84632	278.3594	AFAP1L2|84632	770.8873
AFAP1|60312	1103.3878	AFAP1|60312	977.0331
AFF1|4299	998.9955	AFF1|4299	1448.3777
lowly_expressed	lowly_expressed	AFF2|2334	24.68
AFF3|3899	36.4816	AFF3|3899	398.2676
AFF4|27125	2200.8886	AFF4|27125	1242.227
AFG3L1|172	448.7734	AFG3L1|172	321.8079
AFG3L2|10939	1385.3604	AFG3L2|10939	1248.8761
AFMID|125061	264.8662	AFMID|125061	570.0598
lowly_expressed	lowly_expressed	AFP|174	81.2988
AFTPH|54812	1232.3776	AFTPH|54812	895.7391
AG2|387763	51.9738	AG2|387763	415.6887
lowly_expressed	lowly_expressed	AGAP11|119385	238.0943
AGAP1|116987	291.8526	AGAP1|116987	255.5107
AGAP2|116986	294.2614	AGAP2|116986	158.0004
AGAP3|116988	1341.3226	AGAP3|116988	2271.0445
AGAP4|119016	94.952	AGAP4|119016	312.6134
AGAP5|729092	12.4937	AGAP5|729092	38.8686
AGAP6|414189	79.9596	AGAP6|414189	156.3067
AGAP7|653268	36.9813	AGAP7|653268	81.2988
lowly_expressed	lowly_expressed	AGAP8|728404	13.0659
AGA|175	651.1712	AGA|175	536.6692
AGBL3|340351	8.4957	AGBL3|340351	7.2588
AGBL5|60509	818.0969	AGBL5|60509	678.4631
AGER|177	18.9904	AGER|177	105.9789
AGFG1|3267	1843.569	AGFG1|3267	1564.5189
AGFG2|3268	614.6896	AGFG2|3268	572.4794
AGGF1|55109	666.1636	AGGF1|55109	658.6174
AGK|55750	605.6941	AGK|55750	434.5617
AGL|178	648.1727	AGL|178	465.5327
AGMAT|79814	53.9727	AGMAT|79814	12.098
AGPAT1|10554	2210.8085	AGPAT1|10554	2175.9152
AGPAT2|10555	2097.4408	AGPAT2|10555	6778.2913
AGPAT3|56894	2057.9607	AGPAT3|56894	2070.217
AGPAT4|56895	98.4503	AGPAT4|56895	494.0841
AGPAT5|55326	538.7279	AGPAT5|55326	353.2628
AGPAT6|137964	1408.2888	AGPAT6|137964	2097.8006
AGPAT9|84803	73.9626	AGPAT9|84803	194.5365
AGPHD1|123688	16.4917	AGPHD1|123688	43.069
AGPS|8540	1426.7795	AGPS|8540	972.6826
AGR2|10551	550.2221	AGR2|10551	862.8324
lowly_expressed	lowly_expressed	AGR3|155465	98.2361
AGRN|375790	6274.8312	AGRN|375790	4345.133
AGTPBP1|23287	352.8218	AGTPBP1|23287	363.9091
AGTR1|185	10.4947	AGTR1|185	617.968
AGTRAP|57085	1084.9521	AGTRAP|57085	1063.6599
AGT|183	123.9374	AGT|183	71.1365
AGXT2L1|64850	16.9914	lowly_expressed	lowly_expressed
AGXT2L2|85007	367.2895	AGXT2L2|85007	938.3048
lowly_expressed	lowly_expressed	AGXT|189	5.8071
AHCTF1|25909	1799.5912	AHCTF1|25909	833.7971
AHCYL1|10768	3351.8073	AHCYL1|10768	3184.2048
AHCYL2|23382	846.5725	AHCYL2|23382	354.7146
AHCY|191	4185.8861	AHCY|191	3305.6691
AHDC1|27245	483.7557	AHDC1|27245	1017.2034
AHI1|54806	134.4321	AHI1|54806	224.5397
AHNAK2|113146	722.1353	AHNAK2|113146	1697.1134
AHNAK|79026	10392.2519	AHNAK|79026	60791.212
AHRR|57491	21.4891	AHRR|57491	20.8086
AHR|196	6935.9973	AHR|196	1242.227
AHSA1|10598	3075.4469	AHSA1|10598	1918.7495
AHSA2|130872	252.8723	AHSA2|130872	566.6723
lowly_expressed	lowly_expressed	AICDA|57379	6.291
AIDA|64853	814.1039	AIDA|64853	1592.5863
AIF1L|83543	1952.0142	AIF1L|83543	3107.2612
AIF1|199	1160.414	AIF1|199	1689.3707
AIFM1|9131	1360.8128	AIFM1|9131	1002.6858
AIFM2|84883	521.7365	AIFM2|84883	2008.759
AIFM3|150209	26.9864	AIFM3|150209	52.2635
AIG1|51390	504.2454	AIG1|51390	869.1234
AIM1L|55057	224.8864	lowly_expressed	lowly_expressed
AIM1|202	1125.4317	AIM1|202	1476.4451
AIM2|9447	193.4023	AIM2|9447	11.1302
AIMP1|9255	1274.9511	AIMP1|9255	835.515
AIMP2|7965	818.6866	AIMP2|7965	440.9398
AIPL1|23746	8.9955	lowly_expressed	lowly_expressed
AIP|9049	748.1222	AIP|9049	1593.0702
lowly_expressed	lowly_expressed	AJAP1|55966	16.9373
AK1|203	470.2625	AK1|203	993.9752
AK2|204	2375.3005	AK2|204	1996.6609
AK3L1|205	1426.2797	AK3L1|205	273.4158
AK3|50808	1476.2545	AK3|50808	1683.5636
AK5|26289	373.3115	AK5|26289	720.0755
lowly_expressed	lowly_expressed	AK7|122481	8.2267
AKAP10|11216	289.3539	AKAP10|11216	333.4221
AKAP11|11215	1148.9198	AKAP11|11215	726.3665
AKAP12|9590	159.4195	AKAP12|9590	3987.9987
AKAP13|11214	1915.0329	AKAP13|11214	2813.0369
AKAP1|8165	1674.1546	AKAP1|8165	1978.7558
AKAP2|11217	1676.5084	AKAP2|11217	685.8574
AKAP3|10566	17.9909	AKAP3|10566	20.3247
AKAP5|9495	148.9248	AKAP5|9495	33.8745
AKAP6|9472	98.95	AKAP6|9472	175.1797
AKAP7|9465	130.4341	AKAP7|9465	207.1185
AKAP8L|26993	755.1187	AKAP8L|26993	933.001
AKAP8|10270	556.2191	AKAP8|10270	597.6433
AKAP9|10142	1836.5725	AKAP9|10142	779.1139
AKD1|221264	68.9652	AKD1|221264	73.5561
AKIRIN1|79647	2164.407	AKIRIN1|79647	1004.1375
AKIRIN2|55122	696.1484	AKIRIN2|55122	969.2952
lowly_expressed	lowly_expressed	AKNAD1|254268	8.2267
AKNA|80709	1361.8123	AKNA|80709	1224.3219
AKR1A1|10327	2898.0365	AKR1A1|10327	2622.3717
AKR1B10|57016	105.9465	lowly_expressed	lowly_expressed
AKR1B15|441282	668.1626	AKR1B15|441282	14.5177
AKR1B1|231	1726.6281	AKR1B1|231	2054.2476
AKR1C1|1645	627.683	AKR1C1|1645	4259.5756
AKR1C2|1646	3839.0613	AKR1C2|1646	4817.4405
AKR1C3|8644	1820.0809	AKR1C3|8644	3708.292
AKR1E2|83592	77.4609	AKR1E2|83592	62.3291
AKR7A2|8574	510.7421	AKR7A2|8574	1518.5463
lowly_expressed	lowly_expressed	AKR7A3|22977	38.7137
AKR7L|246181	6.4967	AKR7L|246181	12.582
AKT1S1|84335	1086.4513	AKT1S1|84335	1208.8364
AKT1|207	9101.9035	AKT1|207	3980.7399
AKT2|208	2674.6493	AKT2|208	3597.4739
AKT3|10000	515.7396	AKT3|10000	550.219
AKTIP|64400	841.8799	AKTIP|64400	539.2243
ALAD|210	890.5503	ALAD|210	2152.4837
ALAS1|211	1219.884	ALAS1|211	1440.6349
ALB|213	9.995	ALB|213	2104.0916
ALCAM|214	3254.3565	ALCAM|214	2291.3693
ALDH16A1|126133	726.1333	ALDH16A1|126133	991.5556
ALDH18A1|5832	2809.0814	ALDH18A1|5832	1234.0003
ALDH1A1|216	210.8935	ALDH1A1|216	4149.6286
ALDH1A2|8854	25.9869	ALDH1A2|8854	239.0573
ALDH1A3|220	604.2598	ALDH1A3|220	1680.1955
ALDH1B1|219	931.5296	ALDH1B1|219	744.7555
lowly_expressed	lowly_expressed	ALDH1L1|10840	1975.8523
ALDH1L2|160428	372.31199999999995	ALDH1L2|160428	274.3836
ALDH2|217	4941.5045	ALDH2|217	12329.841
lowly_expressed	lowly_expressed	ALDH3A1|218	45.9726
ALDH3A2|224	927.0318	ALDH3A2|224	2361.054
ALDH3B1|221	381.8072	ALDH3B1|221	977.0379
ALDH3B2|222	3155.4065	ALDH3B2|222	655.7139
ALDH4A1|8659	140.9288	ALDH4A1|8659	3767.3304
ALDH5A1|7915	420.2878	ALDH5A1|7915	458.2739
ALDH6A1|4329	223.722	ALDH6A1|4329	324.8905
ALDH7A1|501	1201.893	ALDH7A1|501	1949.7205
ALDH8A1|64577	5.4972	ALDH8A1|64577	17.4212
ALDH9A1|223	3719.6216	ALDH9A1|223	3550.5335
ALDOA|226	27645.539	ALDOA|226	19372.3536
lowly_expressed	lowly_expressed	ALDOB|229	9.6784
ALDOC|230	55.9717	ALDOC|230	1131.8929
ALG10B|144245	164.9167	ALG10B|144245	140.8212
ALG10|84920	130.4341	ALG10|84920	63.8777
ALG11|440138	17.9909	ALG11|440138	6.291
ALG12|79087	500.7471	ALG12|79087	581.6739
ALG13|79868	362.8168	ALG13|79868	368.2644
ALG14|199857	175.4114	ALG14|199857	227.4432
ALG1|56052	526.4691	ALG1|56052	593.83
ALG2|85365	1114.4372	ALG2|85365	681.8457
ALG3|10195	1171.4084	ALG3|10195	815.4081
ALG5|29880	664.1646	ALG5|29880	653.2943
ALG6|29929	337.8294	ALG6|29929	201.3114
ALG8|79053	805.5932	ALG8|79053	603.4504
ALG9|79796	716.1384	ALG9|79796	552.6386
ALKBH1|8846	322.837	ALKBH1|8846	252.6071
ALKBH2|121642	127.9354	ALKBH2|121642	352.7789
ALKBH3|221120	222.3877	ALKBH3|221120	471.8237
ALKBH4|54784	486.4993	ALKBH4|54784	331.3702
ALKBH5|54890	2407.6941	ALKBH5|54890	2552.5079
ALKBH6|84964	91.4538	ALKBH6|84964	105.4949
