gene_id	TCGA-BH-A1F6-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F6-11B-94R-A13Q-07
AFG3L1|172	248.4677	AFG3L1|172	234.4666
AFG3L2|10939	3367.8972	AFG3L2|10939	1169.7304
AFMID|125061	241.3956	AFMID|125061	386.8699
lowly_expressed	lowly_expressed	AFP|174	10.8441
AFTPH|54812	2165.9595	AFTPH|54812	1758.2063
AG2|387763	234.3234	AG2|387763	747.3623
lowly_expressed	lowly_expressed	AGAP11|119385	248.8365
AGAP1|116987	509.6653	AGAP1|116987	424.9707
AGAP2|116986	124.0311	AGAP2|116986	30.3605
AGAP3|116988	1822.2537	AGAP3|116988	504.3962
AGAP4|119016	106.082	AGAP4|119016	153.8687
AGAP5|729092	18.9863	AGAP5|729092	65.4396
AGAP6|414189	67.421	AGAP6|414189	109.9062
AGAP7|653268	33.4748	AGAP7|653268	43.3763
AGAP8|728404	8.958	AGAP8|728404	62.7198
AGA|175	394.6252	AGA|175	522.2743
lowly_expressed	lowly_expressed	AGBL2|79841	10.551
AGBL3|340351	5.6577	AGBL3|340351	12.0164
lowly_expressed	lowly_expressed	AGBL4|84871	8.2063
AGBL5|60509	700.6271	AGBL5|60509	583.5404
AGER|177	15.5587	AGER|177	22.5674
AGFG1|3267	2896.2753	AGFG1|3267	3068.2884
AGFG2|3268	272.513	AGFG2|3268	353.1653
AGGF1|55109	659.5945	AGGF1|55109	1097.0106
AGK|55750	567.1853	AGK|55750	549.8242
AGL|178	502.5931	AGL|178	2175.8499
AGMAT|79814	104.1961	AGMAT|79814	14.3611
AGPAT1|10554	2252.1452	AGPAT1|10554	1825.8558
AGPAT2|10555	1052.8053	AGPAT2|10555	1689.3318
AGPAT3|56894	2409.7124	AGPAT3|56894	1990.0352
AGPAT4|56895	206.0349	AGPAT4|56895	383.3529
AGPAT5|55326	2005.6577	AGPAT5|55326	783.9977
AGPAT6|137964	1568.1282	AGPAT6|137964	1236.8113
AGPAT9|84803	354.5497	AGPAT9|84803	128.0774
AGPHD1|123688	101.3673	AGPHD1|123688	78.8394
AGPS|8540	856.1999	AGPS|8540	2211.8992
AGR2|10551	7.0721	AGR2|10551	915.2989
lowly_expressed	lowly_expressed	AGR3|155465	409.1442
AGRN|375790	5007.0721	AGRN|375790	1704.279
AGTPBP1|23287	983.9698	AGTPBP1|23287	632.4736
AGTR1|185	20.7449	AGTR1|185	556.272
AGTRAP|57085	1946.7232	AGTRAP|57085	472.1571
AGT|183	56.1056	AGT|183	103.4584
AGXT2L2|85007	234.8232	AGXT2L2|85007	424.0475
lowly_expressed	lowly_expressed	AGXT|189	9.6717
AHCTF1|25909	2177.7463	AHCTF1|25909	1885.6975
AHCYL1|10768	1295.1438	AHCYL1|10768	5102.8722
AHCYL2|23382	732.2018	AHCYL2|23382	953.6928
AHCY|191	7782.1782	AHCY|191	1585.5803
AHDC1|27245	828.3828	AHDC1|27245	631.3013
AHI1|54806	167.3739	AHI1|54806	590.2696
AHNAK2|113146	787.8359	AHNAK2|113146	1560.3751
AHNAK|79026	17238.0952	AHNAK|79026	104466.8816
AHRR|57491	89.5804	AHRR|57491	8.7925
AHR|196	2194.7195	AHR|196	7412.6612
AHSA1|10598	2682.2254	AHSA1|10598	1044.5487
AHSA2|130872	169.7313	AHSA2|130872	403.8687
AIDA|64853	1380.1367	AIDA|64853	1897.9162
AIF1L|83543	2756.7185	AIF1L|83543	1623.9742
AIF1|199	631.306	AIF1|199	568.2884
AIFM1|9131	1384.2527	AIFM1|9131	582.6495
AIFM2|84883	194.248	AIFM2|84883	1296.3072
AIG1|51390	416.3131	AIG1|51390	1159.4373
AIM1L|55057	10.3725	lowly_expressed	lowly_expressed
AIM1|202	1712.8713	AIM1|202	3240.0352
AIM2|9447	89.1089	AIM2|9447	13.4818
AIMP1|9255	1010.3725	AIMP1|9255	1179.109
AIMP2|7965	946.1433	AIMP2|7965	287.1776
AIP|9049	562.4705	AIP|9049	279.0152
AJAP1|55966	5.6577	AJAP1|55966	42.204
AK1|203	395.5681	AK1|203	363.1301
AK2|204	4812.3527	AK2|204	2279.0152
AK3L1|205	181.5182	AK3L1|205	787.8077
AK3|50808	2979.7265	AK3|50808	3495.8968
AK5|26289	11.7869	AK5|26289	968.0539
AK7|122481	21.2164	AK7|122481	26.9637
AKAP10|11216	354.0783	AKAP10|11216	744.7245
AKAP11|11215	793.0222	AKAP11|11215	3296.6002
AKAP12|9590	332.3904	AKAP12|9590	6347.3036
AKAP13|11214	2391.3248	AKAP13|11214	4538.9801
AKAP1|8165	1951.9095	AKAP1|8165	1615.7679
AKAP2|11217	707.4069	AKAP2|11217	2877.4853
AKAP3|10566	64.1207	AKAP3|10566	29.6014
AKAP5|9495	36.7751	AKAP5|9495	103.4584
AKAP6|9472	102.3102	AKAP6|9472	276.9637
AKAP7|9465	132.0132	AKAP7|9465	330.891
AKAP8L|26993	489.3918	AKAP8L|26993	332.3564
AKAP8|10270	555.8699	AKAP8|10270	531.9461
AKAP9|10142	2048.562	AKAP9|10142	2838.8042
AKD1|221264	115.983	AKD1|221264	179.66
AKIRIN1|79647	3166.4309	AKIRIN1|79647	2036.9285
AKIRIN2|55122	1107.4965	AKIRIN2|55122	1050.4103
lowly_expressed	lowly_expressed	AKNAD1|254268	8.7925
AKNA|80709	527.1099	AKNA|80709	478.3118
AKR1A1|10327	1989.1561	AKR1A1|10327	1146.2485
lowly_expressed	lowly_expressed	AKR1B10|57016	5.8617
AKR1B15|441282	58.9345	AKR1B15|441282	11.1372
AKR1B1|231	679.3965	AKR1B1|231	1077.374
AKR1C1|1645	68.1141	AKR1C1|1645	5333.5287
AKR1C2|1646	20.2735	AKR1C2|1646	4737.9836
AKR1C3|8644	61.7633	AKR1C3|8644	3270.8089
AKR1E2|83592	138.8637	AKR1E2|83592	29.8945
AKR7A2|8574	1401.2258	AKR7A2|8574	618.6987
AKR7A3|22977	138.1424	AKR7A3|22977	16.9988
AKR7L|246181	25.4597	AKR7L|246181	8.4994
AKT1S1|84335	986.7987	AKT1S1|84335	649.1794
AKT1|207	2408.7694	AKT1|207	1687.2802
AKT2|208	9588.8732	AKT2|208	1989.7421
AKT3|10000	665.2522	AKT3|10000	1754.6893
AKTIP|64400	837.2419	AKTIP|64400	941.0141
ALAD|210	685.5257	ALAD|210	1661.1958
ALAS1|211	1742.5743	ALAS1|211	1033.9977
lowly_expressed	lowly_expressed	ALAS2|212	28.136
ALB|213	6.1292	ALB|213	132.4736
ALCAM|214	482.3197	ALCAM|214	3423.7984
ALDH16A1|126133	381.4239	ALDH16A1|126133	183.7632
ALDH18A1|5832	1904.2904	ALDH18A1|5832	1422.3329
ALDH1A1|216	302.2159	ALDH1A1|216	3876.0258
ALDH1A2|8854	21.2164	ALDH1A2|8854	645.9555
ALDH1A3|220	3970.2216	ALDH1A3|220	2047.4179
