gene_id	TCGA-BH-A0E0-01A-11R-A056-07	gene_id	TCGA-BH-A0E0-11A-13R-A089-07
ADCK2|90956	1516.1913	ADCK2|90956	1141.4634
ADCK4|79934	556.9775	ADCK4|79934	559.2018
ADCK5|203054	289.4576	ADCK5|203054	107.7605
ADCY1|107	359.5369	ADCY1|107	213.3038
ADCY2|108	46.3132	ADCY2|108	39.9113
ADCY3|109	971.4199	ADCY3|109	1119.2683
ADCY4|196883	56.0634	ADCY4|196883	162.306
lowly_expressed	lowly_expressed	ADCY5|111	216.8514
ADCY6|112	1193.7843	ADCY6|112	1982.2616
ADCY7|113	340.0366	ADCY7|113	160.9756
ADCY9|115	158.44	ADCY9|115	579.1574
lowly_expressed	lowly_expressed	ADCYAP1|116	23.0599
ADC|113451	56.6728	ADC|113451	141.4634
ADD1|118	3285.192	ADD1|118	5751.663
ADD2|119	24.3754	ADD2|119	15.9645
ADD3|120	1035.9537	ADD3|120	1320.6208
lowly_expressed	lowly_expressed	ADH1A|124	105.5432
ADH1B|125	20.1097	ADH1B|125	14782.7051
lowly_expressed	lowly_expressed	ADH1C|126	181.8182
ADH5|128	1453.3821	ADH5|128	2939.6896
lowly_expressed	lowly_expressed	ADH7|131	141.9069
ADHFE1|137872	14.0158	ADHFE1|137872	200
ADI1|55256	2640.4631	ADI1|55256	1653.6585
ADIPOQ|9370	18.8909	ADIPOQ|9370	9491.796
ADIPOR1|51094	3288.8483	ADIPOR1|51094	2617.7384
ADIPOR2|79602	3241.3163	ADIPOR2|79602	1803.9911
ADK|132	631.9317	ADK|132	496.6741
ADM2|79924	104.8141	ADM2|79924	106.4302
ADM|133	394.2718	ADM|133	241.6851
ADNP2|22850	1149.9086	ADNP2|22850	623.0599
ADNP|23394	3480.195	ADNP|23394	2392.0177
ADORA1|134	62.1572	ADORA1|134	225.7206
ADORA2A|135	77.3918	ADORA2A|135	64.2483
lowly_expressed	lowly_expressed	ADORA2B|136	42.1286
ADORA3|140	73.7355	ADORA3|140	60.3104
ADO|84890	829.3723	ADO|84890	522.8381
ADPGK|83440	789.153	ADPGK|83440	790.5632
ADPRHL1|113622	180.9872	ADPRHL1|113622	113.082
ADPRHL2|54936	1090.7983	ADPRHL2|54936	650.5543
ADPRH|141	219.3784	ADPRH|141	379.6009
lowly_expressed	lowly_expressed	ADRA1A|148	11.5299
lowly_expressed	lowly_expressed	ADRA1B|147	11.5299
ADRA2A|150	49.3601	ADRA2A|150	979.6009
ADRA2B|151	6.7032	ADRA2B|151	20.8426
ADRA2C|152	17.0628	ADRA2C|152	43.0155
ADRB1|153	356.4899	ADRB1|153	11.5299
ADRB2|154	11.5783	ADRB2|154	228.8248
ADRBK1|156	2288.8483	ADRBK1|156	1386.6962
ADRBK2|157	251.6758	ADRBK2|157	914.4124
ADRM1|11047	3910.4205	ADRM1|11047	1533.0377
ADSL|158	858.6228	ADSL|158	1509.5344
ADSSL1|122622	15.844	ADSSL1|122622	160.5322
ADSS|159	884.8263	ADSS|159	1375.6098
AEBP1|165	3168.1901	AEBP1|165	3309.0909
AEBP2|121536	568.5558	AEBP2|121536	415.0776
AEN|64782	329.0676	AEN|64782	286.4745
AES|166	4764.7776	AES|166	7422.6164
AFAP1L1|134265	201.7063	AFAP1L1|134265	191.5743
AFAP1L2|84632	356.4899	AFAP1L2|84632	1083.3703
AFAP1|60312	900.6642	AFAP1|60312	1046.1197
lowly_expressed	lowly_expressed	AFARP1|246182	5.765
AFF1|4299	987.8123	AFF1|4299	1261.6408
AFF2|2334	32.2974	AFF2|2334	27.4945
AFF3|3899	127.9707	AFF3|3899	3874.5011
AFF4|27125	1856.7946	AFF4|27125	1749.4457
AFG3L1|172	163.9244	AFG3L1|172	223.5033
AFG3L2|10939	3740.3352	AFG3L2|10939	1236.949
AFMID|125061	145.6429	AFMID|125061	584.4789
lowly_expressed	lowly_expressed	AFP|174	207.5388
AFTPH|54812	1813.5283	AFTPH|54812	1135.255
AG2|387763	105.4235	AG2|387763	105.9867
AGAP11|119385	7.3126	AGAP11|119385	67.8492
AGAP1|116987	277.27	AGAP1|116987	345.898
AGAP2|116986	522.6143	AGAP2|116986	103.8936
AGAP3|116988	1773.309	AGAP3|116988	1595.5654
AGAP4|119016	205.3626	AGAP4|119016	147.2284
AGAP5|729092	22.4497	AGAP5|729092	25.7206
AGAP6|414189	124.3144	AGAP6|414189	72.7273
AGAP7|653268	17.0628	lowly_expressed	lowly_expressed
AGAP8|728404	21.3285	AGAP8|728404	27.4945
AGA|175	569.7745	AGA|175	818.6253
AGBL3|340351	7.3126	lowly_expressed	lowly_expressed
AGBL4|84871	10.9689	AGBL4|84871	15.5211
AGBL5|60509	1435.7343	AGBL5|60509	1044.816
AGER|177	17.6722	AGER|177	21.286
AGFG1|3267	1277.8793	AGFG1|3267	1145.0111
AGFG2|3268	301.6453	AGFG2|3268	388.4701
AGGF1|55109	647.7757	AGGF1|55109	730.3769
AGK|55750	550.8836	AGK|55750	584.4789
AGL|178	607.5564	AGL|178	806.2084
AGMAT|79814	82.8763	AGMAT|79814	9.3126
AGPAT1|10554	3118.4644	AGPAT1|10554	1736.2927
AGPAT2|10555	1215.1127	AGPAT2|10555	2578.714
AGPAT3|56894	8099.3297	AGPAT3|56894	2250.9978
AGPAT4|56895	326.0207	AGPAT4|56895	227.9379
AGPAT5|55326	1295.5515	AGPAT5|55326	813.7472
AGPAT6|137964	1943.9366	AGPAT6|137964	2890.4656
AGPAT9|84803	61.5478	AGPAT9|84803	290.9091
AGPHD1|123688	55.454	AGPHD1|123688	77.1619
AGPS|8540	689.8233	AGPS|8540	466.5188
AGR2|10551	203.5344	AGR2|10551	7040.3548
AGR3|155465	36.5631	AGR3|155465	827.051
AGRN|375790	1595.3687	AGRN|375790	7926.8293
AGTPBP1|23287	383.3029	AGTPBP1|23287	288.6918
AGTR1|185	67.6417	AGTR1|185	317.0732
AGTRAP|57085	1525.2895	AGTRAP|57085	1358.7583
AGT|183	15.844	AGT|183	114.4124
AGXT2L2|85007	130.1158	AGXT2L2|85007	363.3082
AHCTF1|25909	1510.0548	AHCTF1|25909	853.6585
AHCYL1|10768	3741.621	AHCYL1|10768	4057.6497
AHCYL2|23382	761.7307	AHCYL2|23382	536.5854
AHCY|191	6941.4991	AHCY|191	11239.9113
AHDC1|27245	1000.6094	AHDC1|27245	1264.745
AHI1|54806	297.989	AHI1|54806	202.2173
AHNAK2|113146	346.7398	AHNAK2|113146	338.8027
AHNAK|79026	20982.9372	AHNAK|79026	47297.561
AHRR|57491	15.2346	AHRR|57491	11.5299
AHR|196	1934.1865	AHR|196	948.5588
AHSA1|10598	3082.8763	AHSA1|10598	2191.5743
AHSA2|130872	277.27	AHSA2|130872	502.439
AIDA|64853	867.7697	AIDA|64853	1013.9113
AIF1L|83543	1570.3839	AIF1L|83543	1334.3681
AIF1|199	182.8154	AIF1|199	262.0843
AIFM1|9131	1661.7916	AIFM1|9131	1126.8293
AIFM2|84883	488.7264	AIFM2|84883	877.1619
AIFM3|150209	50.4266	AIFM3|150209	9.3126
AIG1|51390	855.5759	AIG1|51390	1326.8293
AIM1L|55057	315.0518	lowly_expressed	lowly_expressed
AIM1|202	2588.6654	AIM1|202	2194.235
AIMP1|9255	916.2828	AIMP1|9255	875.0865
AIMP2|7965	943.1322	AIMP2|7965	435.6763
AIP|9049	936.0146	AIP|9049	1364.0798
AJAP1|55966	10.9689	AJAP1|55966	30.1552
AK1|203	585.0091	AK1|203	675.8315
AK2|204	4221.816	AK2|204	2456.3193
