gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
ADAT3|113179	7.8456	ADAT3|113179	12.3001
ADA|100	100.1342	ADA|100	47.9705
ADCK1|57143	93.1145	ADCK1|57143	99.016
ADCK2|90956	902.2401	ADCK2|90956	576.8758
ADCK4|79934	357.7991	ADCK4|79934	337.6384
ADCK5|203054	53.0608	ADCK5|203054	47.9705
ADCY1|107	2754.2067	ADCY1|107	79.3358
ADCY2|108	82.9978	ADCY2|108	155.5966
ADCY3|109	937.9519	ADCY3|109	1308.2534
ADCY4|196883	234.7476	ADCY4|196883	360.3936
ADCY5|111	219.4694	ADCY5|111	475.3998
ADCY6|112	2014.0394	ADCY6|112	1674.0467
ADCY7|113	1088.6755	ADCY7|113	570.1107
ADCY9|115	1850.7278	ADCY9|115	1020.9102
ADCYAP1R1|117	20.4398	ADCYAP1R1|117	31.3653
ADCYAP1|116	114.9995	ADCYAP1|116	35.6704
ADC|113451	149.8916	ADC|113451	149.4465
ADD1|118	4316.0937	ADD1|118	6314.2681
ADD2|119	69.3713	ADD2|119	51.0455
ADD3|120	2283.6792	ADD3|120	4400.369
ADH1A|124	36.7503	ADH1A|124	92.2509
ADH1B|125	5922.1637	ADH1B|125	13374.5387
ADH1C|126	114.5866	ADH1C|126	400.369
ADH4|127	7.6391	ADH4|127	70.7257
ADH5|128	1809.8483	ADH5|128	3113.7761
ADHFE1|137872	143.4913	lowly_expressed	lowly_expressed
ADI1|55256	1210.6947	ADI1|55256	1568.2657
ADIPOQ|9370	7729.9474	ADIPOQ|9370	12250.9225
ADIPOR1|51094	3475.9988	ADIPOR1|51094	1979.0898
ADIPOR2|79602	6026.4272	ADIPOR2|79602	2432.3493
ADK|132	337.5658	ADK|132	398.524
ADM2|79924	61.5258	ADM2|79924	25.8303
ADM|133	196.1392	ADM|133	599.016
ADNP2|22850	1064.9324	ADNP2|22850	783.5178
ADNP|23394	4340.4563	ADNP|23394	3260.7626
ADORA1|134	48.5186	ADORA1|134	178.9668
ADORA2A|135	123.0226	ADORA2A|135	59.6371
ADORA2B|136	16.7234	ADORA2B|136	83.6408
ADORA3|140	325.1781	ADORA3|140	182.6568
ADO|84890	688.1387	ADO|84890	864.6986
ADPGK|83440	1231.0788	ADPGK|83440	868.7085
ADPRHL1|113622	27.6659	ADPRHL1|113622	47.3555
ADPRHL2|54936	380.097	ADPRHL2|54936	425.5843
ADPRH|141	391.6589	ADPRH|141	346.8635
ADRA1A|148	12.5942	ADRA1A|148	39.3604
ADRA1B|147	12.3877	ADRA1B|147	32.5953
lowly_expressed	lowly_expressed	ADRA1D|146	6.7651
ADRA2A|150	559.0998	ADRA2A|150	569.4957
ADRA2B|151	9.7037	ADRA2B|151	46.1255
ADRA2C|152	30.9693	ADRA2C|152	33.2103
ADRB1|153	12.8007	ADRB1|153	38.1304
ADRB2|154	154.2273	ADRB2|154	215.2522
ADRBK1|156	1720.4501	ADRBK1|156	1244.7724
ADRBK2|157	1763.8072	ADRBK2|157	1920.0492
ADRM1|11047	550.6349	ADRM1|11047	603.321
ADSL|158	497.3676	ADSL|158	636.5314
ADSSL1|122622	78.8686	ADSSL1|122622	113.7761
ADSS|159	2192.8358	ADSS|159	1551.6605
AEBP1|165	7239.1865	AEBP1|165	5096.556
AEBP2|121536	1025.7046	AEBP2|121536	930.5043
AEN|64782	368.7416	AEN|64782	377.6138
AES|166	3526.1691	AES|166	5335.1784
AFAP1L1|134265	339.2175	AFAP1L1|134265	340.0984
AFAP1L2|84632	863.0123	AFAP1L2|84632	1076.2608
AFAP1|60312	1300.4934	AFAP1|60312	1504.2989
AFF1|4299	3389.904	AFF1|4299	3823.4932
AFF2|2334	40.4666	AFF2|2334	52.2755
AFF3|3899	1201.1975	AFF3|3899	1978.4748
AFF4|27125	7694.4358	AFF4|27125	5360.3936
AFG3L1|172	236.3993	AFG3L1|172	282.9028
AFG3L2|10939	1128.2151	AFG3L2|10939	1298.155
AFMID|125061	291.9376	AFMID|125061	552.2755
AFP|174	5.9874	AFP|174	68.8807
AFTPH|54812	2271.085	AFTPH|54812	1995.08
AG2|387763	142.2525	AG2|387763	95.326
AGAP11|119385	97.0455	AGAP11|119385	264.4649
AGAP1|116987	531.6403	AGAP1|116987	570.1107
AGAP2|116986	145.9709	AGAP2|116986	39.4772
AGAP3|116988	874.3677	AGAP3|116988	912.0541
AGAP4|119016	159.3889	AGAP4|119016	257.0726
AGAP5|729092	57.5452	AGAP5|729092	49.2804
AGAP6|414189	99.3084	AGAP6|414189	150.6765
AGAP7|653268	8.052	AGAP7|653268	12.3001
AGAP8|728404	38.6084	AGAP8|728404	127.3063
AGA|175	615.2576	AGA|175	576.8758
AGBL2|79841	28.9047	AGBL2|79841	27.0603
AGBL3|340351	10.5296	AGBL3|340351	11.6851
AGBL4|84871	8.2585	AGBL4|84871	7.9951
AGBL5|60509	397.6567	AGBL5|60509	660.5228
AGER|177	37.7826	AGER|177	50.4305
AGFG1|3267	2707.1333	AGFG1|3267	2156.2116
AGFG2|3268	675.1316	AGFG2|3268	517.8352
AGGF1|55109	1559.4095	lowly_expressed	lowly_expressed
AGK|55750	831.0106	AGK|55750	544.2804
AGL|178	1579.4364	AGL|178	1490.1599
AGMAT|79814	43.5635	AGMAT|79814	11.6851
AGPAT1|10554	1107.0011	AGPAT1|10554	1649.9692
AGPAT2|10555	663.9827	AGPAT2|10555	750.3075
AGPAT3|56894	2125.1161	AGPAT3|56894	1598.401
AGPAT4|56895	190.9776	AGPAT4|56895	298.893
AGPAT5|55326	1598.8438	AGPAT5|55326	778.5978
AGPAT6|137964	2299.1638	AGPAT6|137964	1578.7208
AGPAT9|84803	128.8325	AGPAT9|84803	131.6113
AGPHD1|123688	66.2744	AGPHD1|123688	76.8758
AGPS|8540	938.1646	AGPS|8540	1246.0025
AGR2|10551	22638.7943	AGR2|10551	1341.3284
AGR3|155465	2188.7065	AGR3|155465	365.3137
AGRN|375790	1238.5672	AGRN|375790	2215.8672
AGTPBP1|23287	506.8649	AGTPBP1|23287	448.3395
AGTR1|185	216.7854	AGTR1|185	250.3075
AGTRAP|57085	514.9169	AGTRAP|57085	536.9004
AGT|183	241.5609	AGT|183	27.6753
AGXT2L1|64850	5.1616	lowly_expressed	lowly_expressed
AGXT2L2|85007	466.5614	AGXT2L2|85007	480.5535
AHCTF1|25909	2390.2137	AHCTF1|25909	1857.9336
AHCYL1|10768	5331.2687	AHCYL1|10768	4035.6704
AHCYL2|23382	1189.8421	AHCYL2|23382	691.8819
AHCY|191	2026.0142	AHCY|191	1760.7626
AHDC1|27245	451.1201	AHDC1|27245	1020.2952
AHI1|54806	502.7356	AHI1|54806	794.5879
AHNAK2|113146	1335.8109	AHNAK2|113146	1855.4736
AHNAK|79026	92562.4032	AHNAK|79026	128753.9975
AHRR|57491	49.138	AHRR|57491	9.8401
AHR|196	3315.9905	AHR|196	3897.294
AHSA1|10598	1038.7117	AHSA1|10598	1214.0221
AHSA2|130872	542.9958	AHSA2|130872	880.6888
AICDA|57379	5.368	lowly_expressed	lowly_expressed
AIDA|64853	1375.3897	AIDA|64853	1231.2669
AIF1L|83543	594.8178	AIF1L|83543	1302.583
AIF1|199	698.2554	AIF1|199	369.0037
AIFM1|9131	828.946	AIFM1|9131	511.0701
AIFM2|84883	326.6233	AIFM2|84883	627.9213
AIFM3|150209	12.2824	AIFM3|150209	8.9975
AIG1|51390	693.0938	AIG1|51390	900.369
AIM1|202	2192.6293	AIM1|202	5226.3223
AIM2|9447	100.3407	AIM2|9447	17.2202
AIMP1|9255	1087.7134	AIMP1|9255	1212.3309
AIMP2|7965	251.8984	AIMP2|7965	236.6851
AIP|9049	375.3484	AIP|9049	445.8795
AJAP1|55966	12.1813	lowly_expressed	lowly_expressed
AK1|203	242.7996	AK1|203	243.5424
AK2|204	1644.2655	AK2|204	1997.54
AK3L1|205	253.7421	AK3L1|205	609.4711
AK3|50808	1687.0032	AK3|50808	2024.6002
AK5|26289	923.7122	AK5|26289	2829.0283
AK7|122481	34.8921	AK7|122481	35.0554
AKAP10|11216	608.2378	AKAP10|11216	619.9262
AKAP11|11215	3240.4253	AKAP11|11215	3284.7478
AKAP12|9590	1839.9917	AKAP12|9590	3250.3075
AKAP13|11214	5298.4412	AKAP13|11214	4736.7774
AKAP1|8165	1056.0545	AKAP1|8165	2360.3936
AKAP2|11217	1121.4762	AKAP2|11217	1753.1611
AKAP3|10566	16.1041	AKAP3|10566	48.5855
AKAP5|9495	220.9146	AKAP5|9495	126.0763
AKAP6|9472	138.7426	AKAP6|9472	330.2583
AKAP7|9465	169.5055	AKAP7|9465	244.1574
AKAP8L|26993	531.8468	AKAP8L|26993	452.6445
AKAP8|10270	716.4241	AKAP8|10270	652.5215
AKAP9|10142	5959.9463	AKAP9|10142	3950.1845
AKD1|221264	174.8735	AKD1|221264	144.5264
AKIRIN1|79647	1238.1542	AKIRIN1|79647	1333.3333
AKIRIN2|55122	572.1069	AKIRIN2|55122	678.3518
AKNAD1|254268	6.6089	lowly_expressed	lowly_expressed
AKNA|80709	1357.0765	AKNA|80709	744.1574
AKR1A1|10327	1448.5393	AKR1A1|10327	1262.6076
lowly_expressed	lowly_expressed	AKR1B15|441282	31.9803
AKR1B1|231	836.7916	AKR1B1|231	875.7688
AKR1C1|1645	818.4164	AKR1C1|1645	1800.1229999999998
AKR1C2|1646	484.7734	AKR1C2|1646	1227.5523
AKR1C3|8644	630.5358	AKR1C3|8644	1048.5855
AKR1E2|83592	15.2782	AKR1E2|83592	17.2202
AKR7A2|8574	995.1481	AKR7A2|8574	714.0221
