gene_id	TCGA-E2-A15K-06A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
ADAMTS3|9508	13.1357	ADAMTS3|9508	82.8117
ADAMTS4|9507	215.5608	ADAMTS4|9507	321.6177
ADAMTS5|11096	69.3836	ADAMTS5|11096	1297.5445
lowly_expressed	lowly_expressed	ADAMTS6|11174	17.8142
ADAMTS7|11173	34.0182	ADAMTS7|11173	126.1435
lowly_expressed	lowly_expressed	ADAMTS8|11095	53.9239
ADAMTS9|56999	49.8484	ADAMTS9|56999	753.0091
ADAMTSL1|92949	5.0522	ADAMTSL1|92949	225.325
ADAMTSL2|9719	92.287	ADAMTSL2|9719	195.9557
ADAMTSL3|57188	13.4725	ADAMTSL3|57188	214.7328
ADAMTSL4|54507	238.8009	ADAMTSL4|54507	1646.6057
ADAMTSL5|339366	180.869	ADAMTSL5|339366	61.6273
ADAP1|11033	332.4621	ADAP1|11033	299.6341
ADAP2|55803	170.7646	ADAP2|55803	336.0616
ADARB1|104	84.5402	ADARB1|104	1082.8117
ADAR|103	7169.0805	ADAR|103	4894.078
ADAT1|23536	191.647	ADAT1|23536	66.9234
ADAT2|134637	30.9869	ADAT2|134637	118.4401
ADAT3|113179	20.2088	ADAT3|113179	91.4781
ADA|100	9.094	ADA|100	235.9172
ADCK1|57143	175.1431	ADCK1|57143	210.3996
ADCK2|90956	1040.0808	ADCK2|90956	991.3337
ADCK4|79934	856.8542	ADCK4|79934	804.5258
ADCK5|203054	137.0832	ADCK5|203054	154.0684
ADCY1|107	36.3759	ADCY1|107	121.3288
ADCY2|108	5.7258	ADCY2|108	76.0713
ADCY3|109	453.2469	ADCY3|109	2210.9966
ADCY4|196883	80.4985	ADCY4|196883	974.9639
lowly_expressed	lowly_expressed	ADCY5|111	265.2865
ADCY6|112	2951.8356	ADCY6|112	1795.3779
ADCY7|113	131.3574	ADCY7|113	378.4304
ADCY9|115	2310.5423	ADCY9|115	822.3399
lowly_expressed	lowly_expressed	ADCYAP1R1|117	9.6293
lowly_expressed	lowly_expressed	ADCYAP1|116	20.2215
ADC|113451	110.1381	ADC|113451	191.6225
ADD1|118	4692.1522	ADD1|118	7228.2138
lowly_expressed	lowly_expressed	ADD2|119	44.7761
ADD3|120	79.8249	ADD3|120	1846.4131
lowly_expressed	lowly_expressed	ADH1A|124	73.1825
lowly_expressed	lowly_expressed	ADH1B|125	9763.6013
lowly_expressed	lowly_expressed	ADH1C|126	500.2407
lowly_expressed	lowly_expressed	ADH4|127	45.739
ADH5|128	1488.7167	ADH5|128	3130.9581
ADHFE1|137872	318.9626	ADHFE1|137872	193.5484
ADI1|55256	3123.9475	ADI1|55256	1957.6312
lowly_expressed	lowly_expressed	ADIPOQ|9370	5964.8532
ADIPOR1|51094	5409.2287	ADIPOR1|51094	1957.1497
ADIPOR2|79602	1501.1788	ADIPOR2|79602	2012.5181
ADK|132	331.0879	ADK|132	347.1353
ADM2|79924	321.3203	ADM2|79924	93.8854
ADM|133	7.7467	ADM|133	1904.6702
ADNP2|22850	743.6847	ADNP2|22850	290.3226
ADNP|23394	3215.8976	ADNP|23394	1412.6143
ADORA1|134	130.0101	ADORA1|134	315.8402
ADORA2A|135	130.6837	ADORA2A|135	168.9937
ADORA2B|136	44.7962	ADORA2B|136	154.5498
ADORA3|140	254.968	ADORA3|140	213.2884
ADO|84890	526.7767	ADO|84890	605.6813
ADPGK|83440	1101.8255	ADPGK|83440	785.2672
ADPRHL1|113622	262.7147	ADPRHL1|113622	51.9981
ADPRHL2|54936	675.3116	ADPRHL2|54936	991.3337
ADPRH|141	54.5638	ADPRH|141	621.0881
lowly_expressed	lowly_expressed	ADRA1A|148	18.2956
lowly_expressed	lowly_expressed	ADRA1B|147	63.5532
lowly_expressed	lowly_expressed	ADRA1D|146	30.3322
ADRA2A|150	1832.9404	ADRA2A|150	1890.2263
ADRA2B|151	16.5039	ADRA2B|151	86.6635
lowly_expressed	lowly_expressed	ADRA2C|152	515.6476
lowly_expressed	lowly_expressed	ADRB1|153	69.8122
ADRB2|154	16.5039	ADRB2|154	609.533
ADRBK1|156	3348.2654	ADRBK1|156	2719.3067
ADRBK2|157	1310.2055	ADRBK2|157	600.3852
ADRM1|11047	1199.3937	ADRM1|11047	2402.9851
ADSL|158	630.8521	ADSL|158	873.3751
ADSSL1|122622	269.1142	ADSSL1|122622	103.9961
ADSS|159	2002.0209	ADSS|159	844.9687
AEBP1|165	1030.9869	AEBP1|165	16890.7078
AEBP2|121536	575.2779	AEBP2|121536	454.5017
AEN|64782	265.746	AEN|64782	414.0587
AES|166	7133.0414	AES|166	13264.805
AFAP1L1|134265	241.4955	AFAP1L1|134265	610.0144
AFAP1L2|84632	121.5898	AFAP1L2|84632	870.9677
AFAP1|60312	711.3405	AFAP1|60312	998.5412
AFF1|4299	2424.7221	AFF1|4299	1279.2489
AFF2|2334	8.0835	AFF2|2334	32.2581
AFF3|3899	3234.7592	AFF3|3899	269.6196
AFF4|27125	2658.8077	AFF4|27125	1158.4015
AFG3L1|172	149.2085	AFG3L1|172	223.8806
AFG3L2|10939	1588.6056	AFG3L2|10939	888.3919
AFMID|125061	589.0872	AFMID|125061	496.389
AFP|174	32.6709	AFP|174	65.4791
AFTPH|54812	2516.3355	AFTPH|54812	812.2292
AG2|387763	46.8171	AG2|387763	2025.5128
AGAP11|119385	66.3523	AGAP11|119385	110.2552
AGAP1|116987	442.9101	AGAP1|116987	369.2826
AGAP2|116986	21.4315	AGAP2|116986	127.0534
AGAP3|116988	1165.0387	AGAP3|116988	2523.8325
AGAP4|119016	244.5268	AGAP4|119016	249.8796
AGAP5|729092	89.6396	AGAP5|729092	20.053
AGAP6|414189	132.031	AGAP6|414189	107.8479
AGAP7|653268	21.2193	AGAP7|653268	19.2585
AGAP8|728404	15.8302	AGAP8|728404	6.7405
AGA|175	574.6042	AGA|175	458.3534
AGBL2|79841	180.869	AGBL2|79841	8.6663
AGBL4|84871	8.0835	AGBL4|84871	7.7034
AGBL5|60509	643.321	AGBL5|60509	687.5927
AGER|177	42.4385	AGER|177	72.701
AGFG1|3267	1461.7716	AGFG1|3267	1241.6948
AGFG2|3268	661.5022	AGFG2|3268	841.117
