gene_id	TCGA-BH-A0H7-01A-13R-A056-07	gene_id	TCGA-BH-A0H7-11A-13R-A089-07
ALKBH7|84266	439.9212	ALKBH7|84266	606.3418
ALKBH8|91801	183.5194	ALKBH8|91801	240.9126
lowly_expressed	lowly_expressed	ALK|238	13.9211
ALMS1|7840	666.1195	ALMS1|7840	645.785
lowly_expressed	lowly_expressed	ALOX12|239	8.894
ALOX15B|247	108.6671	ALOX15B|247	164.7332
ALOX15|246	110.9652	ALOX15|246	57.6179
ALOX5AP|241	241.6284	ALOX5AP|241	151.9722
ALOX5|240	160.5384	ALOX5|240	337.9737
ALOXE3|59344	8.2075	ALOXE3|59344	16.2413
ALPK1|80216	310.8995	ALPK1|80216	647.3318
ALPK2|115701	199.606	lowly_expressed	lowly_expressed
ALPK3|57538	93.5653	ALPK3|57538	204.9497
ALPL|249	154.3007	ALPL|249	1190.2552
ALS2CL|259173	34.4714	ALS2CL|259173	214.6172
ALS2CR4|65062	866.0538	ALS2CR4|65062	1277.6489
ALS2CR8|79800	108.0105	ALS2CR8|79800	135.7309
