gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
AKAP11|11215	632.3438	AKAP11|11215	1903.1361
AKAP12|9590	404.4527	AKAP12|9590	6759.7583
AKAP13|11214	2996.2894	AKAP13|11214	4564.3042
AKAP1|8165	3748.2993	AKAP1|8165	2652.3449
AKAP2|11217	256.4997	AKAP2|11217	2971.0099
AKAP3|10566	13.6054	AKAP3|10566	34.1421
AKAP5|9495	87.8169	AKAP5|9495	49.1033
AKAP6|9472	32.4675	AKAP6|9472	215.5941
AKAP7|9465	96.475	AKAP7|9465	181.8356
AKAP8L|26993	1209.6475	AKAP8L|26993	657.1401
AKAP8|10270	1234.3847	AKAP8|10270	614.5584
AKAP9|10142	2455.1639	AKAP9|10142	2216.5532
AKD1|221264	24.428	AKD1|221264	98.9738
AKIRIN1|79647	1005.5659	AKIRIN1|79647	1310.0604
AKIRIN2|55122	438.1571	AKIRIN2|55122	697.8038
AKNAD1|254268	8.9672	lowly_expressed	lowly_expressed
AKNA|80709	490.7236	AKNA|80709	1264.0261
AKR1A1|10327	2228.2004	AKR1A1|10327	1621.1758
lowly_expressed	lowly_expressed	AKR1B15|441282	17.2629
AKR1B1|231	1363.6364	AKR1B1|231	995.1089
AKR1C1|1645	51.9481	AKR1C1|1645	3909.0822
AKR1C2|1646	8.9672	AKR1C2|1646	3308.7178
AKR1C3|8644	76.0668	AKR1C3|8644	3134.9381
AKR1E2|83592	30.303	AKR1E2|83592	46.0343
AKR7A2|8574	1111.3173	AKR7A2|8574	992.4235
AKR7A3|22977	284.1682	AKR7A3|22977	21.4827
AKR7L|246181	12.3686	AKR7L|246181	5.3707
AKT1S1|84335	696.3513	AKT1S1|84335	897.2859
AKT1|207	3048.5467	AKT1|207	3749.1129
AKT2|208	2605.133	AKT2|208	3341.7090000000003
AKT3|10000	349.7217	AKT3|10000	1173.4919
AKTIP|64400	923.3921	AKTIP|64400	625.0273
ALAD|210	534.9412	ALAD|210	2774.3359
ALAS1|211	792.2078	ALAS1|211	1179.2462
lowly_expressed	lowly_expressed	ALAS2|212	14.9612
lowly_expressed	lowly_expressed	ALB|213	88.9997
ALCAM|214	3176.2523	ALCAM|214	1542.5338
ALDH16A1|126133	483.9208	ALDH16A1|126133	810.9715
ALDH18A1|5832	2761.2863	ALDH18A1|5832	1275.9183
