gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
lowly_expressed	lowly_expressed	ADHFE1|137872	453.7454
ADI1|55256	2228.2481	ADI1|55256	2484.866
ADIPOQ|9370	522.259	ADIPOQ|9370	57953.0471
ADIPOR1|51094	4790.8615	ADIPOR1|51094	2321.4201
ADIPOR2|79602	2682.6092	ADIPOR2|79602	6732.5085
ADK|132	178.926	ADK|132	479.1161
ADM2|79924	629.0168	ADM2|79924	27.3223
ADM|133	363.8305	ADM|133	1014.8284
ADNP2|22850	1722.6433	ADNP2|22850	635.2436
ADNP|23394	4112.7362	ADNP|23394	2280.4366
ADORA1|134	473.5775	ADORA1|134	342.9925
ADORA2A|135	52.9519	ADORA2A|135	72.2529
ADORA2B|136	190.8829	ADORA2B|136	40.9835
ADORA3|140	60.6384	ADORA3|140	124.902
ADO|84890	1114.1241	ADO|84890	625.4856
ADPGK|83440	617.6193	ADPGK|83440	805.9299
ADPRHL1|113622	326.2517	ADPRHL1|113622	104.4102
ADPRHL2|54936	627.7357	ADPRHL2|54936	446.4269
ADPRH|141	231.8779	ADPRH|141	699.6462
lowly_expressed	lowly_expressed	ADRA1A|148	28.786
ADRA1B|147	6.4055	ADRA1B|147	70.2574
lowly_expressed	lowly_expressed	ADRA1D|146	19.028
ADRA2A|150	29.8922	ADRA2A|150	2715.154
ADRA2B|151	149.8879	ADRA2B|151	37.5682
lowly_expressed	lowly_expressed	ADRA2C|152	140.5147
lowly_expressed	lowly_expressed	ADRB1|153	155.6396
ADRB2|154	6.8325	ADRB2|154	387.8791
lowly_expressed	lowly_expressed	ADRB3|155	10.2459
ADRBK1|156	1332.764	ADRBK1|156	1454.9127
ADRBK2|157	579.9082	ADRBK2|157	4150.0629
ADRM1|11047	2093.7333	ADRM1|11047	940.18
ADSL|158	775.4884	ADSL|158	756.7303
ADSSL1|122622	8.9677	ADSSL1|122622	141.4905
ADSS|159	3125.8674	ADSS|159	890.9023
AEBP1|165	11159.1758	AEBP1|165	7131.1214
AEBP2|121536	1060.7452	AEBP2|121536	495.7047
AEN|64782	301.4839	AEN|64782	317.1339
AES|166	4905.3059	AES|166	7521.4401
AFAP1L1|134265	100.3523	AFAP1L1|134265	1028.4896
AFAP1L2|84632	48.2545	AFAP1L2|84632	704.0372
AFAP1|60312	1521.3153	AFAP1|60312	1826.6814
AFF1|4299	1088.5022	AFF1|4299	3150.8472
AFF2|2334	5.5514	AFF2|2334	134.6599
AFF3|3899	18.3623	AFF3|3899	1561.7624
AFF4|27125	2336.714	AFF4|27125	3055.2191
AFG3L1|172	308.7435	AFG3L1|172	134.172
AFG3L2|10939	4032.2366	AFG3L2|10939	1141.9747
AFMID|125061	356.1439	AFMID|125061	373.2422
lowly_expressed	lowly_expressed	AFP|174	56.1083
AFTPH|54812	2121.9174	AFTPH|54812	1160.71
AG2|387763	57.2222	AG2|387763	542.5429
AGAP11|119385	38.8641	AGAP11|119385	234.684
AGAP1|116987	344.6141	AGAP1|116987	370.3148
AGAP2|116986	29.9306	AGAP2|116986	59.6309
AGAP3|116988	1688.4808	AGAP3|116988	752.8271
AGAP4|119016	428.3122	AGAP4|119016	116.1198
AGAP5|729092	26.4759	AGAP5|729092	23.907
AGAP6|414189	301.4839	AGAP6|414189	76.6
AGAP8|728404	32.0273	AGAP8|728404	20.0038
AGA|175	494.929	AGA|175	527.906
lowly_expressed	lowly_expressed	AGBL2|79841	5.3669
lowly_expressed	lowly_expressed	AGBL3|340351	5.8548
AGBL5|60509	2132.6017	AGBL5|60509	615.2495
AGER|177	27.33	AGER|177	15.6127
AGFG1|3267	1371.1968	AGFG1|3267	2721.0088
AGFG2|3268	271.1647	AGFG2|3268	395.1976
AGGF1|55109	689.2281	AGGF1|55109	940.18
AGK|55750	749.0125	AGK|55750	537.6639
AGL|178	784.8831	AGL|178	1188.0323
AGMAT|79814	84.9792	AGMAT|79814	6.3427
AGPAT1|10554	1821.9451	AGPAT1|10554	2081.379
AGPAT2|10555	2162.0583	AGPAT2|10555	6006.028
AGPAT3|56894	1807.6225	AGPAT3|56894	3650.455
AGPAT4|56895	718.2663	AGPAT4|56895	246.3886
AGPAT5|55326	635.8493	AGPAT5|55326	462.0397
AGPAT6|137964	3075.0507	AGPAT6|137964	1389.0464
AGPAT9|84803	16.6542	AGPAT9|84803	87.8217
AGPHD1|123688	25.6219	AGPHD1|123688	54.1567
AGPS|8540	570.9405	AGPS|8540	1505.1662
lowly_expressed	lowly_expressed	AGR2|10551	1575.4236
