gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
ACVR2A|92	502.1151	ACVR2A|92	884.351
ACVR2B|93	415.8206	ACVR2B|93	752.9317
ACVRL1|94	1001.269	ACVRL1|94	579.8625
ACY1|95	982.2335	ACY1|95	725.0344
lowly_expressed	lowly_expressed	ACY3|91703	22.6446
ACYP1|97	54.5685	ACYP1|97	74.4036
ACYP2|98	55.4146	ACYP2|98	145.1678
ADAL|161823	178.088	ADAL|161823	207.4404
ADAM10|102	1937.8173	ADAM10|102	1876.668
ADAM11|4185	7.6142	ADAM11|4185	26.6882
ADAM12|8038	3333.7563	ADAM12|8038	1116.8621
ADAM15|8751	10404.3993	ADAM15|8751	2587.9741
ADAM17|6868	838.4095	ADAM17|6868	706.8338
ADAM19|8728	534.264	ADAM19|8728	220.3801
lowly_expressed	lowly_expressed	ADAM20|8748	7.683
ADAM21P1|145241	5.9222	lowly_expressed	lowly_expressed
ADAM21|8747	17.7665	lowly_expressed	lowly_expressed
ADAM22|53616	52.8765	ADAM22|53616	65.5075
ADAM23|8745	79.1032	ADAM23|8745	45.2891
ADAM28|10863	83.3333	ADAM28|10863	78.0429
lowly_expressed	lowly_expressed	ADAM32|203102	39.2236
ADAM33|80332	322.4196	ADAM33|80332	682.5718
ADAM6|8755	18778.0372	ADAM6|8755	173085.0789
ADAM8|101	309.2217	ADAM8|101	95.835
ADAM9|8754	2070.643	ADAM9|8754	1415.6894
ADAMDEC1|27299	170.0508	lowly_expressed	lowly_expressed
ADAMTS10|81794	175.1269	ADAMTS10|81794	126.5669
ADAMTS12|81792	980.1184	ADAMTS12|81792	249.8989
ADAMTS13|11093	24.1117	ADAMTS13|11093	89.3651
ADAMTS14|140766	160.7445	ADAMTS14|140766	16.9834
ADAMTS15|170689	390.4399	ADAMTS15|170689	279.8221
ADAMTS16|170690	116.3283	ADAMTS16|170690	16.9834
ADAMTS17|170691	36.802	ADAMTS17|170691	55.8027
ADAMTS18|170692	141.286	ADAMTS18|170692	31.5406
lowly_expressed	lowly_expressed	ADAMTS19|171019	6.4699
ADAMTS1|9510	991.9628	ADAMTS1|9510	1564.0922
ADAMTS2|9509	1101.5228	ADAMTS2|9509	398.3017
ADAMTS3|9508	81.6413	ADAMTS3|9508	73.5948
ADAMTS4|9507	796.1083	ADAMTS4|9507	40.4367
ADAMTS5|11096	761.8443	ADAMTS5|11096	2558.8354
ADAMTS6|11174	82.9103	ADAMTS6|11174	15.366
ADAMTS7|11173	207.2758	ADAMTS7|11173	65.5075
ADAMTS8|11095	46.1083	ADAMTS8|11095	119.2883
ADAMTS9|56999	697.1235	ADAMTS9|56999	638.0914
ADAMTSL1|92949	285.956	ADAMTSL1|92949	158.5119
ADAMTSL2|9719	104.0609	ADAMTSL2|9719	22.6446
ADAMTSL3|57188	211.9289	ADAMTSL3|57188	255.1557
ADAMTSL4|54507	447.5465	ADAMTSL4|54507	376.8702
ADAMTSL5|339366	74.8731	ADAMTSL5|339366	65.5075
ADAP1|11033	66.4255	ADAP1|11033	51.9612
ADAP2|55803	373.0964	ADAP2|55803	166.5993
ADARB1|104	741.1168	ADARB1|104	812.778
ADAR|103	18368.0203	ADAR|103	7355.8431
ADAT1|23536	344.3316	ADAT1|23536	401.5366
ADAT2|134637	78.2572	ADAT2|134637	340.4772
ADAT3|113179	12.6904	ADAT3|113179	25.8795
ADA|100	312.1827	ADA|100	80.4691
ADCK1|57143	135.7868	ADCK1|57143	175.8997
ADCK2|90956	844.7547	ADCK2|90956	641.7307
ADCK4|79934	460.2369	ADCK4|79934	536.5952
ADCK5|203054	67.6819	ADCK5|203054	82.0865
ADCY1|107	398.9002	ADCY1|107	1645.7744
ADCY2|108	30.8799	ADCY2|108	185.6045
ADCY3|109	1995.8799	ADCY3|109	1315.0465
ADCY4|196883	474.6193	ADCY4|196883	452.4869
ADCY5|111	249.154	ADCY5|111	549.9393
ADCY6|112	2309.2217	ADCY6|112	2181.1565
ADCY7|113	771.1506	ADCY7|113	495.3498
ADCY9|115	1577.4112	ADCY9|115	954.7109
ADCYAP1R1|117	35.11	ADCYAP1R1|117	70.7643
ADCYAP1|116	12.6904	ADCYAP1|116	13.7485
ADC|113451	238.5787	ADC|113451	207.4404
ADD1|118	5165.8206	ADD1|118	6374.444
ADD2|119	82.9103	ADD2|119	51.759
ADD3|120	2414.1286	ADD3|120	3425.3943
ADH1A|124	291.4552	ADH1A|124	68.7424
ADH1B|125	31508.0372	ADH1B|125	6746.4618
ADH1C|126	126.9036	ADH1C|126	122.5233
lowly_expressed	lowly_expressed	ADH4|127	8.4917
ADH5|128	2097.2927	ADH5|128	3320.6632
ADH7|131	6.7682	lowly_expressed	lowly_expressed
ADHFE1|137872	148.9002	ADHFE1|137872	295.9968
ADI1|55256	1589.2555	ADI1|55256	1409.2196
ADIPOQ|9370	26127.7496	ADIPOQ|9370	4802.2645
ADIPOR1|51094	3660.3215	ADIPOR1|51094	2456.9349
ADIPOR2|79602	3889.5939	ADIPOR2|79602	1966.4375
ADK|132	359.1371	ADK|132	335.2204
ADM2|79924	88.4095	ADM2|79924	95.4307
ADM|133	358.714	ADM|133	180.7521
ADNP2|22850	688.2403	ADNP2|22850	805.4994
ADNP|23394	2998.308	ADNP|23394	3363.9304
ADORA1|134	1408.2064	ADORA1|134	490.4974
ADORA2A|135	175.5499	ADORA2A|135	103.518
ADORA2B|136	13.5364	ADORA2B|136	68.7424
ADORA3|140	177.242	ADORA3|140	89.7695
ADO|84890	584.1794	ADO|84890	687.4242
ADPGK|83440	991.692	ADPGK|83440	940.9624
ADPRHL1|113622	122.6734	ADPRHL1|113622	122.1189
ADPRHL2|54936	661.1675	ADPRHL2|54936	487.6668
ADPRH|141	293.9932	ADPRH|141	302.871
ADRA1A|148	18.1895	ADRA1A|148	22.2402
ADRA1B|147	13.5364	ADRA1B|147	8.4917
ADRA1D|146	9.7293	lowly_expressed	lowly_expressed
ADRA2A|150	1078.2572	ADRA2A|150	440.7602
ADRA2B|151	12.2673	ADRA2B|151	28.3057
ADRA2C|152	35.11	ADRA2C|152	22.2402
ADRB1|153	24.5347	ADRB1|153	14.5572
ADRB2|154	204.3147	ADRB2|154	123.332
ADRBK1|156	1440.7783	ADRBK1|156	1824.909
ADRBK2|157	1165.3976	ADRBK2|157	1111.6053
ADRM1|11047	1744.0778	ADRM1|11047	742.8225
ADSL|158	562.6058	ADSL|158	980.9947
ADSSL1|122622	171.7428	ADSSL1|122622	98.2612
ADSS|159	1166.6667	ADSS|159	1307.7234
AEBP1|165	14667.5127	AEBP1|165	4001.6175
AEBP2|121536	576.9882	AEBP2|121536	631.6215
AEN|64782	469.9662	AEN|64782	291.1444
AES|166	4149.3232	AES|166	5884.7554
AFAP1L1|134265	660.7445	AFAP1L1|134265	226.4456
AFAP1L2|84632	510.9983	AFAP1L2|84632	1061.0594
AFAP1|60312	1240.681	AFAP1|60312	1910.2224
AFF1|4299	2989.4247	AFF1|4299	2544.2782
AFF2|2334	36.379	AFF2|2334	30.3275
AFF3|3899	6103.2149	AFF3|3899	1522.038
AFF4|27125	3883.6717	AFF4|27125	3779.2155
AFG3L1|172	148.0541	AFG3L1|172	370.4003
AFG3L2|10939	1495.2242	AFG3L2|10939	1368.5928
AFMID|125061	292.7242	AFMID|125061	566.9228
lowly_expressed	lowly_expressed	AFP|174	19.0053
AFTPH|54812	1816.8359	AFTPH|54812	1672.4626
AG2|387763	169.6277	AG2|387763	52.5677
AGAP11|119385	78.7817	AGAP11|119385	165.2891
AGAP1|116987	653.9763	AGAP1|116987	542.6607
AGAP2|116986	163.5829	AGAP2|116986	96.7125
AGAP3|116988	1069.3739	AGAP3|116988	1345.7339
AGAP4|119016	158.6294	AGAP4|119016	285.4832
AGAP5|729092	32.5719	AGAP5|729092	62.5799
AGAP6|414189	105.3299	AGAP6|414189	162.5556
AGAP7|653268	30.0338	AGAP7|653268	7.683
AGAP8|728404	31.3029	AGAP8|728404	92.1957
AGA|175	338.8325	AGA|175	504.6502
lowly_expressed	lowly_expressed	AGBL2|79841	27.497
lowly_expressed	lowly_expressed	AGBL3|340351	10.9179
lowly_expressed	lowly_expressed	AGBL4|84871	6.8742
AGBL5|60509	568.5321	AGBL5|60509	1008.1156
AGER|177	25.8037	AGER|177	90.9826
AGFG1|3267	1958.1218	AGFG1|3267	1428.2248
AGFG2|3268	392.132	AGFG2|3268	522.8467
AGGF1|55109	1200.5076	AGGF1|55109	849.5754
AGK|55750	497.4619	AGK|55750	672.867
AGL|178	785.533	AGL|178	1051.759
AGMAT|79814	8.8832	AGMAT|79814	12.131
AGPAT1|10554	1860.681	AGPAT1|10554	1948.4674
AGPAT2|10555	2517.7665	AGPAT2|10555	562.8791
AGPAT3|56894	2373.5195	AGPAT3|56894	1648.2006
AGPAT4|56895	206.0068	AGPAT4|56895	298.8273
AGPAT5|55326	747.4619	AGPAT5|55326	641.7307
AGPAT6|137964	1620.1354	AGPAT6|137964	1808.7343
AGPAT9|84803	494.9239	AGPAT9|84803	262.4343
AGPHD1|123688	62.1827	AGPHD1|123688	82.0865
AGPS|8540	810.4907	AGPS|8540	816.4173
AGR2|10551	1980.1184	AGR2|10551	2244.2378
lowly_expressed	lowly_expressed	AGR3|155465	357.0562
AGRN|375790	3364.6362	AGRN|375790	4281.8439
AGTPBP1|23287	343.9086	AGTPBP1|23287	408.0065
AGTR1|185	239.0017	AGTR1|185	233.3199
AGTRAP|57085	910.3215	AGTRAP|57085	642.9438
AGT|183	924.2809	AGT|183	69.1468
AGXT2L2|85007	429.412	AGXT2L2|85007	712.2321
AHCTF1|25909	1660.7445	AHCTF1|25909	1356.6518
AHCYL1|10768	6626.9036	AHCYL1|10768	3995.9563
