gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
AEN|64782	704.8311	AEN|64782	215.8909
AES|166	6158.8242	AES|166	5021.2681
AFAP1L1|134265	244.0456	AFAP1L1|134265	1063.4029
AFAP1L2|84632	210.2547	AFAP1L2|84632	313.4029
AFAP1|60312	1040.6891	AFAP1|60312	1412.9173
AFF1|4299	1106.2264	AFF1|4299	5704.2536
AFF2|2334	22.186	AFF2|2334	131.6212
AFF3|3899	395.5928	AFF3|3899	484.3499
AFF4|27125	2809.0846	AFF4|27125	3709.8716
AFG3L1|172	305.4837	AFG3L1|172	186.9984
AFG3L2|10939	1094.6351	AFG3L2|10939	1177.6926
AFMID|125061	548.164	AFMID|125061	246.3884
AFTPH|54812	1905.2625	AFTPH|54812	1216.2921
AG2|387763	132.7745	AG2|387763	369.9839
removed	removed	AGAP11|119385	687.813
AGAP1|116987	557.3797	AGAP1|116987	476.3242
AGAP2|116986	89.4436	AGAP2|116986	38.8804
AGAP3|116988	952.6313	AGAP3|116988	521.2681
AGAP4|119016	148.134	AGAP4|119016	141.6533
AGAP5|729092	21.5033	AGAP5|729092	40.931
AGAP6|414189	103.0794	AGAP6|414189	122.3917
AGAP7|653268	6.1438	AGAP7|653268	6.8218
AGAP8|728404	22.186	AGAP8|728404	48.5554
AGA|175	379.892	AGA|175	460.6742
AGBL2|79841	30.0364	removed	removed
AGBL3|340351	6.8265	AGBL3|340351	6.0193
AGBL5|60509	977.9028	AGBL5|60509	490.3772
AGER|177	18.7727	AGER|177	16.0514
AGFG1|3267	1154.3529	AGFG1|3267	4317.817
AGFG2|3268	228.6861	AGFG2|3268	245.5859
AGGF1|55109	999.3924	AGGF1|55109	1010.0321
AGK|55750	890.8519	AGK|55750	484.7512
AGL|178	892.8998	AGL|178	1913.7239
AGMAT|79814	13.3116	removed	removed
AGPAT1|10554	1497.1875	AGPAT1|10554	1842.6605
AGPAT2|10555	832.4857	AGPAT2|10555	5246.7897
AGPAT3|56894	1755.0806	AGPAT3|56894	2109.5506
AGPAT4|56895	164.1761	AGPAT4|56895	357.5441
AGPAT5|55326	250.5308	AGPAT5|55326	399.2777
AGPAT6|137964	3302.9784	AGPAT6|137964	1338.2825
AGPAT9|84803	151.8885	AGPAT9|84803	151.6854
AGPHD1|123688	46.0785	AGPHD1|123688	77.8491
AGPS|8540	345.4184	AGPS|8540	2447.4318
AGR2|10551	4334.4551	removed	removed
AGR3|155465	995.6379	removed	removed
AGRN|375790	6059.8407	AGRN|375790	469.1011
AGTPBP1|23287	328.011	AGTPBP1|23287	625.2006
AGTR1|185	43.6893	AGTR1|185	1628.4109
AGTRAP|57085	770.365	AGTRAP|57085	394.4623
AGT|183	324.5978	AGT|183	359.5506
AGXT2L2|85007	493.7163	AGXT2L2|85007	559.1814
removed	removed	AGXT|189	10.0321
AHCTF1|25909	1917.2088	AHCTF1|25909	1914.9278
