gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
AGER|177	6.097	AGER|177	45.7516
AGFG1|3267	1450.3721	AGFG1|3267	1473.4477
AGFG2|3268	407.7827	AGFG2|3268	542.8922
AGGF1|55109	1050.8383	AGGF1|55109	997.9575
AGK|55750	629.7857	AGK|55750	572.7124
AGL|178	2634.2688	AGL|178	1170.3431
AGMAT|79814	88.9447	AGMAT|79814	12.6634
AGPAT1|10554	1756.618	AGPAT1|10554	1654.906
AGPAT2|10555	1588.8102	AGPAT2|10555	380.719
AGPAT3|56894	2896.7991	AGPAT3|56894	1911.3562
AGPAT4|56895	180.7585	AGPAT4|56895	337.4183
AGPAT5|55326	1255.9849	AGPAT5|55326	789.2157
AGPAT6|137964	1993.0064	AGPAT6|137964	2334.9673
AGPAT9|84803	60.6115	AGPAT9|84803	147.8758
AGPHD1|123688	57.7423	AGPHD1|123688	58.0065
AGPS|8540	832.7804	AGPS|8540	893.7908
AGR2|10551	6166.9506	AGR2|10551	1897.8758
AGR3|155465	3038.8236	AGR3|155465	335.7843
AGRN|375790	4939.6575	AGRN|375790	4204.6569
AGTPBP1|23287	345.7366	AGTPBP1|23287	471.4052
AGTR1|185	1803.9989	AGTR1|185	271.2418
AGTRAP|57085	885.8603	AGTRAP|57085	498.366
AGT|183	106.5184	AGT|183	7.7614
AGXT2L2|85007	318.9384	AGXT2L2|85007	327.8064
AHCTF1|25909	2147.9423	AHCTF1|25909	1803.1046
AHCYL1|10768	3065.7222	AHCYL1|10768	4123.7745
AHCYL2|23382	752.8019	AHCYL2|23382	748.7745
AHCY|191	3463.1041	AHCY|191	3023.6928
AHDC1|27245	764.996	AHDC1|27245	1673.6111
AHI1|54806	252.4881	AHI1|54806	518.3824
AHNAK2|113146	1712.5437	AHNAK2|113146	1152.3693
AHNAK|79026	71298.8434	AHNAK|79026	75124.183
AHRR|57491	19.0083	AHRR|57491	21.6503
AHR|196	1257.7782	AHR|196	3715.2778
AHSA1|10598	959.3831	AHSA1|10598	1653.1863
AHSA2|130872	187.9315	AHSA2|130872	415.8497
AIDA|64853	1516.4637	AIDA|64853	794.5752
AIF1L|83543	414.2383	AIF1L|83543	3516.3399
AIF1|199	437.1918	AIF1|199	395.8333
