gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
AK7|122481	22.0412	AK7|122481	64.3146
AKAP10|11216	495.9272	AKAP10|11216	802.2556
AKAP11|11215	1203.1624	AKAP11|11215	2709.4414
AKAP12|9590	1629.1327	AKAP12|9590	2271.127
AKAP13|11214	4562.5299	AKAP13|11214	4930.8847
AKAP1|8165	1469.5736	AKAP1|8165	2984.0738
AKAP2|11217	1054.2022	AKAP2|11217	1526.3796
AKAP3|10566	11.4998	AKAP3|10566	79.555
AKAP5|9495	68.9986	AKAP5|9495	199.0399
AKAP6|9472	73.311	AKAP6|9472	260.3063
AKAP7|9465	122.6641	AKAP7|9465	207.8793
AKAP8L|26993	549.1136	AKAP8L|26993	1175.9506
AKAP8|10270	486.8232	AKAP8|10270	932.4087
AKAP9|10142	1369.909	AKAP9|10142	5713.6326
AKD1|221264	111.1644	AKD1|221264	197.8206
AKIRIN1|79647	700.5271	AKIRIN1|79647	993.98
AKIRIN2|55122	649.7365	AKIRIN2|55122	565.7243
lowly_expressed	lowly_expressed	AKNAD1|254268	5.1817
AKNA|80709	582.6545	AKNA|80709	694.3534
AKR1A1|10327	2693.3397	AKR1A1|10327	1344.5096
AKR1B10|57016	18.208	lowly_expressed	lowly_expressed
AKR1B15|441282	26.3536	AKR1B15|441282	180.4465
AKR1B1|231	1300.4312	AKR1B1|231	697.7063
AKR1C1|1645	208.9123	AKR1C1|1645	236.3697
AKR1C2|1646	371.3464	AKR1C2|1646	171.3023
AKR1C3|8644	480.5942	AKR1C3|8644	390.7643
lowly_expressed	lowly_expressed	AKR1D1|6718	31.3953
AKR1E2|83592	15.333	AKR1E2|83592	38.2626
AKR7A2|8574	1037.3742	AKR7A2|8574	828.1643
AKR7A3|22977	14.3747	AKR7A3|22977	191.1148
lowly_expressed	lowly_expressed	AKR7L|246181	40.5395
AKT1S1|84335	1249.1615	AKT1S1|84335	625.7715
AKT1|207	3646.8615	AKT1|207	2696.6395
AKT2|208	2129.8515	AKT2|208	2130.0008
AKT3|10000	1116.4351	AKT3|10000	1191.8007
AKTIP|64400	561.955	AKTIP|64400	578.761
ALAD|210	1911.356	ALAD|210	2276.004
ALAS1|211	677.0484	ALAS1|211	658.6908
ALB|213	49.3531	ALB|213	33669.4353
ALCAM|214	2037.8534	ALCAM|214	5128.0957
ALDH16A1|126133	427.8869	ALDH16A1|126133	417.5874
ALDH18A1|5832	3389.5544	ALDH18A1|5832	1571.8967
ALDH1A1|216	813.6080000000001	ALDH1A1|216	1271.6604
