gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
AGFG1|3267	2838.2461	AGFG1|3267	2123.5939
AGFG2|3268	204.8637	AGFG2|3268	496.6261
AGGF1|55109	858.143	AGGF1|55109	1013.5139
AGK|55750	345.9838	AGK|55750	626.3869
AGL|178	1350.7738	AGL|178	1068.6946
AGMAT|79814	40.1621	AGMAT|79814	67.2515
AGPAT1|10554	1520.4274	AGPAT1|10554	1467.9268
AGPAT2|10555	419.6758	AGPAT2|10555	584.1392
AGPAT3|56894	1882.8298	AGPAT3|56894	2060.2224
AGPAT4|56895	372.5129	AGPAT4|56895	414.7173
AGPAT5|55326	219.9705	lowly_expressed	lowly_expressed
AGPAT6|137964	1046.7944	AGPAT6|137964	1705.4279
AGPAT9|84803	270.0811	AGPAT9|84803	191.408
AGPHD1|123688	25.0553	AGPHD1|123688	28.4525
AGPS|8540	1495.5785	AGPS|8540	1362.273
AGR2|10551	176.8607	AGR2|10551	387.5581
AGR3|155465	21.7391	AGR3|155465	132.3474
AGRN|375790	13188.283	AGRN|375790	4311.4216
AGTPBP1|23287	1310.6116	AGTPBP1|23287	669.4968
lowly_expressed	lowly_expressed	AGTR1|185	131.9163
AGTRAP|57085	929.6242	AGTRAP|57085	466.0181
AGT|183	163.2277	AGT|183	247.4509
AGXT2L1|64850	29.1083	AGXT2L1|64850	8.622
AGXT2L2|85007	198.3382	AGXT2L2|85007	489.9268
AHCTF1|25909	4559.322	AHCTF1|25909	1937.3592
AHCYL1|10768	3331.2454	AHCYL1|10768	3017.6934
AHCYL2|23382	647.7524	AHCYL2|23382	693.6384
AHCY|191	2193.4414	AHCY|191	2297.758
AHDC1|27245	1542.0044	AHDC1|27245	1220.8725
AHI1|54806	424.4657	AHI1|54806	456.1028
AHNAK2|113146	2781.8718	AHNAK2|113146	1409.2628
AHNAK|79026	19042.7413	AHNAK|79026	64028.9871
AHRR|57491	22.1076	AHRR|57491	25.0037
AHR|196	2614.9595	AHR|196	4755.8848
AHSA1|10598	1037.2144	AHSA1|10598	1283.3819
AHSA2|130872	475.6817	AHSA2|130872	885.4775
lowly_expressed	lowly_expressed	AICDA|57379	74.149
AIDA|64853	1064.4031	AIDA|64853	1002.7493
AIF1L|83543	1935.5195	AIF1L|83543	2458.1268
AIF1|199	589.1673	AIF1|199	595.3478
AIFM1|9131	819.0862	AIFM1|9131	647.5108
AIFM2|84883	406.7797	AIFM2|84883	317.72
lowly_expressed	lowly_expressed	AIFM3|150209	10.1826
AIG1|51390	402.7266	AIG1|51390	473.7779
