gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
AK7|122481	24.4575	AK7|122481	31.5416
AKAP10|11216	1290.4399	AKAP10|11216	625.0452
AKAP11|11215	2406.62	AKAP11|11215	2823.989
AKAP12|9590	1101.8113	AKAP12|9590	5768.3571
AKAP13|11214	2328.9674	AKAP13|11214	4132.5327
AKAP1|8165	3603.51	AKAP1|8165	3149.5334
AKAP2|11217	360.1829	AKAP2|11217	2274.2039
AKAP3|10566	14.9802	AKAP3|10566	55.5596
AKAP5|9495	582.7004	AKAP5|9495	79.2881
AKAP6|9472	135.1278	AKAP6|9472	259.5674
AKAP7|9465	148.2737	AKAP7|9465	305.5777
AKAP8L|26993	220.7291	AKAP8L|26993	686.3922
AKAP8|10270	470.1958	AKAP8|10270	694.4947
AKAP9|10142	2295.3383	AKAP9|10142	3165.7383
AKD1|221264	97.8301	AKD1|221264	160.0231
AKIRIN1|79647	1367.7868	AKIRIN1|79647	1632.9306
AKIRIN2|55122	812.2954	AKIRIN2|55122	822.6868
AKNA|80709	264.1412	AKNA|80709	971.4244
AKR1A1|10327	1328.3491	AKR1A1|10327	1313.1737
AKR1B15|441282	9.783	lowly_expressed	lowly_expressed
AKR1B1|231	555.1857	AKR1B1|231	853.071
AKR1C1|1645	663.4408	AKR1C1|1645	3848.0793
AKR1C2|1646	500.7677	AKR1C2|1646	2783.4768
AKR1C3|8644	678.0848	AKR1C3|8644	2863.0543
AKR1D1|6718	7.643	lowly_expressed	lowly_expressed
AKR1E2|83592	38.7957	AKR1E2|83592	39.3547
AKR7A2|8574	330.4822	AKR7A2|8574	820.0825
AKR7A3|22977	30.5719	AKR7A3|22977	36.461
lowly_expressed	lowly_expressed	AKR7L|246181	8.1024
AKT1S1|84335	847.1474	AKT1S1|84335	812.5588
AKT1|207	1885.3691	AKT1|207	2944.6575
AKT2|208	1051.3677	AKT2|208	4899.9494
AKT3|10000	806.7925	AKT3|10000	1388.7
AKTIP|64400	901.8497	AKTIP|64400	616.5434
ALAD|210	916.8513	ALAD|210	3100.0506
ALAS1|211	1122.6002	ALAS1|211	1071.5474
lowly_expressed	lowly_expressed	ALAS2|212	8.9706
ALB|213	8.8659	ALB|213	2047.8912
ALCAM|214	8965.2099	ALCAM|214	2225.2767
ALDH16A1|126133	149.4966	ALDH16A1|126133	399.0451
ALDH18A1|5832	1667.3915	ALDH18A1|5832	864.0671
ALDH1A1|216	491.2904	ALDH1A1|216	4129.3496
ALDH1A2|8854	48.3036	ALDH1A2|8854	513.9261
ALDH1A3|220	300.9039	ALDH1A3|220	1005.4836
ALDH1B1|219	1331.1006	ALDH1B1|219	728.6407
ALDH1L1|10840	120.1476	ALDH1L1|10840	3607.8999
ALDH1L2|160428	1138.8033	ALDH1L2|160428	421.3268
ALDH2|217	3169.6947	ALDH2|217	17909.8604
lowly_expressed	lowly_expressed	ALDH3A1|218	39.9334
ALDH3A2|224	2183.7509	ALDH3A2|224	4287.3472
ALDH3B1|221	249.4667	ALDH3B1|221	140.3458
ALDH3B2|222	5186.8287	ALDH3B2|222	546.0464
ALDH4A1|8659	449.1012	ALDH4A1|8659	1501.8448
ALDH5A1|7915	1310.6174	ALDH5A1|7915	762.4973
ALDH6A1|4329	482.2381	ALDH6A1|4329	2016.8299
ALDH7A1|501	714.1596	ALDH7A1|501	2264.6314
ALDH8A1|64577	19.8717	ALDH8A1|64577	14.1793
ALDH9A1|223	3054.1329	ALDH9A1|223	5914.7797
ALDOA|226	13098.5309	ALDOA|226	15809.5927
lowly_expressed	lowly_expressed	ALDOB|229	5.4981
ALDOC|230	368.3914	ALDOC|230	3514.7218
ALG10B|144245	476.9217	ALG10B|144245	393.2576
ALG10|84920	190.7687	ALG10|84920	118.6428
ALG11|440138	13.7574	ALG11|440138	10.7068
ALG12|79087	297.4646	ALG12|79087	401.0707
ALG13|79868	675.3333	ALG13|79868	510.1642
ALG14|199857	483.3418	ALG14|199857	171.5981
ALG1L|200810	231.2734	ALG1L|200810	5.3331
ALG1|56052	599.7351	ALG1|56052	353.709
ALG2|85365	1454.9168	ALG2|85365	665.8468
ALG3|10195	1318.8718	ALG3|10195	340.5918
ALG5|29880	1013.1528	ALG5|29880	556.4639
ALG6|29929	1785.0933	ALG6|29929	209.5059
ALG8|79053	1093.5569	ALG8|79053	597.5548
ALG9|79796	697.6508	ALG9|79796	705.7802
ALKBH1|8846	348.5197	ALKBH1|8846	193.8798
ALKBH2|121642	75.8183	ALKBH2|121642	185.1986
ALKBH3|221120	369.0028	ALKBH3|221120	322.6507
ALKBH4|54784	64.7605	ALKBH4|54784	166.3373
ALKBH5|54890	1581.7902	ALKBH5|54890	2045.5154
ALKBH6|84964	55.0294	ALKBH6|84964	73.7901
ALKBH7|84266	127.1791	ALKBH7|84266	341.1705
