gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
ADRA2C|152	10.493	ADRA2C|152	80.9272
lowly_expressed	lowly_expressed	ADRB1|153	121.5941
ADRB2|154	13.4526	ADRB2|154	1033.3469
lowly_expressed	lowly_expressed	ADRB3|155	60.5937
ADRBK1|156	1791.35	ADRBK1|156	928.4262
ADRBK2|157	1084.5497	ADRBK2|157	11092.7206
ADRM1|11047	1393.9598	ADRM1|11047	548.597
ADSL|158	687.1595	ADSL|158	706.3847
ADSSL1|122622	152.2836	ADSSL1|122622	208.2147
ADSS|159	2479.8547	ADSS|159	706.3847
AEBP1|165	7386.2918	AEBP1|165	4538.0236
AEBP2|121536	563.3954	AEBP2|121536	692.9646
AEN|64782	256.9449	AEN|64782	126.0675
AES|166	4564.4716	AES|166	3748.2717
AFAP1L1|134265	158.7408	AFAP1L1|134265	2343.6356
AFAP1L2|84632	385.0138	AFAP1L2|84632	396.9093
AFAP1|60312	828.1187	AFAP1|60312	1376.1651
AFARP1|246182	7.2644	lowly_expressed	lowly_expressed
AFF1|4299	4116.7687	AFF1|4299	6448.1497
AFF2|2334	7.5335	AFF2|2334	21.9601
AFF3|3899	2825.3178	AFF3|3899	566.8971
AFF4|27125	4786.1707	AFF4|27125	3744.205
AFG3L1|172	141.5215	AFG3L1|172	209.8414
AFG3L2|10939	1463.2058	AFG3L2|10939	1754.4449
AFMID|125061	1128.6742	AFMID|125061	154.941
AFTPH|54812	3414.5423	AFTPH|54812	1109.3941
AG2|387763	35.784	AG2|387763	587.6373
AGAP11|119385	51.9271	AGAP11|119385	1045.6039
AGAP1|116987	858.2767	AGAP1|116987	353.8024
AGAP2|116986	29.3348	AGAP2|116986	31.6795
AGAP3|116988	599.7175	AGAP3|116988	798.6987
AGAP4|119016	188.8747	AGAP4|119016	151.281
AGAP5|729092	97.8785	AGAP5|729092	43.5665
AGAP6|414189	137.4857	AGAP6|414189	126.4742
AGAP7|653268	6.7263	lowly_expressed	lowly_expressed
AGAP8|728404	29.5957	AGAP8|728404	27.6535
AGA|175	618.5512	AGA|175	301.7487
AGBL2|79841	55.4248	lowly_expressed	lowly_expressed
AGBL3|340351	6.7263	AGBL3|340351	10.9801
AGBL4|84871	19.1027	AGBL4|84871	13.0134
AGBL5|60509	761.9722	AGBL5|60509	720.6222
AGER|177	21.7932	AGER|177	33.3469
AGFG1|3267	1779.5117	AGFG1|3267	3172.4278
AGFG2|3268	223.8515	AGFG2|3268	419.6828
AGGF1|55109	1050.6491	AGGF1|55109	938.5929
AGK|55750	367.7944	AGK|55750	578.2839
AGL|178	962.1309	AGL|178	1909.7194
AGMAT|79814	52.1961	lowly_expressed	lowly_expressed
AGPAT1|10554	1352.4558	AGPAT1|10554	2047.2021
AGPAT2|10555	791.5518	AGPAT2|10555	8763.7251
AGPAT3|56894	3816.5064	AGPAT3|56894	2481.9032
AGPAT4|56895	72.106	AGPAT4|56895	235.8682
AGPAT5|55326	940.8758	AGPAT5|55326	400.1627
AGPAT6|137964	3773.9961	AGPAT6|137964	1280.6019
AGPAT9|84803	23.9457	AGPAT9|84803	1917.0394
AGPHD1|123688	53.0033	AGPHD1|123688	104.1074
AGPS|8540	1329.6563	AGPS|8540	1803.5787
AGR2|10551	4734.5127	AGR2|10551	8.5401
AGR3|155465	12490.7513	AGR3|155465	13.4201
AGRN|375790	2972.4894	AGRN|375790	535.9902
AGTPBP1|23287	208.5155	AGTPBP1|23287	830.4189
AGTR1|185	10.493	AGTR1|185	2379.8292
AGTRAP|57085	858.5458	AGTRAP|57085	418.4628
AGT|183	2098.0696	AGT|183	376.5758
AGXT2L2|85007	422.4336	AGXT2L2|85007	922.5051
lowly_expressed	lowly_expressed	AGXT|189	16.6734
AHCTF1|25909	2715.5445	AHCTF1|25909	1925.5795
AHCYL1|10768	5921.0332	AHCYL1|10768	5115.9008
AHCYL2|23382	696.5763	AHCYL2|23382	836.1122
AHCY|191	2235.8243	AHCY|191	1479.0565
AHDC1|27245	845.6313	AHDC1|27245	311.5087
AHI1|54806	598.6413	AHI1|54806	396.9093
AHNAK2|113146	3404.5873	AHNAK2|113146	710.0447
AHNAK|79026	38800.565	AHNAK|79026	151055.307
AHRR|57491	64.8416	AHRR|57491	13.4201
AHR|196	3973.6329	AHR|196	2502.6434
AHSA1|10598	1064.9089	AHSA1|10598	877.9992
AHSA2|130872	843.2098	AHSA2|130872	717.3648
AIDA|64853	1077.8852	AIDA|64853	2711.3135
AIF1L|83543	270.9356	AIF1L|83543	2749.085
AIF1|199	185.6461	AIF1|199	367.2224
AIFM1|9131	1003.0268	AIFM1|9131	1203.7414
AIFM2|84883	423.4883	AIFM2|84883	3871.8991
AIFM3|150209	68.7106	lowly_expressed	lowly_expressed
AIG1|51390	644.9183	AIG1|51390	1454.2497
AIM1L|55057	7.5335	lowly_expressed	lowly_expressed
AIM1|202	597.027	AIM1|202	3680.3579
AIMP1|9255	1459.6839	AIMP1|9255	979.8699
AIMP2|7965	207.8698	AIMP2|7965	206.6572
AIP|9049	722.6744	AIP|9049	530.7035
AJAP1|55966	8.3406	AJAP1|55966	10.9801
AK1|203	490.2132	AK1|203	661.6511
AK2|204	2270.263	AK2|204	2614.4774
AK3L1|205	151.4764	AK3L1|205	1427.8162
AK3|50808	897.0202	AK3|50808	4497.7633
AK5|26289	784.5564	AK5|26289	17.0801
AK7|122481	7.8025	AK7|122481	5.6934
AKAP10|11216	560.4359	AKAP10|11216	701.5047
AKAP11|11215	2398.3319	AKAP11|11215	3531.5169
AKAP12|9590	394.1616	AKAP12|9590	11078.0805
AKAP13|11214	3275.1732	AKAP13|11214	3216.3481
AKAP1|8165	2177.709	AKAP1|8165	5166.3278
AKAP2|11217	227.2792	AKAP2|11217	3224.7296
AKAP3|10566	15.8741	AKAP3|10566	55.307
AKAP5|9495	846.4384	AKAP5|9495	40.2603
AKAP6|9472	11.0311	AKAP6|9472	155.7544
AKAP7|9465	89.3254	AKAP7|9465	404.2294
AKAP8L|26993	803.121	AKAP8L|26993	347.7023
AKAP8|10270	715.41	AKAP8|10270	407.076
AKAP9|10142	2684.0654	AKAP9|10142	2641.7243
AKD1|221264	235.4207	AKD1|221264	173.2412
AKIRIN1|79647	1307.8631	AKIRIN1|79647	1584.3839
AKIRIN2|55122	344.6559	AKIRIN2|55122	776.7385
AKNA|80709	419.7215	AKNA|80709	740.5449
AKR1A1|10327	3123.6968	AKR1A1|10327	1185.4412
AKR1B1|231	243.4923	AKR1B1|231	989.0199
AKR1C1|1645	36.8602	AKR1C1|1645	5925.9862
AKR1C2|1646	44.6627	AKR1C2|1646	8671.0045
AKR1C3|8644	288.9621	AKR1C3|8644	4191.9479
AKR1D1|6718	6.1882	lowly_expressed	lowly_expressed
AKR1E2|83592	7.8025	AKR1E2|83592	59.7804
AKR7A2|8574	1198.3588	AKR7A2|8574	1227.3282
AKR7A3|22977	398.4664	lowly_expressed	lowly_expressed
AKR7L|246181	46.277	AKR7L|246181	7.32
AKT1S1|84335	1094.2356	AKT1S1|84335	862.5458
AKT1|207	6430.08	AKT1|207	2618.9508
AKT2|208	2938.0507	AKT2|208	5174.8678
AKT3|10000	216.8561	AKT3|10000	1766.5718
AKTIP|64400	403.6726	AKTIP|64400	778.5116
ALAD|210	2190.6235	ALAD|210	2336.3156
ALAS1|211	1307.594	ALAS1|211	1290.3619
