gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
ACSS3|79611	762.8654	ACSS3|79611	1563.6456
ACTA1|58	9.0572	lowly_expressed	lowly_expressed
ACTA2|59	8093.8452	ACTA2|59	3202.6578
ACTB|60	85494.4422	ACTB|60	64842.668
ACTG1|71	34743.9275	ACTG1|71	32175.1527
ACTG2|72	156.8547	ACTG2|72	181.7719
ACTL6A|86	1435.5702	ACTL6A|86	572.8106
ACTN1|87	5662.8242	ACTN1|87	5582.9939
ACTN4|81	13987.5463	ACTN4|81	10318.5183
ACTR10|55860	1386.1671	ACTR10|55860	1080.9572
ACTR1A|10121	2247.0152	ACTR1A|10121	3701.1202
ACTR1B|10120	1179.9094	ACTR1B|10120	1330.4481
ACTR2|10097	6498.5591	ACTR2|10097	5954.6843
ACTR3B|57180	412.5154	ACTR3B|57180	80.9572
ACTR3C|653857	83.5735	ACTR3C|653857	25.4582
ACTR3|10096	3762.8654	ACTR3|10096	2766.8024
ACTR5|79913	233.0177	ACTR5|79913	131.8737
ACTR6|64431	503.4994	ACTR6|64431	378.3096
ACTR8|93973	687.9374	ACTR8|93973	456.2118
ACVR1B|91	2034.5821	ACVR1B|91	982.6884
ACVR1C|130399	82.7501	ACVR1C|130399	3481.6701
ACVR1|90	779.3331	ACVR1|90	992.3625
ACVR2A|92	355.7019	ACVR2A|92	452.6477
ACVR2B|93	574.3104	ACVR2B|93	314.1548
ACVRL1|94	269.6583	ACVRL1|94	1251.0183
ACY1|95	592.2684	ACY1|95	558.6914
ACYP1|97	75.3396	ACYP1|97	26.9857
ACYP2|98	175.3808	ACYP2|98	266.2933
ADAL|161823	109.0984	ADAL|161823	225.0509
ADAM10|102	2013.1741	ADAM10|102	1099.7963
ADAM11|4185	19.7612	ADAM11|4185	6.11
ADAM12|8038	2340.4693	ADAM12|8038	2175.6619
ADAM15|8751	1718.8143	ADAM15|8751	2304.4807
ADAM17|6868	726.6365	ADAM17|6868	578.9206
ADAM18|8749	9.4689	lowly_expressed	lowly_expressed
ADAM19|8728	487.0317	ADAM19|8728	118.6354
lowly_expressed	lowly_expressed	ADAM21|8747	5.6008
ADAM22|53616	22.6431	ADAM22|53616	380.8554
ADAM23|8745	57.2252	ADAM23|8745	45.8248
ADAM28|10863	16.056	ADAM28|10863	21.3849
ADAM32|203102	707.2869	ADAM32|203102	13.2383
ADAM33|80332	25.5249	ADAM33|80332	540.8401
ADAM5P|255926	469.7406	lowly_expressed	lowly_expressed
ADAM6|8755	3937.7686	ADAM6|8755	1735.6008
ADAM8|101	96.7476	ADAM8|101	92.1589
ADAM9|8754	16482.5031	ADAM9|8754	2218.9409
ADAMTS10|81794	55.9901	ADAMTS10|81794	382.8921
ADAMTS12|81792	538.4932	ADAMTS12|81792	658.3503
ADAMTS13|11093	58.872	ADAMTS13|11093	28.5132
ADAMTS14|140766	263.4829	ADAMTS14|140766	5.6008
ADAMTS15|170689	11.9391	ADAMTS15|170689	574.8473
ADAMTS16|170690	67.5175	ADAMTS16|170690	76.3747
ADAMTS17|170691	86.4553	ADAMTS17|170691	26.4766
ADAMTS18|170692	11.5274	ADAMTS18|170692	125.7637
ADAMTS1|9510	423.2194	ADAMTS1|9510	7170.5703
ADAMTS2|9509	591.6015	ADAMTS2|9509	1378.8187
ADAMTS3|9508	12.3508	ADAMTS3|9508	160.8961
ADAMTS4|9507	222.7254	ADAMTS4|9507	408.8595
ADAMTS5|11096	106.6282	ADAMTS5|11096	2656.8228
ADAMTS6|11174	91.8073	ADAMTS6|11174	53.9715
ADAMTS7|11173	102.5113	ADAMTS7|11173	174.6436
ADAMTS8|11095	10.2923	ADAMTS8|11095	11.7108
ADAMTS9|56999	202.5525	ADAMTS9|56999	705.1935
ADAMTSL1|92949	90.1606	ADAMTSL1|92949	234.2159
ADAMTSL2|9719	169.2054	ADAMTSL2|9719	58.0448
ADAMTSL3|57188	255.6608	ADAMTSL3|57188	386.4562
