gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
AIM1L|55057	5.9834	lowly_expressed	lowly_expressed
AIM1|202	1226.3267	AIM1|202	2563.2857
AIM2|9447	12.2268	AIM2|9447	21.5507
AIMP1|9255	1894.7347	AIMP1|9255	1139.3457
AIMP2|7965	631.756	AIMP2|7965	223.4184
AIP|9049	496.6181	AIP|9049	799.8751
lowly_expressed	lowly_expressed	AJAP1|55966	20.3014
AK1|203	694.3288	AK1|203	461.9349
AK2|204	3398.283	AK2|204	1876.4738
AK3L1|205	519.5109	AK3L1|205	769.5791
AK3|50808	463.0593	AK3|50808	2804.0915
AK5|26289	45.2653	AK5|26289	317.6388
AK7|122481	11.1863	AK7|122481	17.4904
AKAP10|11216	360.0416	AKAP10|11216	668.0721
AKAP11|11215	1363.6837	AKAP11|11215	3387.5224
AKAP12|9590	395.4214	AKAP12|9590	7913.7971
AKAP13|11214	1599.8959	AKAP13|11214	5217.7715
AKAP1|8165	3424.5578	AKAP1|8165	3265.0894
AKAP2|11217	278.0957	AKAP2|11217	1823.2873
AKAP3|10566	7.5442	AKAP3|10566	29.0466
AKAP5|9495	68.6785	AKAP5|9495	75.896
AKAP6|9472	33.8189	AKAP6|9472	301.71
AKAP7|9465	113.9438	AKAP7|9465	248.614
AKAP8L|26993	753.642	AKAP8L|26993	484.7349
AKAP8|10270	653.7461	AKAP8|10270	417.5841
AKAP9|10142	2511.1863	AKAP9|10142	3340.9854
AKD1|221264	54.6306	AKD1|221264	147.7317
AKIRIN1|79647	1789.282	AKIRIN1|79647	1131.5687
AKIRIN2|55122	533.2986	AKIRIN2|55122	710.5489
AKNA|80709	368.8866	AKNA|80709	1018.1932
AKR1A1|10327	2325.4422	AKR1A1|10327	1343.3279
AKR1B10|57016	14.308	lowly_expressed	lowly_expressed
AKR1B1|231	1029.1363	AKR1B1|231	1045.6781
AKR1C1|1645	38.7617	AKR1C1|1645	2676.6612
AKR1C2|1646	65.2966	AKR1C2|1646	4008.4329
AKR1C3|8644	612.6431	AKR1C3|8644	1825.2518
AKR1D1|6718	55.6712	lowly_expressed	lowly_expressed
AKR1E2|83592	51.5088	AKR1E2|83592	41.2275
AKR7A2|8574	1752.3413	AKR7A2|8574	833.6066
AKR7A3|22977	278.616	AKR7A3|22977	39.0411
AKR7L|246181	44.7451	lowly_expressed	lowly_expressed
AKT1S1|84335	896.462	AKT1S1|84335	710.5489
AKT1|207	2309.5734	AKT1|207	2451.4719
AKT2|208	2556.1915	AKT2|208	2932.7711
AKT3|10000	2648.8033	AKT3|10000	1643.1639
AKTIP|64400	462.7211	AKTIP|64400	620.5107
ALAD|210	909.9896	ALAD|210	1670.9612
ALAS1|211	1194.8491	ALAS1|211	834.2313
lowly_expressed	lowly_expressed	ALAS2|212	86.2029
ALB|213	23.153000000000002	ALB|213	25.2987
ALCAM|214	6061.9147	ALCAM|214	3410.3225
ALDH16A1|126133	273.9334	ALDH16A1|126133	314.5155
ALDH18A1|5832	4718.5224	ALDH18A1|5832	1459.2020000000002
ALDH1A1|216	79.0843	ALDH1A1|216	5522.9172
ALDH1A2|8854	7.8044	ALDH1A2|8854	382.6033
ALDH1A3|220	110.0312	ALDH1A3|220	1246.6557
ALDH1B1|219	1006.2435	ALDH1B1|219	520.3404
lowly_expressed	lowly_expressed	ALDH1L1|10840	2282.5018
ALDH1L2|160428	310.8741	ALDH1L2|160428	513.1569
ALDH2|217	2078.3039	ALDH2|217	20635.5899
lowly_expressed	lowly_expressed	ALDH3A1|218	17.4904
ALDH3A2|224	1236.2123	ALDH3A2|224	3818.5367
ALDH3B1|221	189.3861	ALDH3B1|221	159.2879
ALDH3B2|222	28.616	ALDH3B2|222	537.5185
ALDH4A1|8659	436.2643	ALDH4A1|8659	800.4997
ALDH5A1|7915	271.0718	ALDH5A1|7915	770.5161
