gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
AGPHD1|123688	36.0524	AGPHD1|123688	120.6535
AGPS|8540	514.9308	AGPS|8540	1961.039
AGR2|10551	37229.0605	AGR2|10551	2566.4013
AGR3|155465	6388.9294	AGR3|155465	1079.5978
AGRN|375790	2475.6009	AGRN|375790	521.5752
AGTPBP1|23287	258.1937	AGTPBP1|23287	399.2459
AGTR1|185	231.9738	AGTR1|185	725.178
AGTRAP|57085	1234.1588	AGTRAP|57085	362.7985
AGT|183	73.9257	AGT|183	22.6225
AGXT2L2|85007	227.9425	AGXT2L2|85007	119.7905
AHCTF1|25909	1380.1894	AHCTF1|25909	1236.6988
AHCYL1|10768	7454.1151	AHCYL1|10768	5221.6171
AHCYL2|23382	515.6591	AHCYL2|23382	745.287
AHCY|191	3168.6089	AHCY|191	1332.2162
AHDC1|27245	645.6664	AHDC1|27245	480.5195
AHI1|54806	282.2287	AHI1|54806	441.1395
AHNAK2|113146	467.9534	AHNAK2|113146	957.6875
AHNAK|79026	31009.1042	AHNAK|79026	26660.243
AHRR|57491	7.2833	AHRR|57491	9.6355
AHR|196	914.421	AHR|196	3718.0561
AHSA1|10598	2191.1872	AHSA1|10598	731.0432
AHSA2|130872	210.8521	AHSA2|130872	188.1022
AIDA|64853	1074.2972	AIDA|64853	3649.7696
AIF1L|83543	182.8114	AIF1L|83543	1144.9518
AIF1|199	282.5929	AIF1|199	277.3356
AIFM1|9131	1213.7655	AIFM1|9131	269.3758
AIFM2|84883	362.7094	AIFM2|84883	275.2409
AIFM3|150209	6.1908	lowly_expressed	lowly_expressed
AIG1|51390	2316.0961	AIG1|51390	1578.1315
AIM1|202	1426.0743	AIM1|202	5797.235
AIM2|9447	9.4683	lowly_expressed	lowly_expressed
AIMP1|9255	1990.5317	AIMP1|9255	1684.1223
AIMP2|7965	783.9803	AIMP2|7965	243.0457
AIP|9049	431.5368	AIP|9049	229.5769
AK1|203	520.0291	AK1|203	183.075
AK2|204	3306.2637	AK2|204	3030.5823
AK3L1|205	26.22	AK3L1|205	512.3586
AK3|50808	1013.8383	AK3|50808	2859.2375
AK5|26289	35.6883	AK5|26289	3358.1902
AK7|122481	25.4916	AK7|122481	19.2711
AKAP10|11216	773.8529	AKAP10|11216	328.0268
AKAP11|11215	1106.3365	AKAP11|11215	2192.7105
AKAP12|9590	184.268	AKAP12|9590	2322.1617
AKAP13|11214	1206.8463	AKAP13|11214	2010.8923
AKAP1|8165	2113.2556	AKAP1|8165	2873.4814
AKAP2|11217	156.6715	AKAP2|11217	402.7817
AKAP3|10566	31.3183	AKAP3|10566	11.7302
AKAP5|9495	73.1974	AKAP5|9495	98.8689
AKAP6|9472	14.2025	AKAP6|9472	336.4055
