gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
ADAT1|23536	987.3027	ADAT1|23536	321.4286
ADAT2|134637	50.103	ADAT2|134637	150.7937
ADAT3|113179	27.7968	ADAT3|113179	27.4471
ADA|100	77.8998	ADA|100	78.0423
ADCK1|57143	141.3864	ADCK1|57143	196.4286
ADCK2|90956	851.0638	ADCK2|90956	583.9947
ADCK4|79934	789.2931	ADCK4|79934	451.0582
ADCK5|203054	140.3569	ADCK5|203054	85.9788
ADCY10|55811	15.0995	lowly_expressed	lowly_expressed
ADCY1|107	7265.9574	ADCY1|107	2071.7593
ADCY2|108	8.2361	ADCY2|108	46.2963
ADCY3|109	1029.0014	ADCY3|109	1388.244
ADCY4|196883	113.5896	ADCY4|196883	723.545
ADCY5|111	5.8339	ADCY5|111	498.3466
ADCY6|112	2577.2135	ADCY6|112	3281.0847
ADCY7|113	317.0899	ADCY7|113	488.4259
ADCY8|114	5.1476	lowly_expressed	lowly_expressed
ADCY9|115	1944.4063	ADCY9|115	1027.7778
lowly_expressed	lowly_expressed	ADCYAP1R1|117	36.3757
lowly_expressed	lowly_expressed	ADCYAP1|116	34.7222
ADC|113451	207.9616	ADC|113451	139.5503
ADD1|118	5406.3143	ADD1|118	6587.3016
ADD2|119	19.9039	ADD2|119	68.1217
ADD3|120	264.9279	ADD3|120	2788.0291
lowly_expressed	lowly_expressed	ADH1A|124	123.3466
ADH1B|125	17.5017	ADH1B|125	18073.4127
lowly_expressed	lowly_expressed	ADH1C|126	229.828
lowly_expressed	lowly_expressed	ADH4|127	43.6508
ADH5|128	1598.8332	ADH5|128	3062.5
ADHFE1|137872	117.3644	ADHFE1|137872	330.6878
ADI1|55256	1530.8854	ADI1|55256	1397.8175
ADIPOQ|9370	23.6788	ADIPOQ|9370	16621.3624
ADIPOR1|51094	2050.7893	ADIPOR1|51094	2228.5053
ADIPOR2|79602	15725.1201	ADIPOR2|79602	3159.7222
ADK|132	360.6726	ADK|132	315.1455
ADM2|79924	35.6898	ADM2|79924	91.6005
ADM|133	50.103	ADM|133	825.0661
ADNP2|22850	908.3734	ADNP2|22850	706.3492
ADNP|23394	3658.545	ADNP|23394	2661.045
ADORA1|134	70.35	ADORA1|134	293.6508
ADORA2A|135	212.0762	ADORA2A|135	68.1184
ADORA2B|136	16.129	ADORA2B|136	70.1058
