gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
ADAMTSL2|9719	105.9583	ADAMTSL2|9719	38.2754
ADAMTSL3|57188	215.4388	ADAMTSL3|57188	155.524
ADAMTSL4|54507	206.0464	ADAMTSL4|54507	432.1726
ADAMTSL5|339366	120.9275	ADAMTSL5|339366	35.8529
ADAP1|11033	159.6683	ADAP1|11033	94.8551
ADAP2|55803	337.5404	ADAP2|55803	228.1988
ADARB1|104	650.7191	ADARB1|104	643.414
ADAR|103	9982.9762	ADAR|103	6834.8199
ADAT1|23536	393.6014	ADAT1|23536	349.8079
ADAT2|134637	136.1902	ADAT2|134637	220.9313
ADAT3|113179	22.6005	ADAT3|113179	24.2249
ADA|100	114.4702	ADA|100	81.3957
ADCK1|57143	136.1902	ADCK1|57143	174.4194
ADCK2|90956	810.0969	ADCK2|90956	690.4103
ADCK4|79934	401.5263	ADCK4|79934	435.0796
ADCK5|203054	83.6513	ADCK5|203054	89.6322
lowly_expressed	lowly_expressed	ADCY10|55811	5.814
ADCY1|107	1724.391	ADCY1|107	196.2219
ADCY2|108	61.9313	ADCY2|108	140.5046
ADCY3|109	1024.843	ADCY3|109	1277.9762
ADCY4|196883	153.801	ADCY4|196883	299.4201
ADCY5|111	199.2956	ADCY5|111	299.4201
ADCY6|112	1733.4899	ADCY6|112	2510.6711
ADCY7|113	1207.2204	ADCY7|113	630.817
ADCY9|115	1189.9031	ADCY9|115	797.969
ADCYAP1R1|117	12.6211	ADCYAP1R1|117	20.8334
ADCYAP1|116	131.7875	ADCYAP1|116	60.0778
ADC|113451	211.9166	ADC|113451	165.6985
ADD1|118	4993.8362	ADD1|118	5637.6242
ADD2|119	54.3	ADD2|119	41.1824
ADD3|120	2339.0079	ADD3|120	3523.2729
ADH1A|124	22.894	ADH1A|124	111.735
ADH1B|125	2006.7508	ADH1B|125	9257.3123
ADH1C|126	32.8735	ADH1C|126	262.5982
lowly_expressed	lowly_expressed	ADH4|127	20.3489
ADH5|128	2133.2551	ADH5|128	2842.5525
ADHFE1|137872	128.5588	ADHFE1|137872	241.2802
ADI1|55256	942.4714	ADI1|55256	1525.2012
ADIPOQ|9370	441.1506	ADIPOQ|9370	6809.626
ADIPOR1|51094	2036.1021	ADIPOR1|51094	2267.4528
ADIPOR2|79602	2202.8177	ADIPOR2|79602	1899.234
ADK|132	449.956	ADK|132	380.3313
