gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
ALG9|79796	586.3166	ALG9|79796	756.1976
ALKBH1|8846	552.1082	ALKBH1|8846	176.2083
ALKBH2|121642	232.2991	ALKBH2|121642	224.7191
ALKBH3|221120	515.5131	ALKBH3|221120	256.1084
ALKBH4|54784	119.8807	ALKBH4|54784	239.6861
ALKBH5|54890	1371.5195	ALKBH5|54890	2118.0667
ALKBH6|84964	43.755	ALKBH6|84964	74.9064
ALKBH7|84266	277.6452	ALKBH7|84266	1047.9757
ALKBH8|91801	316.6269	ALKBH8|91801	164.0806
lowly_expressed	lowly_expressed	ALK|238	24.2554
ALMS1P|200420	7.9554	lowly_expressed	lowly_expressed
ALMS1|7840	1369.9284	ALMS1|7840	618.5126
ALOX15B|247	38.1862	lowly_expressed	lowly_expressed
ALOX5AP|241	319.8091	ALOX5AP|241	142.6788
ALOX5|240	129.6738	ALOX5|240	76.3332
ALPK1|80216	490.0557	ALPK1|80216	319.6005
