gene_id	TCGA-E2-A15A-01A-11R-A12D-07	gene_id	TCGA-E2-A15A-06A-11R-A12D-07
ALDH8A1|64577	7.9981	lowly_expressed	lowly_expressed
ALDH9A1|223	2647.3646	ALDH9A1|223	2855.7085
ALDOA|226	31583.46	ALDOA|226	19200.426
ALDOC|230	474.7661	ALDOC|230	361.4513
ALG10B|144245	371.4309	ALG10B|144245	456.9864
ALG10|84920	111.0134	ALG10|84920	109.8349
ALG11|440138	44.1494	ALG11|440138	55.0696
ALG12|79087	1029.8328	ALG12|79087	1132.7299
ALG13|79868	497.1607	ALG13|79868	657.1841
ALG14|199857	102.3754	ALG14|199857	104.9669
ALG1L|200810	38.0837	ALG1L|200810	76.7293
ALG1|56052	675.6874	ALG1|56052	631.484
ALG2|85365	561.4652	ALG2|85365	680.3073
ALG3|10195	1549.7081	ALG3|10195	1577.5462
ALG5|29880	531.0725	ALG5|29880	577.4701
ALG6|29929	339.1186	ALG6|29929	444.8163
ALG8|79053	3566.1841	ALG8|79053	7044.9532
ALG9|79796	523.7143	ALG9|79796	478.8925
ALKBH1|8846	229.7049	ALKBH1|8846	249.7908
ALKBH2|121642	240.9022	ALKBH2|121642	282.65
ALKBH3|221120	113.5727	ALKBH3|221120	288.4308
ALKBH4|54784	209.9944	ALKBH4|54784	215.4712
ALKBH5|54890	1654.9148	ALKBH5|54890	1658.7024
ALKBH6|84964	103.0153	ALKBH6|84964	63.2844
ALKBH7|84266	283.452	ALKBH7|84266	383.6617
ALKBH8|91801	205.3907	ALKBH8|91801	226.9719
lowly_expressed	lowly_expressed	ALMS1P|200420	6.9978
ALMS1|7840	1380.4687	ALMS1|7840	1047.8436
ALOX12P2|245	59.8256	ALOX12P2|245	49.5931
lowly_expressed	lowly_expressed	ALOX12|239	5.1723
ALOX15B|247	71.9827	ALOX15B|247	31.3379
ALOX15|246	313.8447	ALOX15|246	419.2591
ALOX5AP|241	262.9769	ALOX5AP|241	267.7417
ALOX5|240	327.9213	ALOX5|240	456.9864
ALOXE3|59344	8.318	lowly_expressed	lowly_expressed
ALPK1|80216	430.6167	ALPK1|80216	473.1117
ALPK2|115701	63.0249	ALPK2|115701	52.0271
ALPK3|57538	125.4099	ALPK3|57538	38.64
ALPL|249	132.4482	ALPL|249	133.2623
ALS2CL|259173	195.793	ALS2CL|259173	236.0995
ALS2CR12|130540	6.7184	lowly_expressed	lowly_expressed
ALS2CR4|65062	468.6875	ALS2CR4|65062	577.4701
ALS2CR8|79800	113.2528	ALS2CR8|79800	139.9559
ALS2|57679	801.7276	ALS2|57679	766.4106
ALX3|257	8.6379	ALX3|257	11.2573
AMACR|23600	277.3734	AMACR|23600	320.9858
AMBP|259	41.2701	AMBP|259	80.6268
AMBRA1|55626	1150.7638	AMBRA1|55626	1042.3671
AMD1|262	1578.386	AMD1|262	1911.0063
AMDHD2|51005	283.7975	AMDHD2|51005	187.045
AMFR|267	5789.6505	AMFR|267	4606.6783
AMICA1|120425	98.8563	AMICA1|120425	416.8251
AMIGO1|57463	91.818	AMIGO1|57463	79.714
AMIGO2|347902	7770.6151	AMIGO2|347902	9335.9671
AMIGO3|386724	47.0287	AMIGO3|386724	59.3291
