gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
AEBP1|165	34144.6513	AEBP1|165	4185.9875
AEBP2|121536	495.1205	AEBP2|121536	827.6445
AEN|64782	441.9219	AEN|64782	445.5247
AES|166	8921.9695	AES|166	5405.474
AFAP1L1|134265	266.4598	AFAP1L1|134265	294.6212
AFAP1L2|84632	442.8552	AFAP1L2|84632	1172.1441
AFAP1|60312	1738.7504	AFAP1|60312	1702.1663
AFF1|4299	1949.683	AFF1|4299	2933.1079
AFF2|2334	18.1995	AFF2|2334	73.1269
AFF3|3899	849.3114	AFF3|3899	1747.0147
AFF4|27125	2428.4706	AFF4|27125	5424.4954
AFG3L1|172	90.531	AFG3L1|172	355.4898
AFG3L2|10939	1458.893	AFG3L2|10939	1621.2026
AFMID|125061	630.4504	AFMID|125061	460.3191
lowly_expressed	lowly_expressed	AFP|174	9.2994
AFTPH|54812	1852.6188	AFTPH|54812	1714.8896
AG2|387763	204.3947	AG2|387763	227.412
AGAP11|119385	13.0663	AGAP11|119385	141.6126
AGAP1|116987	518.4533	AGAP1|116987	639.9662
AGAP2|116986	84.8005	AGAP2|116986	112.29
AGAP3|116988	1179.2362	AGAP3|116988	934.5873
AGAP4|119016	76.998	AGAP4|119016	314.488
AGAP5|729092	17.7329	AGAP5|729092	61.8958
AGAP6|414189	35.4658	AGAP6|414189	139.4906
AGAP7|653268	22.3994	AGAP7|653268	43.9607
lowly_expressed	lowly_expressed	AGAP8|728404	10.9902
AGA|175	616.9174	AGA|175	491.1762
AGBL2|79841	25.1993	AGBL2|79841	21.9803
AGBL3|340351	9.7997	AGBL3|340351	7.1859
AGBL4|84871	14.9329	lowly_expressed	lowly_expressed
AGBL5|60509	625.8305	AGBL5|60509	776.5106
AGER|177	9.3331	AGER|177	21.5576
AGFG1|3267	1245.9678	AGFG1|3267	2188.3124
AGFG2|3268	384.0567	AGFG2|3268	468.3504
AGGF1|55109	892.7103	AGGF1|55109	771.4256
AGK|55750	374.7237	AGK|55750	510.1976
AGL|178	620.184	AGL|178	1323.0477
AGMAT|79814	37.3324	AGMAT|79814	13.9491
AGPAT1|10554	2101.9057	AGPAT1|10554	1780.4544
AGPAT2|10555	1277.2337	AGPAT2|10555	1140.4417
AGPAT3|56894	2856.3929	AGPAT3|56894	1709.3945
AGPAT4|56895	198.7949	AGPAT4|56895	277.7132
AGPAT5|55326	668.7161	AGPAT5|55326	730.0011
AGPAT6|137964	1457.3624	AGPAT6|137964	1935.5384
AGPAT9|84803	36.8657	AGPAT9|84803	361.4076
AGPHD1|123688	41.9989	AGPHD1|123688	53.2601
AGPS|8540	1038.3065	AGPS|8540	977.2799
AGR2|10551	3087.3869	AGR2|10551	1965.9727
AGR3|155465	1124.171	AGR3|155465	486.1038
AGRN|375790	11319.1743	AGRN|375790	4385.9241
AGTPBP1|23287	173.1289	AGTPBP1|23287	460.7418
AGTR1|185	391.0566	AGTR1|185	553.7356
AGTRAP|57085	1594.5588	AGTRAP|57085	562.1896
AGT|183	136.7298	AGT|183	30.857
lowly_expressed	lowly_expressed	AGXT2L1|64850	6.7632
AGXT2L2|85007	271.8636	AGXT2L2|85007	380.019
AHCTF1|25909	1512.4276	AHCTF1|25909	1594.8431
AHCYL1|10768	4251.2235	AHCYL1|10768	4000.4227
AHCYL2|23382	458.2548	AHCYL2|23382	843.2844
AHCY|191	4971.2716	AHCY|191	3260.2769
AHDC1|27245	863.311	AHDC1|27245	1686.9914
AHI1|54806	161.4625	AHI1|54806	478.4952
AHNAK2|113146	816.6456	AHNAK2|113146	852.5837
AHNAK|79026	27149.032	AHNAK|79026	80156.3986
AHRR|57491	26.1327	AHRR|57491	27.0527
AHR|196	1538.0936	AHR|196	2933.9533
AHSA1|10598	1618.8248	AHSA1|10598	1192.8564
AHSA2|130872	86.3311	AHSA2|130872	456.0921
AIDA|64853	1818.2077	AIDA|64853	864.1911
AIF1L|83543	256.1934	AIF1L|83543	1644.2988
AIF1|199	507.2536	AIF1|199	249.3924
AIFM1|9131	952.9087	AIFM1|9131	587.1288
AIFM2|84883	334.1247	AIFM2|84883	530.0645
AIFM3|150209	44.1689	AIFM3|150209	5.9178
AIG1|51390	354.1909	AIG1|51390	816.6543
AIM1L|55057	5.5999	lowly_expressed	lowly_expressed
AIM1|202	1007.5073	AIM1|202	4431.1529
AIM2|9447	11.1997	AIM2|9447	12.681
AIMP1|9255	928.5867	AIMP1|9255	888.0905
AIMP2|7965	388.5786	AIMP2|7965	314.0949
AIP|9049	759.2471	AIP|9049	517.8062
AJAP1|55966	17.2662	AJAP1|55966	27.8981
AK1|203	659.8496	AK1|203	295.8893
AK2|204	2371.0721	AK2|204	2123.2167
AK3L1|205	315.4585	AK3L1|205	678.0091
AK3|50808	1323.8991	AK3|50808	1674.3105
AK5|26289	314.9919	AK5|26289	1987.9531
AK7|122481	68.5982	AK7|122481	13.5264
AKAP10|11216	280.9261	AKAP10|11216	626.0171
AKAP11|11215	1073.3056	AKAP11|11215	2353.165
AKAP12|9590	1200.7023	AKAP12|9590	1684.0325
AKAP13|11214	2407.4711	AKAP13|11214	6015.0058
AKAP14|158798	13.533	lowly_expressed	lowly_expressed
AKAP1|8165	1247.3678	AKAP1|8165	2692.5922
AKAP2|11217	574.8345	AKAP2|11217	2337.0686
AKAP3|10566	13.533	AKAP3|10566	27.0527
AKAP5|9495	85.3978	AKAP5|9495	74.8177
AKAP6|9472	54.5986	AKAP6|9472	197.4004
AKAP7|9465	104.5306	AKAP7|9465	215.9992
AKAP8L|26993	692.5154	AKAP8L|26993	530.0645
AKAP8|10270	573.0519	AKAP8|10270	812.4273
AKAP9|10142	2241.3421	AKAP9|10142	3141.0758
AKD1|221264	72.7981	AKD1|221264	186.4102
AKIRIN1|79647	1160.57	AKIRIN1|79647	1329.8108
AKIRIN2|55122	426.989	AKIRIN2|55122	643.7705
lowly_expressed	lowly_expressed	AKNAD1|254268	7.6086
AKNA|80709	824.5787	AKNA|80709	760.4354
AKR1A1|10327	2828.8603	AKR1A1|10327	1256.2612
AKR1B10|57016	6.0665	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	8.454
AKR1B1|231	692.5154	AKR1B1|231	859.3469
AKR1C1|1645	97.9975	AKR1C1|1645	347.4585
AKR1C2|1646	47.1321	AKR1C2|1646	350.8401
AKR1C3|8644	230.0607	AKR1C3|8644	487.7946
AKR1E2|83592	20.5328	AKR1E2|83592	47.765
AKR7A2|8574	1903.0175	AKR7A2|8574	891.472
AKR7A3|22977	1727.5554	AKR7A3|22977	148.79
AKR7L|246181	80.2646	AKR7L|246181	19.8668
AKT1S1|84335	1576.3593	AKT1S1|84335	699.9894
AKT1|207	4545.6826	AKT1|207	2797.4215
AKT2|208	2651.5315	AKT2|208	1959.6323
AKT3|10000	892.2436	AKT3|10000	1118.4614
AKTIP|64400	401.673	AKTIP|64400	539.3342
ALAD|210	1422.8299	ALAD|210	1371.658
ALAS1|211	657.0497	ALAS1|211	699.5667
lowly_expressed	lowly_expressed	ALB|213	92.1484
ALCAM|214	4207.358	lowly_expressed	lowly_expressed
ALDH16A1|126133	851.178	ALDH16A1|126133	374.5113
ALDH18A1|5832	2672.0643	ALDH18A1|5832	1840.0085
ALDH1A1|216	259.9266	ALDH1A1|216	1693.3319
ALDH1A2|8854	99.3974	ALDH1A2|8854	330.9733
ALDH1A3|220	765.5329	ALDH1A3|220	4474.5556
ALDH1B1|219	1214.2353	ALDH1B1|219	530.0645
ALDH1L1|10840	59.2651	ALDH1L1|10840	318.715
ALDH1L2|160428	488.1207	ALDH1L2|160428	276.0224
ALDH2|217	3539.1086	ALDH2|217	2486.3151
ALDH3A1|218	6.0665	ALDH3A1|218	19.8668
ALDH3A2|224	607.1176	ALDH3A2|224	1711.5079999999998
ALDH3B1|221	133.4632	ALDH3B1|221	118.7784
ALDH3B2|222	779.3132	ALDH3B2|222	1593.575
ALDH4A1|8659	776.9799	ALDH4A1|8659	672.5139999999999
ALDH5A1|7915	627.1838	ALDH5A1|7915	588.8196
ALDH6A1|4329	592.3294	ALDH6A1|4329	615.4158
ALDH7A1|501	1579.6259	ALDH7A1|501	2989.7496
lowly_expressed	lowly_expressed	ALDH8A1|64577	10.1448
ALDH9A1|223	4083.6945	ALDH9A1|223	3351.5798
ALDOA|226	31790.3787	ALDOA|226	11340.167
ALDOC|230	172.1956	ALDOC|230	992.9198
ALG10B|144245	237.0605	ALG10B|144245	327.5917
ALG10|84920	110.5971	ALG10|84920	120.8919
ALG11|440138	14.9329	ALG11|440138	11.4129
ALG12|79087	823.1787	ALG12|79087	421.8535
ALG13|79868	364.4573	ALG13|79868	565.5712
ALG14|199857	281.3927	ALG14|199857	158.9348
ALG1|56052	868.1549	ALG1|56052	432.9409
ALG2|85365	1024.3069	ALG2|85365	750.2906
ALG3|10195	860.0444	ALG3|10195	596.0055
ALG5|29880	730.3145	ALG5|29880	626.4398
ALG6|29929	325.7249	ALG6|29929	224.4531
ALG8|79053	937.0425	ALG8|79053	852.5837
ALG9|79796	542.2527	ALG9|79796	615.8723
ALKBH1|8846	269.2597	ALKBH1|8846	246.4335
ALKBH2|121642	302.3922	ALKBH2|121642	211.3495
ALKBH3|221120	308.4587	ALKBH3|221120	342.3861
ALKBH4|54784	292.0511	ALKBH4|54784	168.585
ALKBH5|54890	1482.879	ALKBH5|54890	1703.8994
ALKBH6|84964	97.0642	ALKBH6|84964	72.2815
ALKBH7|84266	1044.8397	ALKBH7|84266	362.25300000000004
ALKBH8|91801	194.1283	ALKBH8|91801	290.3942
lowly_expressed	lowly_expressed	ALK|238	15.2172
ALMS1|7840	821.7788	ALMS1|7840	1127.3381
lowly_expressed	lowly_expressed	ALOX12P2|245	69.3226
ALOX15B|247	1230.5682	ALOX15B|247	1040.6848
ALOX5AP|241	561.8522	ALOX5AP|241	357.1806
