gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
ALG13|79868	682.4727	ALG13|79868	554.6241
ALG14|199857	179.0961	ALG14|199857	194.8104
ALG1L|200810	34.0848	lowly_expressed	lowly_expressed
ALG1|56052	722.3225	ALG1|56052	318.2595
ALG2|85365	764.7792	ALG2|85365	762.7412
ALG3|10195	447.5636	ALG3|10195	356.0878
ALG5|29880	890.8883	ALG5|29880	590.2861
ALG6|29929	453.9221	ALG6|29929	282.1025
ALG8|79053	1118.0259	ALG8|79053	782.4351
ALG9|79796	616.4156	ALG9|79796	994.8104
ALKBH1|8846	514.3272	ALKBH1|8846	190.5522
ALKBH2|121642	178.7428	ALKBH2|121642	138.9222
ALKBH3|221120	343.7091	ALKBH3|221120	322.0226
ALKBH4|54784	285.8367	ALKBH4|54784	131.1191
ALKBH5|54890	1269.8584	ALKBH5|54890	2257.7565
ALKBH6|84964	77.361	ALKBH6|84964	52.6946
ALKBH7|84266	259.2831	ALKBH7|84266	440.7186
ALKBH8|91801	273.0597	ALKBH8|91801	232.0692
lowly_expressed	lowly_expressed	ALK|238	10.1131
ALMS1P|200420	13.0701	lowly_expressed	lowly_expressed
