gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
ADAMTSL4|54507	770.7941	ADAMTSL4|54507	410.9992
ADAMTSL5|339366	162.213	ADAMTSL5|339366	57.5147
ADAP1|11033	374.1287	ADAP1|11033	160.445
ADAP2|55803	251.4114	ADAP2|55803	262.8044
ADARB1|104	320.286	ADARB1|104	1010.0756
ADAR|103	7999.2473	ADAR|103	4734.6767
ADAT1|23536	218.2913	ADAT1|23536	119.6474
ADAT2|134637	25.9691	ADAT2|134637	105.3736
ADAT3|113179	72.6383	ADAT3|113179	35.2645
ADA|100	61.7237	ADA|100	140.6381
ADCK1|57143	222.8077	ADCK1|57143	174.6432
ADCK2|90956	1504.3282	ADCK2|90956	1038.2032
ADCK4|79934	672.9394	ADCK4|79934	504.1982
ADCK5|203054	129.093	ADCK5|203054	97.3971
ADCY1|107	2986.4509	ADCY1|107	861.8808
ADCY2|108	5.6455	ADCY2|108	127.204
ADCY3|109	347.3466	ADCY3|109	1470.3065
ADCY4|196883	74.8965	ADCY4|196883	535.6843
ADCY5|111	1895.7471	ADCY5|111	443.7448
ADCY6|112	2361.3097	ADCY6|112	2075.5668
ADCY7|113	210.764	ADCY7|113	238.0353
ADCY9|115	3266.4659	ADCY9|115	953.8203
ADC|113451	175.0094	ADC|113451	157.8505
ADD1|118	4517.5009	ADD1|118	7989.5046
ADD2|119	20.3237	ADD2|119	26.0285
ADD3|120	304.8551	ADD3|120	1401.7632
ADH1A|124	11.2909	ADH1A|124	195.6339
ADH1B|125	1552.8792	ADH1B|125	18641.4777
lowly_expressed	lowly_expressed	ADH1C|126	605.7935
lowly_expressed	lowly_expressed	ADH4|127	23.9295
ADH5|128	2168.6112	ADH5|128	4484.047
lowly_expressed	lowly_expressed	ADH7|131	157.4307
ADHFE1|137872	141.8893	ADHFE1|137872	352.225
ADI1|55256	1873.918	ADI1|55256	2818.22
ADIPOQ|9370	2172.7512	ADIPOQ|9370	13034.005
ADIPOR1|51094	4099.7365	ADIPOR1|51094	2658.6902
ADIPOR2|79602	2030.8619	ADIPOR2|79602	3262.8044
ADK|132	623.2593	ADK|132	396.3056
ADM2|79924	269.8532	ADM2|79924	86.0621
ADM|133	47.4219	ADM|133	1253.1486
ADNP2|22850	575.0847	ADNP2|22850	509.6558
ADNP|23394	2947.309	ADNP|23394	1905.5416
ADORA1|134	4268.7241	ADORA1|134	265.3233
ADORA2A|135	453.1426	ADORA2A|135	92.3594
ADORA2B|136	24.0873	ADORA2B|136	134.7607
ADORA3|140	237.4859	ADORA3|140	141.4777
ADO|84890	610.8393	ADO|84890	560.4534
ADPGK|83440	790.2597	ADPGK|83440	751.7086
ADPRHL1|113622	19.5709	ADPRHL1|113622	80.6045
ADPRHL2|54936	845.3143	ADPRHL2|54936	760.2855
ADPRH|141	151.6748	ADPRH|141	649.8741
lowly_expressed	lowly_expressed	ADRA1A|148	17.2124
ADRA1B|147	9.4091	ADRA1B|147	24.3493
lowly_expressed	lowly_expressed	ADRA1D|146	5.4576
ADRA2A|150	149.793	ADRA2A|150	1120.9068
ADRA2B|151	10.9146	ADRA2B|151	76.8262
ADRA2C|152	281.5205	ADRA2C|152	121.3266
ADRB1|153	16.9364	ADRB1|153	81.4442
ADRB2|154	25.9691	ADRB2|154	373.6356
ADRBK1|156	2063.9819	ADRBK1|156	1219.9832
ADRBK2|157	720.7377	ADRBK2|157	1309.4039
ADRM1|11047	1282.6496	ADRM1|11047	1582.2838
ADSL|158	512.2318	ADSL|158	1073.0479
ADSSL1|122622	435.0772	ADSSL1|122622	181.3602
ADSS|159	1190.064	ADSS|159	869.0176
AEBP1|165	11996.9891	AEBP1|165	10612.9303
AEBP2|121536	283.7787	AEBP2|121536	478.1696
AEN|64782	710.5758	AEN|64782	458.4383
AES|166	7485.8863	AES|166	9913.5181
AFAP1L1|134265	158.8257	AFAP1L1|134265	569.6893
AFAP1L2|84632	167.1058	AFAP1L2|84632	1498.3207
AFAP1|60312	1308.5962	AFAP1|60312	1025.6087
AFARP1|246182	9.7855	lowly_expressed	lowly_expressed
AFF1|4299	1591.2683	AFF1|4299	1245.5919
AFF2|2334	8.28	AFF2|2334	14.2737
AFF3|3899	7435.8299	AFF3|3899	1165.4072
AFF4|27125	3540.4592	AFF4|27125	1418.5558
AFG3L1|172	88.0693	AFG3L1|172	267.8421
AFG3L2|10939	813.1088	AFG3L2|10939	1415.0882
AFMID|125061	465.1863	AFMID|125061	812.7624
lowly_expressed	lowly_expressed	AFP|174	627.204
AFTPH|54812	1900.2635	AFTPH|54812	1119.6474
AG2|387763	68.1219	AG2|387763	170.0252
AGAP11|119385	22.9582	AGAP11|119385	136.44
AGAP1|116987	439.2172	AGAP1|116987	236.356
AGAP2|116986	68.4381	AGAP2|116986	72.204
AGAP3|116988	1181.0312	AGAP3|116988	1644.8363
AGAP4|119016	94.8438	AGAP4|119016	238.4551
AGAP5|729092	18.4419	AGAP5|729092	32.8547
AGAP6|414189	54.5728	AGAP6|414189	129.3031
AGAP7|653268	5.6455	AGAP7|653268	5.8774
AGAP8|728404	15.8073	AGAP8|728404	32.3258
AGA|175	507.3391	AGA|175	447.5231
AGBL2|79841	41.7764	AGBL2|79841	12.1746
lowly_expressed	lowly_expressed	AGBL4|84871	11.335
AGBL5|60509	860.7678	AGBL5|60509	1003.0101
AGER|177	10.5382	AGER|177	50.7976
AGFG1|3267	776.4396	AGFG1|3267	1159.9496
AGFG2|3268	403.8389	AGFG2|3268	623.0059
AGGF1|55109	932.6308	AGGF1|55109	648.1948
AGK|55750	438.8408	AGK|55750	550.7976
AGL|178	520.1355	AGL|178	448.3627
