gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
ADIPOR1|51094	2215.587	ADIPOR1|51094	2978.1544
ADIPOR2|79602	2625	ADIPOR2|79602	4088.8889
ADK|132	494.9393	ADK|132	535.5932
ADM2|79924	96.1538	ADM2|79924	80.9793
ADM|133	118.9271	ADM|133	16.9492
ADNP2|22850	952.9352	ADNP2|22850	1019.5857
ADNP|23394	3259.6154	ADNP|23394	3816.9492
ADORA1|134	126.0121	ADORA1|134	218.4557
ADORA2A|135	81.4777	ADORA2A|135	77.2128
ADORA2B|136	50.6073	lowly_expressed	lowly_expressed
ADORA3|140	165.9919	ADORA3|140	227.8719
ADO|84890	659.919	ADO|84890	612.4294
ADPGK|83440	779.8583	ADPGK|83440	1156.8249
ADPRHL1|113622	196.3563	ADPRHL1|113622	170.6215
ADPRHL2|54936	922.5709	ADPRHL2|54936	870.4331
ADPRH|141	229.251	ADPRH|141	163.0885
ADRA1B|147	5.5668	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADRA1D|146	7.1563
ADRA2A|150	905.8704	ADRA2A|150	1567.6083
ADRA2B|151	11.1336	lowly_expressed	lowly_expressed
ADRA2C|152	23.2794	ADRA2C|152	27.1186
ADRB1|153	8.0972	lowly_expressed	lowly_expressed
ADRB2|154	83.502	ADRB2|154	21.8456
ADRBK1|156	1293.0162	ADRBK1|156	1727.307
ADRBK2|157	663.9676	ADRBK2|157	535.5932
ADRM1|11047	1237.3482	ADRM1|11047	1204.5198
ADSL|158	890.6883	ADSL|158	706.968
ADSSL1|122622	103.7449	ADSSL1|122622	138.9831
ADSS|159	1645.2429	ADSS|159	1942.7495
AEBP1|165	10331.4777	AEBP1|165	4647.081
AEBP2|121536	611.8421	AEBP2|121536	587.9473
AEN|64782	408.9069	AEN|64782	177.7778
AES|166	3713.5628	AES|166	4193.9736
AFAP1L1|134265	144.7368	AFAP1L1|134265	44.4444
AFAP1L2|84632	673.0769	AFAP1L2|84632	136.3465
AFAP1|60312	1055.1468	AFAP1|60312	845.5593
lowly_expressed	lowly_expressed	AFARP1|246182	7.533
AFF1|4299	2644.7368	AFF1|4299	2632.3917
AFF2|2334	63.2591	AFF2|2334	8.6629
AFF3|3899	2588.0567	AFF3|3899	4030.8851
AFF4|27125	4944.332	AFF4|27125	4796.2335
AFG3L1|172	239.3725	AFG3L1|172	228.2486
AFG3L2|10939	1267.5557	AFG3L2|10939	1013.5669
AFMID|125061	1431.1741	AFMID|125061	406.7797
AFP|174	7.5911	lowly_expressed	lowly_expressed
AFTPH|54812	1756.5789	AFTPH|54812	2191.3371
AG2|387763	125	AG2|387763	42.9379
AGAP11|119385	56.2348	AGAP11|119385	33.9171
AGAP1|116987	575.9109	AGAP1|116987	432.7684
AGAP2|116986	49.1751	AGAP2|116986	78.9529
AGAP3|116988	1468.6235	AGAP3|116988	1247.4576
AGAP4|119016	219.1296	AGAP4|119016	242.1846
AGAP5|729092	54.0132	AGAP5|729092	72.0226
AGAP6|414189	91.5992	AGAP6|414189	143.5028
AGAP7|653268	7.5911	AGAP7|653268	7.1563
