gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
ADCY2|108	71.7731	ADCY2|108	84.3316
ADCY3|109	1325.8267	ADCY3|109	873.2151
ADCY4|196883	156.666	ADCY4|196883	165.7882
ADCY5|111	23.9244	ADCY5|111	330.139
ADCY6|112	671.4258	ADCY6|112	2521.8016
ADCY7|113	919.1588	ADCY7|113	264.0153
ADCY9|115	497.0095	ADCY9|115	800.1917
ADCYAP1|116	5.4023	lowly_expressed	lowly_expressed
ADC|113451	188.3079	ADC|113451	200.2875
ADD1|118	2808.4121	ADD1|118	5904.1687
ADD2|119	30.8702	ADD2|119	34.9784
ADD3|120	704.6112	ADD3|120	2077.6234
ADH1A|124	6.9458	ADH1A|124	25.8745
ADH1B|125	1543.5076	ADH1B|125	3051.7489
lowly_expressed	lowly_expressed	ADH1C|126	34.9784
ADH4|127	6.9458	lowly_expressed	lowly_expressed
ADH5|128	1815.9367	ADH5|128	2697.173
ADHFE1|137872	196.7972	ADHFE1|137872	158.1217
ADI1|55256	2006.5599	ADI1|55256	1528.5098
ADIPOQ|9370	1828.2848	ADIPOQ|9370	2363.2008
ADIPOR1|51094	6498.9388	ADIPOR1|51094	2575.4672
ADIPOR2|79602	2108.4314	ADIPOR2|79602	1870.6277
ADK|132	375.0724	ADK|132	334.9305
ADM2|79924	1106.695	ADM2|79924	120.7475
ADM|133	149.7202	ADM|133	151.8927
ADNP2|22850	219.1781	ADNP2|22850	718.735
ADNP|23394	2000.3859	ADNP|23394	3094.873
ADORA1|134	653.6755	ADORA1|134	725.4432
ADORA2A|135	239.2437	ADORA2A|135	81.9262
ADORA2B|136	197.569	ADORA2B|136	38.3325
ADORA3|140	68.6861	ADORA3|140	122.6641
ADO|84890	500.8682	ADO|84890	796.8376
ADPGK|83440	1329.3305	ADPGK|83440	907.9828
ADPRHL1|113622	157.4378	ADPRHL1|113622	183.0379
ADPRHL2|54936	906.039	ADPRHL2|54936	688.5482
ADPRH|141	414.4318	ADPRH|141	341.1596
lowly_expressed	lowly_expressed	ADRA1A|148	8.1457
ADRA1B|147	45.5335	ADRA1B|147	5.2707
ADRA2A|150	398.9967	ADRA2A|150	381.4087
ADRA2B|151	55.5663	ADRA2B|151	22.5204
ADRA2C|152	60.1968	ADRA2C|152	34.9784
ADRB1|153	8.4893	ADRB1|153	17.7288
ADRB2|154	34.7289	ADRB2|154	167.7048
ADRBK1|156	3183.4845	ADRBK1|156	1774.7964
ADRBK2|157	486.9767	ADRBK2|157	924.2932
ADRM1|11047	5614.509	ADRM1|11047	1122.6641
ADSL|158	1452.4407	ADSL|158	697.6521
ADSSL1|122622	21.6091	ADSSL1|122622	119.31
ADSS|159	1741.8484	ADSS|159	1435.5534
AEBP1|165	9039.5524	AEBP1|165	2094.3939
AEBP2|121536	447.6172	AEBP2|121536	854.3364
AEN|64782	923.7893	AEN|64782	562.0508
AES|166	7688.2115	AES|166	7560.1342
AFAP1L1|134265	381.2464	AFAP1L1|134265	149.4969
AFAP1L2|84632	551.0322	AFAP1L2|84632	1430.7619
AFAP1|60312	1133.6755	AFAP1|60312	1266.8759
AFF1|4299	756.3187	AFF1|4299	2527.5515
AFF2|2334	59.425	AFF2|2334	38.3325
AFF3|3899	64.8273	AFF3|3899	3283.1816
AFF4|27125	971.638	AFF4|27125	3284.6191
AFG3L1|172	337.2564	AFG3L1|172	264.9736
AFG3L2|10939	1056.3843	AFG3L2|10939	1364.3843
AFMID|125061	395.9097	AFMID|125061	850.5031
lowly_expressed	lowly_expressed	AFP|174	635.3618
AFTPH|54812	833.4941	AFTPH|54812	1985.6253
AG2|387763	545.6299	AG2|387763	114.0393
AGAP11|119385	8.4893	AGAP11|119385	102.6593
AGAP1|116987	391.2792	AGAP1|116987	590.8002
AGAP2|116986	177.8507	AGAP2|116986	83.4739
AGAP3|116988	2417.9047	AGAP3|116988	1774.3172
AGAP4|119016	191.3949	AGAP4|119016	240.0575
AGAP5|729092	22.3809	AGAP5|729092	72.2616
AGAP6|414189	168.2423	AGAP6|414189	108.2894
AGAP7|653268	12.3481	AGAP7|653268	9.5831
AGAP8|728404	20.8374	AGAP8|728404	27.3119
AGA|175	221.4933	AGA|175	517.9684
AGBL2|79841	6.174	AGBL2|79841	27.3119
lowly_expressed	lowly_expressed	AGBL4|84871	6.229
AGBL5|60509	400.5479	AGBL5|60509	985.6253
AGER|177	119.6218	AGER|177	31.1452
AGFG1|3267	1553.5404	AGFG1|3267	1468.6152
AGFG2|3268	269.3421	AGFG2|3268	569.2381
AGGF1|55109	574.9566	AGGF1|55109	916.6267
AGK|55750	824.2331	AGK|55750	446.0949
AGL|178	361.1808	AGL|178	1396.7417
AGMAT|79814	33.9572	AGMAT|79814	21.5621
AGPAT1|10554	1516.8281	AGPAT1|10554	1680.0144
AGPAT2|10555	5007.1387	AGPAT2|10555	761.8591
AGPAT3|56894	2187.1503	AGPAT3|56894	2113.081
AGPAT4|56895	750.9165	AGPAT4|56895	186.8711
AGPAT5|55326	751.6882	AGPAT5|55326	584.5712
AGPAT6|137964	1582.0953	AGPAT6|137964	1834.6909
AGPAT9|84803	734.7096	AGPAT9|84803	85.2899
AGPHD1|123688	30.8702	AGPHD1|123688	38.8117
AGPS|8540	742.4272	AGPS|8540	699.0896
AGR2|10551	20.0656	AGR2|10551	3702.4437
lowly_expressed	lowly_expressed	AGR3|155465	537.6138
AGRN|375790	11697.4725	AGRN|375790	5371.3464
AGTPBP1|23287	308.7015	AGTPBP1|23287	291.8064
AGTR1|185	10.0328	AGTR1|185	250.5989
AGTRAP|57085	2343.0446	AGTRAP|57085	912.3143
AGT|183	57.8815	AGT|183	15.8122
lowly_expressed	lowly_expressed	AGXT2L1|64850	11.0206
AGXT2L2|85007	563.4112	AGXT2L2|85007	433.5026
AHCTF1|25909	1912.4059	AHCTF1|25909	1461.907
AHCYL1|10768	1923.9822	lowly_expressed	lowly_expressed
AHCYL2|23382	357.322	AHCYL2|23382	566.8424
AHCY|191	2669.4964	AHCY|191	2756.5884
AHDC1|27245	699.209	AHDC1|27245	1404.4082
AHI1|54806	98.0127	AHI1|54806	385.7211
AHNAK2|113146	2385.491	AHNAK2|113146	427.4078
AHNAK|79026	11537.7195	AHNAK|79026	64422.137
AHRR|57491	97.241	AHRR|57491	11.9789
AHR|196	1650.7814	AHR|196	3286.5357
AHSA1|10598	3738.3755	AHSA1|10598	1566.3632
AHSA2|130872	357.322	AHSA2|130872	443.6991
AICDA|57379	8.4893	lowly_expressed	lowly_expressed
AIDA|64853	2033.5713	AIDA|64853	860.1246
AIF1L|83543	6824.6189	AIF1L|83543	2448.0115
AIF1|199	818.8308	AIF1|199	292.2856
AIFM1|9131	844.2987	AIFM1|9131	770.9631
AIFM2|84883	618.9466	AIFM2|84883	413.0331
AIFM3|150209	23.9244	AIFM3|150209	15.333
AIG1|51390	595.0222	AIG1|51390	799.7125
AIM1L|55057	37.0442	lowly_expressed	lowly_expressed
AIM1|202	3233.6485	AIM1|202	4151.8927
AIM2|9447	154.3508	AIM2|9447	13.8955
AIMP1|9255	742.0259	AIMP1|9255	1069.8323
AIMP2|7965	340.5981	AIMP2|7965	234.7916
AIP|9049	2123.0947	AIP|9049	791.5668
AJAP1|55966	20.8374	AJAP1|55966	20.6037
AK1|203	758.634	AK1|203	493.5314
AK2|204	4300.984	AK2|204	1946.8136
AK3L1|205	115.7631	AK3L1|205	390.0335
AK3|50808	565.6955	AK3|50808	1502.1562
AK5|26289	31.6419	AK5|26289	2343.0762
AK7|122481	9.261	AK7|122481	52.2281
AKAP10|11216	141.2309	AKAP10|11216	552.9468
AKAP11|11215	513.2163	AKAP11|11215	1624.8203
AKAP12|9590	199.1125	AKAP12|9590	504.0728
AKAP13|11214	2662.5506	AKAP13|11214	3516.0517
AKAP1|8165	1449.3537	AKAP1|8165	2391.471
AKAP2|11217	569.917	AKAP2|11217	750.9104
AKAP3|10566	71.0014	AKAP3|10566	90.5606
AKAP5|9495	84.1212	AKAP5|9495	298.5146
AKAP6|9472	27.7831	lowly_expressed	lowly_expressed
AKAP7|9465	77.9471	AKAP7|9465	218.9746
AKAP8L|26993	991.7036	AKAP8L|26993	840.4408
AKAP8|10270	698.4372	AKAP8|10270	736.943
AKAP9|10142	628.2076	AKAP9|10142	3280.3067
AKD1|221264	150.492	AKD1|221264	153.3301
AKIRIN1|79647	616.6313	AKIRIN1|79647	1037.3742
AKIRIN2|55122	1139.8804	AKIRIN2|55122	718.2559
AKNA|80709	1269.535	AKNA|80709	861.5237
AKR1A1|10327	3496.0448	AKR1A1|10327	1946.3345
lowly_expressed	lowly_expressed	AKR1B15|441282	13.8955
AKR1B1|231	994.7907	AKR1B1|231	862.9612
AKR1C1|1645	403.1642	AKR1C1|1645	387.6378
AKR1C2|1646	148.1767	AKR1C2|1646	238.1409
AKR1C3|8644	301.7557	AKR1C3|8644	508.8644
AKR1E2|83592	196.4885	AKR1E2|83592	30.666
AKR7A2|8574	1124.4453	AKR7A2|8574	1234.3076
AKR7A3|22977	23.1526	AKR7A3|22977	179.2046
AKR7L|246181	6.1739999999999995	AKR7L|246181	15.333
AKT1S1|84335	1129.8476	AKT1S1|84335	798.275
AKT1|207	3805.518	AKT1|207	3244.8491
AKT2|208	1802.0451	AKT2|208	2401.0541
AKT3|10000	1504.1482	AKT3|10000	610.9248
AKTIP|64400	857.187	AKTIP|64400	612.2425
ALAD|210	872.0818	ALAD|210	1980.8337
ALAS1|211	1729.5003	ALAS1|211	1013.4164
