gene_id	TCGA-AC-A6IX-01A-12R-A32P-07	gene_id	TCGA-AC-A6IX-06A-11R-A32P-07
ADAM17|6868	631.8476	ADAM17|6868	467.905
ADAM19|8728	401.7865	ADAM19|8728	720.3615
ADAM21|8747	13.8547	ADAM21|8747	19.7949
ADAM22|53616	61.9816	ADAM22|53616	60.2453
ADAM23|8745	57.2418	ADAM23|8745	26.9669
ADAM28|10863	258.8643	ADAM28|10863	587.8218
ADAM29|11086	26.251	lowly_expressed	lowly_expressed
ADAM2|2515	667.2136	ADAM2|2515	8.6065
ADAM32|203102	44.1163	ADAM32|203102	37.5816
ADAM33|80332	254.1756	ADAM33|80332	131.3864
ADAM6|8755	34580.0638	ADAM6|8755	62779.224
ADAM8|101	853.8875	ADAM8|101	889.622
ADAM9|8754	1716.1608	ADAM9|8754	2260.6326
ADAMDEC1|27299	74.3779	ADAMDEC1|27299	209.1372
ADAMTS10|81794	263.2394	ADAMTS10|81794	334.7917
ADAMTS12|81792	278.188	ADAMTS12|81792	81.4746
ADAMTS13|11093	80.2115	ADAMTS13|11093	77.1713
ADAMTS14|140766	231.1549	ADAMTS14|140766	11.4753
ADAMTS15|170689	215.8418	ADAMTS15|170689	133.974
ADAMTS16|170690	146.9328	lowly_expressed	lowly_expressed
ADAMTS17|170691	40.4703	ADAMTS17|170691	76.5976
ADAMTS18|170692	118.1296	ADAMTS18|170692	13.4835
ADAMTS19|171019	17.5007	ADAMTS19|171019	84.0565
ADAMTS1|9510	2578.0695	ADAMTS1|9510	1145.8079
ADAMTS2|9509	1022.6962	ADAMTS2|9509	211.7191
ADAMTS3|9508	42.2933	ADAMTS3|9508	159.7934
ADAMTS4|9507	972.3817	ADAMTS4|9507	104.9989
ADAMTS5|11096	378.4523	ADAMTS5|11096	115.3267
ADAMTS6|11174	99.1705	ADAMTS6|11174	12.3359
ADAMTS7|11173	271.2606	ADAMTS7|11173	96.3925
ADAMTS8|11095	16.0423	lowly_expressed	lowly_expressed
ADAMTS9|56999	444.0798	ADAMTS9|56999	115.3267
ADAMTSL1|92949	203.4454	ADAMTSL1|92949	74.8763
ADAMTSL2|9719	202.7163	ADAMTSL2|9719	665.567
ADAMTSL3|57188	188.8615	ADAMTSL3|57188	598.4365
ADAMTSL4|54507	221.3107	ADAMTSL4|54507	185.0391
ADAMTSL5|339366	77.2947	ADAMTSL5|339366	17.7867
ADAP1|11033	227.3558	ADAP1|11033	260.2309
ADAP2|55803	314.2831	ADAP2|55803	226.9239
ADARB1|104	655.911	ADARB1|104	630.8542
ADAR|103	12487.467	ADAR|103	9847.2352
ADAT1|23536	202.7163	ADAT1|23536	185.6129
ADAT2|134637	125.7862	ADAT2|134637	128.8102
ADAT3|113179	25.8864	ADAT3|113179	32.1308
ADA|100	255.9475	ADA|100	237.2517
ADCK1|57143	247.1972	ADCK1|57143	187.9079
ADCK2|90956	807.5836	ADCK2|90956	1025.6042
ADCK4|79934	690.1832	ADCK4|79934	582.9448
ADCK5|203054	115.2128	ADCK5|203054	96.3925
lowly_expressed	lowly_expressed	ADCY10|55811	6.3114
ADCY1|107	573.1474	ADCY1|107	302.6608
ADCY2|108	40.8349	ADCY2|108	103.5645
ADCY3|109	851.1676	ADCY3|109	495.5691
ADCY4|196883	475.0706	ADCY4|196883	256.7597
ADCY5|111	334.7006	ADCY5|111	964.7852
ADCY6|112	3822.8056	ADCY6|112	3577.4224
ADCY7|113	508.6136	ADCY7|113	1167.3241
ADCY9|115	694.1938	ADCY9|115	378.3978
ADCYAP1R1|117	7.292	lowly_expressed	lowly_expressed
ADCYAP1|116	5.1044	lowly_expressed	lowly_expressed
ADC|113451	240.999	ADC|113451	176.1457
ADD1|118	5797.8306	ADD1|118	6047.1921
ADD2|119	44.8455	ADD2|119	35.5734
ADD3|120	1895.5428	ADD3|120	1677.6877
ADH1A|124	72.5039	ADH1A|124	38.4422
ADH1B|125	6515.7233	ADH1B|125	3568.2421
ADH1C|126	93.7016	ADH1C|126	205.4077
lowly_expressed	lowly_expressed	ADH4|127	12.0491
ADH5|128	2422.0217	ADH5|128	1879.0791
lowly_expressed	lowly_expressed	ADH6|130	17.7867
ADHFE1|137872	131.6197	ADHFE1|137872	88.9335
ADI1|55256	1097.8033	ADI1|55256	1355.5189
ADIPOQ|9370	9739.1304	ADIPOQ|9370	1284.3721
ADIPOR1|51094	4309.1787	ADIPOR1|51094	5691.1712
ADIPOR2|79602	5506.8818	ADIPOR2|79602	2188.0514
