gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
lowly_expressed	lowly_expressed	AGXT|189	7.6696
AHCTF1|25909	1553.7205	AHCTF1|25909	1474.9263
AHCYL1|10768	1921.7488	AHCYL1|10768	3994.1003
AHCYL2|23382	1302.5468	AHCYL2|23382	571.9764
AHCY|191	6679.1248	AHCY|191	1862.5369
AHDC1|27245	473.1338	AHDC1|27245	769.3215
AHI1|54806	383.5877	AHI1|54806	409.1445
AHNAK2|113146	346.118	AHNAK2|113146	2046.0177
AHNAK|79026	24555.0082	AHNAK|79026	112161.3569
AHRR|57491	81.2901	AHRR|57491	15.9292
AHR|196	2767.6738	AHR|196	2648.0826
AHSA1|10598	1966.8394	AHSA1|10598	1302.0649
AHSA2|130872	54.2992	AHSA2|130872	496.4602
AIDA|64853	1638.9291	AIDA|64853	1764.3274
AIF1L|83543	281.6575	AIF1L|83543	3419.469
AIF1|199	218.1496	AIF1|199	407.0796
AIFM1|9131	1903.0139	AIFM1|9131	840.708
AIFM2|84883	284.5153	AIFM2|84883	2456.0472
AIFM3|150209	57.2555	AIFM3|150209	5.8997
AIG1|51390	326.4306	AIG1|51390	799.115
AIM1L|55057	26.0382	lowly_expressed	lowly_expressed
AIM1|202	202.5902	AIM1|202	2904.4248
lowly_expressed	lowly_expressed	AIM2|9447	12.0944
AIMP1|9255	1247.0727	AIMP1|9255	1049.9056
AIMP2|7965	637.4414	AIMP2|7965	291.3392
AIP|9049	719.2269	AIP|9049	969.3215
lowly_expressed	lowly_expressed	AJAP1|55966	21.5339
AK1|203	713.1936	AK1|203	680.826
AK2|204	1494.9757	AK2|204	2080.236
AK3L1|205	8.256	AK3L1|205	635.1032
AK3|50808	1637.8685	AK3|50808	3154.2773
AK5|26289	23.8155	AK5|26289	935.1032
AK7|122481	16.8296	AK7|122481	29.2035
AKAP10|11216	490.5985	AKAP10|11216	531.2684
AKAP11|11215	1401.9367	AKAP11|11215	2201.1799
AKAP12|9590	410.896	AKAP12|9590	7455.4572
AKAP13|11214	3011.5441	AKAP13|11214	3457.8171
AKAP1|8165	3329.0836	AKAP1|8165	3166.3717
AKAP2|11217	383.6512	AKAP2|11217	2999.1504
AKAP3|10566	18.0997	AKAP3|10566	41.5929
AKAP5|9495	16.8296	AKAP5|9495	89.9705
AKAP6|9472	60.65	AKAP6|9472	194.9853
AKAP7|9465	203.5428	AKAP7|9465	250.1475
AKAP8L|26993	268.6384	AKAP8L|26993	578.4661
AKAP8|10270	359.4547	AKAP8|10270	567.2566
AKAP9|10142	8204.9019	AKAP9|10142	2044.8378
AKD1|221264	125.1105	AKD1|221264	106.7847
AKIRIN1|79647	933.566	AKIRIN1|79647	1220.649
AKIRIN2|55122	302.9326	AKIRIN2|55122	732.7434
lowly_expressed	lowly_expressed	AKNAD1|254268	5.6047
AKNA|80709	166.7082	AKNA|80709	1016.8142
AKR1A1|10327	2699.7204	AKR1A1|10327	1431.8584
AKR1B10|57016	256.5719	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	20.354
AKR1B1|231	553.4713	AKR1B1|231	1000.885
AKR1C1|1645	77.1621	AKR1C1|1645	2533.0383
AKR1C2|1646	46.0432	AKR1C2|1646	1796.7552
AKR1C3|8644	628.4106	AKR1C3|8644	1497.6401
lowly_expressed	lowly_expressed	AKR1E2|83592	19.174
AKR7A2|8574	664.9276	AKR7A2|8574	900.59
AKR7A3|22977	89.2286	AKR7A3|22977	60.177
lowly_expressed	lowly_expressed	AKR7L|246181	7.0796
AKT1S1|84335	1315.2484	AKT1S1|84335	810.9145
AKT1|207	7450.1106	AKT1|207	3273.7463
AKT2|208	2205.9466	AKT2|208	3739.2329999999997
AKT3|10000	322.3025	AKT3|10000	1461.6519
AKTIP|64400	753.7180000000001	AKTIP|64400	713.2596
ALAD|210	673.1836	ALAD|210	2242.4779
ALAS1|211	466.4655	ALAS1|211	1097.9351
lowly_expressed	lowly_expressed	ALB|213	223.0088
ALCAM|214	6755.0167	ALCAM|214	2366.6667
ALDH16A1|126133	288.0083	ALDH16A1|126133	384.0708
ALDH18A1|5832	4648.1425	ALDH18A1|5832	1230.3835
ALDH1A1|216	833.2235	ALDH1A1|216	5145.4277
ALDH1A2|8854	19.3699	ALDH1A2|8854	672.5664
ALDH1A3|220	806.9821	ALDH1A3|220	1638.6047
ALDH1B1|219	758.2842	ALDH1B1|219	821.2389
lowly_expressed	lowly_expressed	ALDH1L1|10840	3254.5723
ALDH1L2|160428	269.2735	ALDH1L2|160428	406.4897
ALDH2|217	2338.0429999999997	ALDH2|217	17176.1062
lowly_expressed	lowly_expressed	ALDH3A1|218	26.5487
ALDH3A2|224	5045.0668	ALDH3A2|224	2766.6667
ALDH3B1|221	1895.7105	ALDH3B1|221	227.7286
ALDH3B2|222	4452.5382	ALDH3B2|222	1782.0059
ALDH4A1|8659	386.12800000000004	ALDH4A1|8659	1113.5693
ALDH5A1|7915	111.4563	ALDH5A1|7915	604.4248
ALDH6A1|4329	555.9258	ALDH6A1|4329	1131.9499
ALDH7A1|501	1593.4129999999998	ALDH7A1|501	1707.0796
lowly_expressed	lowly_expressed	ALDH8A1|64577	22.1239
ALDH9A1|223	1881.4212	ALDH9A1|223	4213.5693
ALDOA|226	42822.1001	ALDOA|226	14469.6165
ALDOC|230	30.4838	ALDOC|230	1863.7168
ALG10B|144245	270.2261	ALG10B|144245	282.8909
ALG10|84920	155.5943	ALG10|84920	89.3805
ALG11|440138	12.7016	ALG11|440138	11.2094
ALG12|79087	692.2360000000001	ALG12|79087	399.115
ALG13|79868	714.1462	ALG13|79868	439.528
ALG14|199857	320.3973	ALG14|199857	199.41
ALG1L|200810	287.6209	lowly_expressed	lowly_expressed
ALG1|56052	1122.3813	ALG1|56052	420.3628
ALG2|85365	1277.1437	ALG2|85365	728.0236
ALG3|10195	1678.5135	ALG3|10195	408.2596
ALG5|29880	729.0706	ALG5|29880	571.6814
ALG6|29929	234.3441	ALG6|29929	204.1298
ALG8|79053	24766.1719	ALG8|79053	1176.6962
ALG9|79796	602.3723	ALG9|79796	624.7788
ALKBH1|8846	239.4247	ALKBH1|8846	225.6637
ALKBH2|121642	231.4863	ALKBH2|121642	196.4602
ALKBH3|221120	309.601	ALKBH3|221120	354.8673
ALKBH4|54784	260.8428	ALKBH4|54784	216.4513
ALKBH5|54890	2466.6115	ALKBH5|54890	2376.3245
ALKBH6|84964	71.1288	ALKBH6|84964	44.8378
ALKBH7|84266	565.8553	ALKBH7|84266	264.0118
ALKBH8|91801	130.5087	ALKBH8|91801	281.4159
lowly_expressed	lowly_expressed	ALK|238	8.2596
ALMS1|7840	688.7431	ALMS1|7840	652.2124
ALOX12P2|245	13.9717	ALOX12P2|245	7.6696
ALOX15B|247	42.2327	ALOX15B|247	214.7493
lowly_expressed	lowly_expressed	ALOX15|246	18.2891
