gene_id	TCGA-BH-A1ES-01A-11R-A137-07	gene_id	TCGA-BH-A1ES-06A-12R-A24H-07
ADAMTS10|81794	31.9672	ADAMTS10|81794	351.3319
ADAMTS12|81792	468.0328	ADAMTS12|81792	116.6307
ADAMTS13|11093	28.6885	ADAMTS13|11093	291.5767
ADAMTS14|140766	286.8852	ADAMTS14|140766	27.7178
ADAMTS15|170689	54.0984	ADAMTS15|170689	5.7595
ADAMTS16|170690	390.1639	ADAMTS16|170690	16.1987
ADAMTS17|170691	40.1639	ADAMTS17|170691	30.2376
ADAMTS18|170692	16.3934	lowly_expressed	lowly_expressed
ADAMTS19|171019	11.4754	lowly_expressed	lowly_expressed
ADAMTS1|9510	392.623	ADAMTS1|9510	1667.0266
ADAMTS2|9509	618.0328	ADAMTS2|9509	525.198
ADAMTS3|9508	28.6885	ADAMTS3|9508	23.3981
ADAMTS4|9507	373.7705	ADAMTS4|9507	1874.0101
ADAMTS5|11096	177.8689	ADAMTS5|11096	166.3067
ADAMTS6|11174	80.3279	ADAMTS6|11174	19.4384
ADAMTS7|11173	68.0328	ADAMTS7|11173	69.4744
ADAMTS8|11095	10.6557	lowly_expressed	lowly_expressed
ADAMTS9|56999	71.3115	ADAMTS9|56999	696.5443
ADAMTSL1|92949	161.4754	ADAMTSL1|92949	39.9568
ADAMTSL2|9719	65.5738	ADAMTSL2|9719	962.203
ADAMTSL3|57188	129.5082	ADAMTSL3|57188	91.7927
ADAMTSL4|54507	35.2459	ADAMTSL4|54507	386.2491
ADAMTSL5|339366	34.4262	ADAMTSL5|339366	54.3557
ADAP1|11033	122.7623	ADAP1|11033	352.6458
ADAP2|55803	149.1803	ADAP2|55803	71.2743
ADARB1|104	542.623	ADARB1|104	383.7293
ADARB2|105	36.0656	ADARB2|105	160.9071
ADAR|103	8794.2623	ADAR|103	10216.7027
ADAT1|23536	374.5902	ADAT1|23536	266.7387
ADAT2|134637	77.0492	ADAT2|134637	61.5551
ADAT3|113179	28.6885	ADAT3|113179	51.4759
ADA|100	81.1475	ADA|100	205.5436
ADCK1|57143	263.9344	ADCK1|57143	118.4305
ADCK2|90956	640.9836	ADCK2|90956	802.3758
ADCK4|79934	425.4098	ADCK4|79934	1210.9431
ADCK5|203054	161.4754	ADCK5|203054	742.6206
lowly_expressed	lowly_expressed	ADCY10|55811	5.7595
ADCY1|107	2331.9672	ADCY1|107	2447.8042
ADCY2|108	36.8852	lowly_expressed	lowly_expressed
ADCY3|109	747.4754	ADCY3|109	796.1123
ADCY4|196883	26.2295	ADCY4|196883	42.8366
ADCY5|111	9.0164	ADCY5|111	51.4759
ADCY6|112	1600.8197	ADCY6|112	1674.946
ADCY7|113	683.6066	ADCY7|113	342.6926
ADCY9|115	1077.0492	ADCY9|115	1688.2649
lowly_expressed	lowly_expressed	ADCYAP1|116	12.959
ADC|113451	257.377	ADC|113451	187.905
ADD1|118	5439.3443	ADD1|118	4013.6789
ADD2|119	166.3934	ADD2|119	155.1476
ADD3|120	756.5574	ADD3|120	229.6616
lowly_expressed	lowly_expressed	ADH1A|124	27.6782
lowly_expressed	lowly_expressed	ADH1B|125	1121.6703
lowly_expressed	lowly_expressed	ADH1C|126	230.0216
lowly_expressed	lowly_expressed	ADH4|127	23.7581
ADH5|128	2001.6393	ADH5|128	1608.3513
lowly_expressed	lowly_expressed	ADH6|130	22.6782
ADHFE1|137872	89.3443	ADHFE1|137872	85.6731
ADI1|55256	785.2459	ADI1|55256	1257.3794
ADIPOR1|51094	3310.6557	ADIPOR1|51094	5568.7545
ADIPOR2|79602	2203.2787	ADIPOR2|79602	2288.6969
ADK|132	504.0984	ADK|132	489.5608
ADM2|79924	58.1967	ADM2|79924	322.5342
ADM|133	50.8197	ADM|133	2526.9978
ADNP2|22850	886.0656	ADNP2|22850	438.085
ADNP|23394	4501.6393	ADNP|23394	3011.1591
ADORA1|134	101.6393	ADORA1|134	1434.8452
ADORA2A|135	28.6885	ADORA2A|135	307.0446
ADORA2B|136	44.2623	ADORA2B|136	9.7192
ADORA3|140	109.8361	ADORA3|140	102.9518
ADO|84890	942.623	ADO|84890	472.6422
ADPGK|83440	828.6557	ADPGK|83440	813.8949
ADPRHL1|113622	125.4098	ADPRHL1|113622	598.2721
ADPRHL2|54936	696.7213	ADPRHL2|54936	462.563
ADPRH|141	174.5902	ADPRH|141	192.9446
lowly_expressed	lowly_expressed	ADRA1A|148	8.9993
ADRA1B|147	30.3279	ADRA1B|147	59.0353
lowly_expressed	lowly_expressed	ADRA1D|146	8.6393
ADRA2A|150	236.8852	ADRA2A|150	31.3175
ADRA2B|151	9.8361	ADRA2B|151	40.6767
ADRA2C|152	24.5902	ADRA2C|152	55.7955
lowly_expressed	lowly_expressed	ADRB1|153	14.0389
ADRB2|154	5.7377	ADRB2|154	20.1584
ADRBK1|156	1345.082	ADRBK1|156	2441.6847
ADRBK2|157	206.5574	ADRBK2|157	207.3434
ADRM1|11047	997.541	ADRM1|11047	4739.3808
ADSL|158	516.3934	ADSL|158	413.6069
ADSSL1|122622	93.4426	ADSSL1|122622	620.2304
ADSS|159	3051.6393	ADSS|159	2890.2088
AEBP1|165	14255.7377	AEBP1|165	3339.8128
AEBP2|121536	797.541	AEBP2|121536	685.0252
AEN|64782	545.082	AEN|64782	686.4651
AES|166	6678.6885	AES|166	6858.8913
AFAP1L1|134265	78.6885	AFAP1L1|134265	149.748
AFAP1L2|84632	2072.1311	AFAP1L2|84632	77.3938
AFAP1|60312	1654.0984	AFAP1|60312	1007.1994
AFF1|4299	2437.7049	AFF1|4299	1572.3542
AFF2|2334	16.3934	AFF2|2334	6.4795
AFF3|3899	9355.7377	AFF3|3899	2867.1706
AFF4|27125	5340.1639	AFF4|27125	4363.5709
AFG3L1|172	312.2951	AFG3L1|172	186.8251
AFG3L2|10939	1407.4754	AFG3L2|10939	695.504
AFMID|125061	1400.8197	AFMID|125061	2133.5493
lowly_expressed	lowly_expressed	AFM|173	60.8351
AFTPH|54812	2357.377	AFTPH|54812	1910.7271
AG2|387763	69.6721	AG2|387763	3188.2649
AGAP11|119385	51.6393	AGAP11|119385	31.3427
AGAP1|116987	486.8852	AGAP1|116987	829.0137
AGAP2|116986	24.0246	AGAP2|116986	62.4334
AGAP3|116988	1380.3279	AGAP3|116988	2250.54
AGAP4|119016	210.6557	AGAP4|119016	170.2664
AGAP5|729092	51.7459	AGAP5|729092	34.1973
AGAP6|414189	159.0164	AGAP6|414189	95.0324
AGAP7|653268	14.7541	lowly_expressed	lowly_expressed
AGAP8|728404	57.377	AGAP8|728404	57.5954
AGA|175	733.6066	AGA|175	652.9878
AGBL2|79841	23.7705	AGBL2|79841	38.5169
AGBL3|340351	5.7377	AGBL3|340351	6.8395
AGBL4|84871	5.7377	AGBL4|84871	6.1195
AGBL5|60509	422.959	AGBL5|60509	1018.3909
AGER|177	30.3279	AGER|177	40.3168
AGFG1|3267	1837.7049	AGFG1|3267	1196.9042
AGFG2|3268	231.1475	AGFG2|3268	568.0346
AGGF1|55109	702.459	AGGF1|55109	575.9539
AGK|55750	694.2623	AGK|55750	456.4435
AGL|178	1508.1967	AGL|178	446.3643
AGMAT|79814	8.1967	AGMAT|79814	33.4773
AGPAT1|10554	1715.8525	AGPAT1|10554	1628.4269
AGPAT2|10555	282.7869	AGPAT2|10555	1897.7682
AGPAT3|56894	1484.4262	AGPAT3|56894	2080.9935
AGPAT4|56895	242.623	AGPAT4|56895	234.3413
AGPAT5|55326	735.2459	AGPAT5|55326	305.9755
AGPAT6|137964	4177.8689	AGPAT6|137964	5190.7847
AGPAT9|84803	128.6885	AGPAT9|84803	41.3967
AGPHD1|123688	57.377	AGPHD1|123688	64.0749
AGPS|8540	713.1148	AGPS|8540	1392.0086
AGR2|10551	12849.1803	AGR2|10551	2919.3665
AGR3|155465	2902.459	AGR3|155465	1875.45
AGRN|375790	3702.459	AGRN|375790	3068.7545
AGTPBP1|23287	268.0328	AGTPBP1|23287	160.5472
AGTR1|185	1881.9672	AGTR1|185	596.1123
AGTRAP|57085	903.2787	AGTRAP|57085	1276.0979
AGT|183	32.7869	AGT|183	26824.3341
lowly_expressed	lowly_expressed	AGXT2L1|64850	48.2361
AGXT2L2|85007	261.1885	AGXT2L2|85007	527.9986
lowly_expressed	lowly_expressed	AGXT2|64902	116.9906
lowly_expressed	lowly_expressed	AGXT|189	2023.0382
AHCTF1|25909	1704.918	AHCTF1|25909	1133.5493
AHCYL1|10768	3965.5738	AHCYL1|10768	2794.8164
AHCYL2|23382	1025.4098	AHCYL2|23382	753.4197
AHCY|191	3904.0984	AHCY|191	4365.0108
AHDC1|27245	555.7377	AHDC1|27245	1830.8135
AHI1|54806	298.3607	AHI1|54806	439.1649
AHNAK2|113146	1161.4754	AHNAK2|113146	564.4348
AHNAK|79026	21456.5574	AHNAK|79026	24039.9568
AHRR|57491	100.8197	AHRR|57491	34.1973
AHR|196	2487.7049	AHR|196	1344.4924
AHSA1|10598	2700	AHSA1|10598	2379.0497
AHSA2|130872	546.7213	AHSA2|130872	846.6523
lowly_expressed	lowly_expressed	AHSG|197	2209.5032
AIDA|64853	1232.7869	AIDA|64853	1575.4068
AIF1L|83543	562.2951	AIF1L|83543	65.8747
AIF1|199	113.1148	AIF1|199	122.0302
AIFM1|9131	871.3115	AIFM1|9131	1007.9194
AIFM2|84883	485.2459	AIFM2|84883	605.1116
lowly_expressed	lowly_expressed	AIFM3|150209	45.7163
AIG1|51390	681.1475	AIG1|51390	1182.1454
AIM1L|55057	9.0164	AIM1L|55057	25.558
AIM1|202	2042.623	AIM1|202	784.7372
AIMP1|9255	1351.4098	AIMP1|9255	1515.8027
AIMP2|7965	306.3934	AIMP2|7965	327.3866
AIP|9049	478.6885	AIP|9049	1786.897
AJAP1|55966	71.3115	AJAP1|55966	8.2793
AK1|203	323.7705	AK1|203	930.1656
AK2|204	2100.8197	AK2|204	1899.928
AK3L1|205	123.7705	AK3L1|205	388.7689
AK3|50808	844.2623	AK3|50808	1238.3009
AK5|26289	28.6885	AK5|26289	9.3593
AK7|122481	22.9508	AK7|122481	94.3125
AKAP10|11216	443.4426	AKAP10|11216	293.0166
AKAP11|11215	2086.8852	AKAP11|11215	1938.8049
