gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
ADAMTS12|81792	230.4986	ADAMTS12|81792	73.6971
ADAMTS13|11093	32.5124	ADAMTS13|11093	91.2052
ADAMTS14|140766	58.2312	ADAMTS14|140766	16.6938
ADAMTS15|170689	396.9429	ADAMTS15|170689	470.684
ADAMTS16|170690	107.2425	ADAMTS16|170690	24.0228
ADAMTS17|170691	126.6529	ADAMTS17|170691	36.2378
ADAMTS18|170692	660.9244	ADAMTS18|170692	96.9055
ADAMTS19|171019	12.6168	ADAMTS19|171019	9.772
ADAMTS1|9510	978.2846	ADAMTS1|9510	7126.6287
ADAMTS2|9509	559.505	ADAMTS2|9509	522.8013
ADAMTS3|9508	21.8367	ADAMTS3|9508	94.8697
ADAMTS4|9507	1129.6858	ADAMTS4|9507	735.7492
ADAMTS5|11096	102.3899	ADAMTS5|11096	1013.8436
ADAMTS6|11174	68.4217	ADAMTS6|11174	31.3518
ADAMTS7|11173	121.8003	ADAMTS7|11173	86.3192
ADAMTS8|11095	8.2494	ADAMTS8|11095	184.8534
ADAMTS9|56999	108.213	ADAMTS9|56999	1197.0684
ADAMTSL1|92949	42.2176	ADAMTSL1|92949	218.6482
ADAMTSL2|9719	312.5076	ADAMTSL2|9719	81.4332
ADAMTSL3|57188	353.7547	ADAMTSL3|57188	132.329
ADAMTSL4|54507	125.1971	ADAMTSL4|54507	464.1694
lowly_expressed	lowly_expressed	ADAMTSL5|339366	93.6482
ADAP1|11033	137.0229	ADAP1|11033	149.7923
ADAP2|55803	252.3353	ADAP2|55803	323.2899
ADARB1|104	449.351	ADARB1|104	843.6482
ADARB2|105	13.102	ADARB2|105	13.8436
ADAR|103	12026.6893	ADAR|103	8905.9446
ADAT1|23536	158.6801	ADAT1|23536	364.4137
ADAT2|134637	147.5191	ADAT2|134637	163.6808
ADAT3|113179	32.0272	ADAT3|113179	32.9805
ADA|100	191.6778	ADA|100	136.4007
ADCK1|57143	70.3627	ADCK1|57143	188.9251
ADCK2|90956	734.1987	ADCK2|90956	789.605
ADCK4|79934	698.2895	ADCK4|79934	617.2638
ADCK5|203054	295.0382	ADCK5|203054	142.5081
ADCY1|107	5349.9939	ADCY1|107	866.0423
ADCY2|108	65.9954	ADCY2|108	32.9805
ADCY3|109	1278.7286	ADCY3|109	1591.3233
ADCY4|196883	70.3627	ADCY4|196883	453.9902
ADCY5|111	123.7414	ADCY5|111	276.873
ADCY6|112	984.1077	ADCY6|112	2408.7948
ADCY7|113	593.9585	ADCY7|113	485.7492
lowly_expressed	lowly_expressed	ADCY8|114	28.0945
ADCY9|115	480.4076	ADCY9|115	791.9381
lowly_expressed	lowly_expressed	ADCYAP1R1|117	14.658
ADCYAP1|116	579.886	ADCYAP1|116	17.5081
ADC|113451	172.7526	ADC|113451	120.5212
ADD1|118	4000.9705	ADD1|118	6067.5896
ADD2|119	40.2766	ADD2|119	68.4039
ADD3|120	1257.3092	ADD3|120	2352.6059
lowly_expressed	lowly_expressed	ADH1A|124	19.544
ADH1B|125	485.7455	ADH1B|125	2679.5603
ADH1C|126	18.4399	ADH1C|126	54.5603
lowly_expressed	lowly_expressed	ADH4|127	28.5016
ADH5|128	2492.2965	ADH5|128	2480.456
ADHFE1|137872	48.526	ADHFE1|137872	172.2313
ADI1|55256	1862.4287	ADI1|55256	1194.2182
ADIPOQ|9370	760.888	ADIPOQ|9370	1942.1824
ADIPOR1|51094	4135.3876	ADIPOR1|51094	2067.5896
ADIPOR2|79602	3832.5852	ADIPOR2|79602	3017.5081
ADK|132	419.7501	ADK|132	306.5961
ADM2|79924	260.5847	ADM2|79924	101.3844
ADM|133	231.4691	ADM|133	397.8013
ADNP2|22850	577.4597	ADNP2|22850	690.1466
ADNP|23394	5096.2028	ADNP|23394	2776.873
ADORA1|134	1000.1213	ADORA1|134	380.2932
ADORA2A|135	190.222	ADORA2A|135	90.7818
ADORA2B|136	77.1564	ADORA2B|136	123.7785
ADORA3|140	203.324	ADORA3|140	207.6547
ADO|84890	860.8516	ADO|84890	587.9479
ADPGK|83440	1047.7933	ADPGK|83440	895.8469
ADPRHL1|113622	137.3286	ADPRHL1|113622	68.4039
ADPRHL2|54936	1124.8332	ADPRHL2|54936	806.5961
ADPRH|141	268.8342	ADPRH|141	444.6254
lowly_expressed	lowly_expressed	ADRA1A|148	15.8795
ADRA1B|147	29.1156	ADRA1B|147	6.9218
lowly_expressed	lowly_expressed	ADRA1D|146	12.215
ADRA2A|150	204.2946	ADRA2A|150	719.0554
ADRA2B|151	43.6734	ADRA2B|151	41.5309
ADRA2C|152	115.4919	ADRA2C|152	82.2476
lowly_expressed	lowly_expressed	ADRB1|153	7.329
ADRB2|154	74.7301	ADRB2|154	237.785
ADRBK1|156	2428.7274	ADRBK1|156	1827.3616
ADRBK2|157	744.8744	ADRBK2|157	894.1368
ADRM1|11047	2377.2898	ADRM1|11047	1216.2052
ADSL|158	1110.7606	ADSL|158	872.1498
ADSSL1|122622	320.2717	ADSSL1|122622	131.5147
ADSS|159	839.0149	ADSS|159	1172.2313
AEBP1|165	10927.0897	AEBP1|165	7611.1564
AEBP2|121536	652.1897	AEBP2|121536	862.785
AEN|64782	1045.2505	AEN|64782	543.5668
AES|166	10277.8115	AES|166	5448.2899
AFAP1L1|134265	137.3286	AFAP1L1|134265	403.5016
AFAP1L2|84632	170.8116	AFAP1L2|84632	1303.7459
AFAP1|60312	990.4064	AFAP1|60312	1878.6238
AFARP1|246182	5.3379	lowly_expressed	lowly_expressed
AFF1|4299	1523.7171	AFF1|4299	2818.4039
AFF2|2334	17.4694	AFF2|2334	32.1661
AFF3|3899	1628.048	AFF3|3899	2403.9088
AFF4|27125	3769.9867	AFF4|27125	3789.0879
AFG3L1|172	233.4102	AFG3L1|172	336.3192
AFG3L2|10939	1442.9504	AFG3L2|10939	1440.2321
AFMID|125061	533.7862	AFMID|125061	454.3974
lowly_expressed	lowly_expressed	AFP|174	24.43
AFTPH|54812	1508.674	AFTPH|54812	1750
AG2|387763	103.8457	AG2|387763	326.5472
AGAP11|119385	21.8367	AGAP11|119385	100.5863
AGAP1|116987	459.0562	AGAP1|116987	459.2834
AGAP2|116986	119.0829	AGAP2|116986	82.7524
AGAP3|116988	1173.8445	AGAP3|116988	1612.785
AGAP4|119016	246.0269	AGAP4|119016	276.0586
AGAP5|729092	72.7551	AGAP5|729092	50.2972
AGAP6|414189	105.3015	AGAP6|414189	137.6221
AGAP7|653268	9.2199	AGAP7|653268	9.772
AGAP8|728404	32.9977	AGAP8|728404	14.2508
AGA|175	388.6934	AGA|175	546.8241
AGBL2|79841	18.4399	AGBL2|79841	26.4658
lowly_expressed	lowly_expressed	AGBL3|340351	7.329
AGBL4|84871	34.9387	lowly_expressed	lowly_expressed
AGBL5|60509	1092.8157	AGBL5|60509	643.7541
AGER|177	25.2335	AGER|177	30.9446
AGFG1|3267	1193.2549	AGFG1|3267	1568.4039
AGFG2|3268	177.6052	AGFG2|3268	548.0456
AGGF1|55109	1248.5745	AGGF1|55109	710.9121
AGK|55750	306.1992	AGK|55750	506.5147
AGL|178	5229.1641	AGL|178	870.114
AGMAT|79814	35.424	AGMAT|79814	17.9153
AGPAT1|10554	980.9147	AGPAT1|10554	1930.4601
AGPAT2|10555	779.3279	AGPAT2|10555	778.0945
AGPAT3|56894	2162.8048	AGPAT3|56894	1574.5114
AGPAT4|56895	109.1835	AGPAT4|56895	274.0228
AGPAT5|55326	1047.1916	AGPAT5|55326	679.5603
AGPAT6|137964	1415.0188	AGPAT6|137964	2076.5472
AGPAT9|84803	40.2766	AGPAT9|84803	112.785
AGPHD1|123688	46.585	AGPHD1|123688	50.4886
AGPS|8540	947.7132	AGPS|8540	763.4365
AGR2|10551	3996.6032	AGR2|10551	4287.8664
AGR3|155465	864.7337	AGR3|155465	833.4691
AGRN|375790	4329.977	AGRN|375790	7340.3909
AGTPBP1|23287	683.7317	AGTPBP1|23287	354.2345
AGTR1|185	166.9295	AGTR1|185	236.9707
lowly_expressed	lowly_expressed	AGTR2|186	8.5505
AGTRAP|57085	965.6678	AGTRAP|57085	722.3127
AGT|183	1584.8599	AGT|183	91.6124
AGXT2L2|85007	345.3597	AGXT2L2|85007	510
AHCTF1|25909	966.1531	AHCTF1|25909	1488.5993
AHCYL1|10768	4471.1877	AHCYL1|10768	3677.1173
AHCYL2|23382	263.9816	AHCYL2|23382	646.1726
AHCY|191	6072.5464	AHCY|191	3013.4365
AHDC1|27245	1300.0121	AHDC1|27245	1681.5961
AHI1|54806	736.1398	lowly_expressed	lowly_expressed
AHNAK2|113146	405.1923	AHNAK2|113146	984.1205
AHNAK|79026	12536.6978	AHNAK|79026	60247.9642
AHRR|57491	176.1495	AHRR|57491	14.658
AHR|196	950.6248	AHR|196	3203.5831
AHSA1|10598	1409.6809	AHSA1|10598	1637.6221
AHSA2|130872	327.5506	AHSA2|130872	375
AIDA|64853	1423.3556	AIDA|64853	830.2524
AIF1L|83543	4170.3263	AIF1L|83543	2259.3648
AIF1|199	518.7432	AIF1|199	700.7329
AIFM1|9131	844.838	AIFM1|9131	671.4169
AIFM2|84883	776.4164	AIFM2|84883	385.1792
AIFM3|150209	48.0165	AIFM3|150209	16.5432
AIG1|51390	718.1851	AIG1|51390	863.5993
AIM1L|55057	96.5668	lowly_expressed	lowly_expressed
AIM1|202	2946.0148	AIM1|202	2715.798
AIM2|9447	41.7324	AIM2|9447	22.3941
AIMP1|9255	834.5166	AIMP1|9255	976.9625
AIMP2|7965	264.6367	AIMP2|7965	300.4805
AIP|9049	1090.865	AIP|9049	965.3909
lowly_expressed	lowly_expressed	AJAP1|55966	23.2085
AK1|203	613.8542	AK1|203	517.5081
AK2|204	2927.5749	AK2|204	2013.4365
AK3L1|205	547.3735	AK3L1|205	500.8143
AK3|50808	592.988	AK3|50808	1419.7883
AK5|26289	51.4376	AK5|26289	1885.5863
AK7|122481	31.0567	AK7|122481	32.9805
AKAP10|11216	287.7593	AKAP10|11216	629.886
AKAP11|11215	1508.674	AKAP11|11215	1845.2769
AKAP12|9590	577.4597	AKAP12|9590	1961.3192
AKAP13|11214	2333.1311	lowly_expressed	lowly_expressed
AKAP1|8165	1776.5377	AKAP1|8165	2758.9577
AKAP2|11217	322.1012	AKAP2|11217	2110.456
AKAP3|10566	12.6168	AKAP3|10566	54.1531
AKAP5|9495	230.9839	AKAP5|9495	78.5831
AKAP6|9472	54.3491	AKAP6|9472	175.4886
AKAP7|9465	75.7006	AKAP7|9465	245.9283
AKAP8L|26993	1172.874	AKAP8L|26993	909.6091
AKAP8|10270	864.2485	lowly_expressed	lowly_expressed
AKAP9|10142	1387.8442	AKAP9|10142	2778.9088
AKD1|221264	310.0813	AKD1|221264	128.2573
AKIRIN1|79647	1481.4995	AKIRIN1|79647	1062.2964
AKIRIN2|55122	913.2597	AKIRIN2|55122	664.0879
AKNA|80709	889.9672	AKNA|80709	922.2313
AKR1A1|10327	3024.627	AKR1A1|10327	1874.5928
lowly_expressed	lowly_expressed	AKR1B10|57016	8.9577
AKR1B1|231	632.2941	AKR1B1|231	1002.8502
AKR1C1|1645	55.3197	AKR1C1|1645	217.4267
AKR1C2|1646	47.0702	AKR1C2|1646	162.8664
AKR1C3|8644	73.7596	AKR1C3|8644	454.3974
AKR1E2|83592	44.6439	AKR1E2|83592	21.987
AKR7A2|8574	1860.9729	AKR7A2|8574	1015.0651
AKR7A3|22977	388.6934	AKR7A3|22977	245.9283
AKR7L|246181	51.9228	AKR7L|246181	21.5798
AKT1S1|84335	1007.4002	AKT1S1|84335	686.0749
AKT1|207	4628.412	AKT1|207	3419.7883
AKT2|208	2504.428	AKT2|208	2146.1726
AKT3|10000	753.6091	AKT3|10000	918.5668
AKTIP|64400	396.8458	AKTIP|64400	645.7614
ALAD|210	632.2941	ALAD|210	1748.3713
ALAS1|211	718.6704	ALAS1|211	665.3094
ALB|213	7.2789	ALB|213	1253.6645
ALCAM|214	2157.4669	ALCAM|214	3125.4072
ALDH16A1|126133	528.9336	ALDH16A1|126133	715.798
ALDH18A1|5832	1258.2798	ALDH18A1|5832	1748.3713
ALDH1A1|216	973.9173	ALDH1A1|216	896.5798
ALDH1A2|8854	49.4965	ALDH1A2|8854	205.2117
ALDH1A3|220	339.0319	ALDH1A3|220	3547.1539
ALDH1B1|219	629.3825	ALDH1B1|219	552.5244
ALDH1L1|10840	5.3379	ALDH1L1|10840	136.8078
ALDH1L2|160428	165.959	ALDH1L2|160428	217.0195
ALDH2|217	1714.9096	ALDH2|217	1933.6319
ALDH3A1|218	10.1905	ALDH3A1|218	45.1954
ALDH3A2|224	1443.1639	ALDH3A2|224	1796.4169
ALDH3B1|221	140.2402	ALDH3B1|221	197.0684
ALDH3B2|222	951.5953	ALDH3B2|222	419.3811
ALDH4A1|8659	331.4327	ALDH4A1|8659	830.2117
ALDH5A1|7915	263.01099999999997	ALDH5A1|7915	379.0717
ALDH6A1|4329	139.4929	ALDH6A1|4329	409.0187
ALDH7A1|501	1287.3954	ALDH7A1|501	2593.6482
ALDH8A1|64577	10.6757	ALDH8A1|64577	8.5505
ALDH9A1|223	2727.6477	ALDH9A1|223	2634.772
ALDOA|226	15899.0659	ALDOA|226	15131.1075
ALDOC|230	68.4217	ALDOC|230	734.5277
