gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
ALDH1A1|216	390.0663	ALDH1A1|216	3931.1927
ALDH1A2|8854	53.2471	ALDH1A2|8854	757.7982
ALDH1A3|220	799.3202	ALDH1A3|220	2382.7248
ALDH1B1|219	2857.3905	ALDH1B1|219	731.6514
removed	removed	ALDH1L1|10840	1842.6606
ALDH1L2|160428	1593.6995	ALDH1L2|160428	698.1651
ALDH2|217	3549.6034	ALDH2|217	21105.5046
removed	removed	ALDH3A1|218	16.5138
ALDH3A2|224	1650.6616	ALDH3A2|224	5107.3394
ALDH3B1|221	426.5963	ALDH3B1|221	447.7064
ALDH3B2|222	1804.8306	removed	removed
ALDH4A1|8659	576.4313	ALDH4A1|8659	2174.3119
ALDH5A1|7915	162.8372	ALDH5A1|7915	566.5138
ALDH6A1|4329	527.5987	ALDH6A1|4329	625.555
ALDH7A1|501	1620.3231	ALDH7A1|501	982.5688
ALDH8A1|64577	29.1002	ALDH8A1|64577	8.2569
ALDH9A1|223	1970.1444	ALDH9A1|223	3444.4954
ALDOA|226	55224.1024	ALDOA|226	12863.3028
removed	removed	ALDOB|229	9.1743
ALDOC|230	281.7146	ALDOC|230	866.9725
ALG10B|144245	322.5786	ALG10B|144245	314.6789
ALG10|84920	98.4453	ALG10|84920	121.5596
ALG11|440138	19.1937	ALG11|440138	15.1376
ALG12|79087	399.3536	ALG12|79087	371.5596
ALG13|79868	490.9882	ALG13|79868	423.8532
ALG14|199857	242.7079	ALG14|199857	191.2844
ALG1L|200810	112.5125	removed	removed
ALG1|56052	891.5678	ALG1|56052	346.3486
ALG2|85365	912.6313	ALG2|85365	536.6972
ALG3|10195	1398.0472	ALG3|10195	433.0275
ALG5|29880	741.7451	ALG5|29880	479.8165
ALG6|29929	260.6634	ALG6|29929	197.7064
ALG8|79053	1396.8089	ALG8|79053	683.4862
ALG9|79796	428.4538	ALG9|79796	681.1927
ALKBH1|8846	483.5584	ALKBH1|8846	163.3028
ALKBH2|121642	352.9171	ALKBH2|121642	133.0275
ALKBH3|221120	346.7256	ALKBH3|221120	286.6972
ALKBH4|54784	210.2581	ALKBH4|54784	141.3028
ALKBH5|54890	1953.9412	ALKBH5|54890	2345.7706
ALKBH6|84964	88.5389	ALKBH6|84964	60.0917
ALKBH7|84266	801.1838	ALKBH7|84266	224.7706
ALKBH8|91801	208.6545	ALKBH8|91801	251.3761
ALK|238	9.2873	ALK|238	15.1376
ALMS1P|200420	6.8107	removed	removed
ALMS1|7840	514.516	ALMS1|7840	792.6606
ALOX12P2|245	57.5812	removed	removed
removed	removed	ALOX12|239	5.555
ALOX15B|247	442.0752	ALOX15B|247	8.2569
ALOX15|246	104.6368	removed	removed
ALOX5AP|241	256.9484	ALOX5AP|241	822.9358
ALOX5|240	350.4405	ALOX5|240	400.0
ALPK1|80216	398.7345	ALPK1|80216	525.6881
ALPK2|115701	253.8527	ALPK2|115701	148.1651
ALPK3|57538	358.4895	ALPK3|57538	919.2661
ALPL|249	264.3783	ALPL|249	336.6972
ALS2CL|259173	191.9374	ALS2CL|259173	311.4679
removed	removed	ALS2CR11|151254	8.7156
removed	removed	ALS2CR12|130540	5.0459
ALS2CR4|65062	562.81	ALS2CR4|65062	754.5872
ALS2CR8|79800	169.6479	ALS2CR8|79800	153.211
ALS2|57679	642.6807	ALS2|57679	707.3394
removed	removed	ALX1|8092	13.3028
ALX3|257	8.6681	ALX3|257	25.2294
AMACR|23600	535.5672	AMACR|23600	385.3211
AMBP|259	27.8619	removed	removed
