gene_id	TCGA-BH-A208-01A-11R-A157-07	gene_id	TCGA-BH-A208-11A-51R-A157-07
ADCK4|79934	339.0348	ADCK4|79934	415.8439
ADCK5|203054	32.6833	ADCK5|203054	63.2389
ADCY1|107	126.3754	ADCY1|107	1405.3097
ADCY2|108	1170.0621	ADCY2|108	78.889
ADCY3|109	1180.4641	ADCY3|109	1203.536
ADCY4|196883	262.7737	ADCY4|196883	252.317
ADCY5|111	36.6053	ADCY5|111	263.815
ADCY6|112	743.0003	ADCY6|112	2334.411
ADCY7|113	979.6274	ADCY7|113	592.1464
ADCY9|115	821.4402	ADCY9|115	767.4907
ADCYAP1R1|117	21.7889	ADCYAP1R1|117	51.1022
ADCYAP1|116	77.5684	ADCYAP1|116	37.3685
ADC|113451	297.6359	ADC|113451	162.2494
ADD1|118	7045.2119	ADD1|118	5771.0319
ADD2|119	58.8299	ADD2|119	38.9654
ADD3|120	2966.772	ADD3|120	3284.2726
lowly_expressed	lowly_expressed	ADH1A|124	96.7747
ADH1B|125	57.5226	ADH1B|125	12334.4669
ADH1C|126	106.7654	ADH1C|126	192.2719
ADH5|128	2423.3577	ADH5|128	3447.4801
ADH7|131	6.5367	lowly_expressed	lowly_expressed
ADHFE1|137872	33.9906	ADHFE1|137872	321.6243
ADI1|55256	1648.9814	ADI1|55256	1312.687
lowly_expressed	lowly_expressed	ADIPOQ|9370	13807.1676
ADIPOR1|51094	3877.5466	ADIPOR1|51094	2472.3869
ADIPOR2|79602	2035.5159	ADIPOR2|79602	2132.238
ADK|132	252.3151	ADK|132	319.708
ADM2|79924	80.183	ADM2|79924	132.5463
ADM|133	287.613	ADM|133	284.2558
ADNP2|22850	579.5838	ADNP2|22850	1113.3885
ADNP|23394	2618.5859	ADNP|23394	3566.2927
ADORA1|134	64.0593	ADORA1|134	616.7393
ADORA2A|135	86.2839	ADORA2A|135	71.543
ADORA2B|136	28.7613	ADORA2B|136	119.4513
ADORA3|140	246.2142	ADORA3|140	30.3419
ADO|84890	550.3868	ADO|84890	705.2099
ADPGK|83440	748.2384	ADPGK|83440	866.5139
ADPRHL1|113622	53.1648	ADPRHL1|113622	115.2993
ADPRHL2|54936	570.4325	ADPRHL2|54936	496.9686
ADPRH|141	374.7685	ADPRH|141	330.2478
lowly_expressed	lowly_expressed	ADRA1A|148	14.3725
ADRA1B|147	16.5595	ADRA1B|147	15.3307
ADRA1D|146	6.5367	lowly_expressed	lowly_expressed
ADRA2A|150	886.3711	ADRA2A|150	232.5149
ADRA2B|151	9.1513	ADRA2B|151	14.6919
ADRA2C|152	10.4587	ADRA2C|152	12.1368
ADRB1|153	25.7109	ADRB1|153	20.7603
ADRB2|154	44.0135	ADRB2|154	142.4473
