gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
AFF2|2334	37.6043	AFF2|2334	88.7014
AFF3|3899	3947.8078	AFF3|3899	1017.2096
AFF4|27125	4302.4556	AFF4|27125	2727.1921
AFG3L1|172	148.4723	AFG3L1|172	182.5144
AFG3L2|10939	1411.9232	AFG3L2|10939	1235.5894
AFMID|125061	1050.3282	AFMID|125061	490.1128
AFP|174	12.6428	AFP|174	24.9567
AFTPH|54812	2151.2278	AFTPH|54812	1392.7623
AG2|387763	153.0108	AG2|387763	243.2523
AGAP11|119385	51.6152	AGAP11|119385	145.8371
AGAP1|116987	646.7299	AGAP1|116987	468.163
AGAP2|116986	224.78	AGAP2|116986	75.2909
AGAP3|116988	930.7075	AGAP3|116988	1167.2502
AGAP4|119016	124.8075	AGAP4|119016	151.5441
AGAP5|729092	32.4175	AGAP5|729092	39.1068
AGAP6|414189	75.2087	AGAP6|414189	67.9543
AGAP7|653268	5.1868	lowly_expressed	lowly_expressed
AGAP8|728404	15.5604	AGAP8|728404	34.8792
AGA|175	539.1037	AGA|175	507.2517
AGBL2|79841	19.1263	AGBL2|79841	5.4123
AGBL3|340351	22.0439	AGBL3|340351	6.0137
lowly_expressed	lowly_expressed	AGBL4|84871	9.9225
AGBL5|60509	623.0845	AGBL5|60509	818.4914
AGER|177	22.3681	AGER|177	26.7608
AGFG1|3267	1695.1131	AGFG1|3267	1633.0077
AGFG2|3268	464.8675	AGFG2|3268	572.4999
AGGF1|55109	994.8942	AGGF1|55109	870.1757
AGK|55750	471.6752	AGK|55750	493.721
AGL|178	1616.9868	AGL|178	925.802
AGMAT|79814	23.6648	AGMAT|79814	12.6287
AGPAT1|10554	2117.1343	AGPAT1|10554	2070.7837
AGPAT2|10555	294.6754	AGPAT2|10555	2243.0929
AGPAT3|56894	3782.1541	AGPAT3|56894	1859.7225
AGPAT4|56895	159.4943	AGPAT4|56895	364.4274
AGPAT5|55326	834.7516	AGPAT5|55326	580.0169
AGPAT6|137964	2655.9689	AGPAT6|137964	1680.5156
AGPAT9|84803	92.0658	AGPAT9|84803	150.9427
AGPHD1|123688	66.1318	AGPHD1|123688	60.1365
AGPS|8540	888.8889	AGPS|8540	1646.2378
AGR2|10551	9517.1408	AGR2|10551	2215.1295
AGR3|155465	2441.3648	AGR3|155465	476.8828
AGRN|375790	4766.0264	AGRN|375790	3462.662
AGTPBP1|23287	302.4556	AGTPBP1|23287	395.3978
AGTR1|185	95.9559	AGTR1|185	558.0671
AGTRAP|57085	798.444	AGTRAP|57085	689.1647
AGT|183	100.4944	AGT|183	118.1683
lowly_expressed	lowly_expressed	AGXT2L1|64850	6.615
AGXT2L2|85007	303.6356	AGXT2L2|85007	589.9966
AHCTF1|25909	2086.7169	AHCTF1|25909	1267.3776
AHCYL1|10768	5159.5753	AHCYL1|10768	4353.2841
AHCYL2|23382	651.2683	AHCYL2|23382	559.5705
AHCY|191	3752.0058	AHCY|191	2432.8237
AHDC1|27245	713.8342	AHDC1|27245	953.4648
AHI1|54806	380.2577	AHI1|54806	351.4981
AHNAK2|113146	530.6751	AHNAK2|113146	2082.5284
AHNAK|79026	61276.2785	AHNAK|79026	107463.095
AHRR|57491	30.4725	AHRR|57491	23.7539
AHR|196	3253.0999	AHR|196	2228.3595
AHSA1|10598	1360.8882	AHSA1|10598	1454.4022
AHSA2|130872	193.8569	AHSA2|130872	291.6622
AIDA|64853	1027.7818	AIDA|64853	1588.5548
AIF1L|83543	1045.7898	AIF1L|83543	2320.3684
AIF1|199	666.5046	AIF1|199	805.2283
AIFM1|9131	913.202	AIFM1|9131	689.4654
AIFM2|84883	129.6702	AIFM2|84883	1179.8789
AIFM3|150209	12.5456	AIFM3|150209	10.2082
AIG1|51390	1147.5808	AIG1|51390	1030.4396
AIM1L|55057	9.4011	lowly_expressed	lowly_expressed
AIM1|202	3515.0336	AIM1|202	2784.3218
AIM2|9447	80.3955	AIM2|9447	15.6355
AIMP1|9255	1185.0134	AIMP1|9255	1055.9976
AIMP2|7965	351.1468	AIMP2|7965	286.2379
AIP|9049	664.8837	AIP|9049	1008.7905
AJAP1|55966	19.4505	AJAP1|55966	26.7608
AK1|203	326.7688	AK1|203	578.5135
AK2|204	2250.1013	AK2|204	2175.4393
AK3L1|205	342.3292	AK3L1|205	427.5708
AK3|50808	1081.7732	AK3|50808	2133.9451
AK5|26289	847.3944	AK5|26289	1706.3743
AK7|122481	59.9724	AK7|122481	31.271
AKAP10|11216	530.3509	AKAP10|11216	456.1357
AKAP11|11215	2133.074	AKAP11|11215	1628.4975
AKAP12|9590	924.5482	AKAP12|9590	5798.3652
AKAP13|11214	4208.7689	AKAP13|11214	4171.0704
AKAP1|8165	1570.6297	AKAP1|8165	2080.7243
AKAP2|11217	1214.9445	AKAP2|11217	1875.1235
AKAP3|10566	67.7527	AKAP3|10566	75.1707
AKAP5|9495	176.0272	AKAP5|9495	50.214
AKAP6|9472	79.7471	AKAP6|9472	245.9584
AKAP7|9465	225.3019	AKAP7|9465	221.6031
AKAP8L|26993	519.329	AKAP8L|26993	472.0718
AKAP8|10270	615.609	AKAP8|10270	530.1036
AKAP9|10142	3909.5551	AKAP9|10142	1793.873
AKD1|221264	107.6262	AKD1|221264	117.5669
AKIRIN1|79647	1557.3385	AKIRIN1|79647	1155.8243
AKIRIN2|55122	813.0319	AKIRIN2|55122	887.916
AKNA|80709	1891.8875	AKNA|80709	940.2348
AKR1A1|10327	1851.3656	AKR1A1|10327	1857.317
lowly_expressed	lowly_expressed	AKR1B10|57016	6.9157
lowly_expressed	lowly_expressed	AKR1B15|441282	14.1321
AKR1B1|231	787.422	AKR1B1|231	1331.7237
AKR1C1|1645	117.6757	AKR1C1|1645	3181.5236
AKR1C2|1646	330.9831	AKR1C2|1646	2138.1547
AKR1C3|8644	537.807	AKR1C3|8644	2267.7489
AKR1E2|83592	20.7472	AKR1E2|83592	36.984
AKR7A2|8574	1097.0095	AKR7A2|8574	1013.0
AKR7A3|22977	2023.1785	AKR7A3|22977	69.4577
AKR7L|246181	66.7801	AKR7L|246181	9.6218
AKT1S1|84335	933.3009	AKT1S1|84335	834.3945
AKT1|207	3266.7153	AKT1|207	3060.9499
AKT2|208	2086.3927	AKT2|208	2551.5934
AKT3|10000	2221.2497	AKT3|10000	1283.6144
AKTIP|64400	545.3667	AKTIP|64400	724.1221
ALAD|210	1519.7342	ALAD|210	2090.0454
ALAS1|211	920.3339	ALAS1|211	874.3853
ALB|213	34.6868	ALB|213	170.1864
ALCAM|214	3254.7208	ALCAM|214	2492.9603
ALDH16A1|126133	360.1588	ALDH16A1|126133	374.6506
ALDH18A1|5832	2297.1067	ALDH18A1|5832	1668.1876
