gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
ALDH8A1|64577	7.7911	ALDH8A1|64577	24.2537
ALDH9A1|223	4302.7888	ALDH9A1|223	4191.2313
ALDOA|226	36018.0611	ALDOA|226	13241.1381
ALDOC|230	277.645	ALDOC|230	1084.4216
ALG10B|144245	282.2488	ALG10B|144245	489.2724
ALG10|84920	135.9894	ALG10|84920	162.3134
ALG11|440138	18.0611	ALG11|440138	15.8582
ALG12|79087	516.6888	ALG12|79087	435.1679
ALG13|79868	589.6414	ALG13|79868	434.7015
ALG14|199857	276.5826	ALG14|199857	136.194
ALG1L|200810	49.9548	lowly_expressed	lowly_expressed
ALG1|56052	692.2178	ALG1|56052	375.0979
ALG2|85365	966.7995	ALG2|85365	669.7761
ALG3|10195	1065.2501	ALG3|10195	372.6679
ALG5|29880	523.4174	ALG5|29880	378.2649
ALG6|29929	484.8163	ALG6|29929	228.5448
ALG8|79053	2232.8464	ALG8|79053	534.5149
ALG9|79796	837.8929	ALG9|79796	666.0448
ALKBH1|8846	393.4484	ALKBH1|8846	231.8097
ALKBH2|121642	328.64099999999996	ALKBH2|121642	238.3396
ALKBH3|221120	308.8092	ALKBH3|221120	305.5037
ALKBH4|54784	343.3413	ALKBH4|54784	221.8377
ALKBH5|54890	2096.1487	ALKBH5|54890	1976.3806
ALKBH6|84964	142.0097	ALKBH6|84964	61.5672
ALKBH7|84266	384.595	ALKBH7|84266	375.9328
ALKBH8|91801	217.0872	ALKBH8|91801	273.7873
lowly_expressed	lowly_expressed	ALK|238	7.9291
ALMS1P|200420	7.4369	ALMS1P|200420	12.1269
ALMS1|7840	804.9579	ALMS1|7840	928.6381
ALOX12P2|245	34.3515	ALOX12P2|245	52.2388
lowly_expressed	lowly_expressed	ALOX12|239	6.0634
