gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
ADAM19|8728	661.5579	ADAM19|8728	44.0981
ADAM21|8747	5.3567	ADAM21|8747	5.305
ADAM22|53616	126.7763	ADAM22|53616	110.0796
ADAM23|8745	171.1182	ADAM23|8745	34.8143
ADAM28|10863	38.9852	ADAM28|10863	81.2334
ADAM32|203102	8.0351	ADAM32|203102	22.878
ADAM33|80332	391.3399	ADAM33|80332	303.3156
ADAM6|8755	22038.5567	ADAM6|8755	39512.9642
ADAM8|101	472.2863	ADAM8|101	44.0981
ADAM9|8754	2101.6293	ADAM9|8754	2337.5332
ADAMDEC1|27299	24.7005	ADAMDEC1|27299	37.7984
ADAMTS10|81794	238.9703	ADAMTS10|81794	88.5279
ADAMTS12|81792	675.8426	ADAMTS12|81792	46.4191
ADAMTS13|11093	23.8078	ADAMTS13|11093	60.3448
ADAMTS14|140766	130.0498	lowly_expressed	lowly_expressed
ADAMTS15|170689	1147.8313	ADAMTS15|170689	208.5544
ADAMTS16|170690	1066.8849	ADAMTS16|170690	14.5889
ADAMTS17|170691	119.3364	ADAMTS17|170691	68.9655
ADAMTS18|170692	86.3031	ADAMTS18|170692	45.0928
ADAMTS1|9510	7854.7727	ADAMTS1|9510	4209.8806
ADAMTS2|9509	1812.0676	ADAMTS2|9509	199.9337
ADAMTS3|9508	112.4916	ADAMTS3|9508	120.6897
ADAMTS4|9507	2323.0414	ADAMTS4|9507	199.6021
ADAMTS5|11096	758.2769	ADAMTS5|11096	2516.5782
ADAMTS6|11174	142.8465	ADAMTS6|11174	14.2573
ADAMTS7|11173	351.7595	ADAMTS7|11173	23.2095
ADAMTS8|11095	76.1848	ADAMTS8|11095	54.3767
ADAMTS9|56999	1437.9882	ADAMTS9|56999	636.2732
ADAMTSL1|92949	502.6412	ADAMTSL1|92949	127.9841
ADAMTSL2|9719	661.8555	ADAMTSL2|9719	40.1194
ADAMTSL3|57188	587.4563	ADAMTSL3|57188	167.7719
ADAMTSL4|54507	568.7077	ADAMTSL4|54507	338.1963
ADAMTSL5|339366	56.841	ADAMTSL5|339366	34.8143
ADAP1|11033	130.8266	ADAP1|11033	98.8329
ADAP2|55803	305.9296	ADAP2|55803	97.8117
ADARB1|104	857.9719	ADARB1|104	806.6976
lowly_expressed	lowly_expressed	ADARB2|105	9.2838
ADAR|103	10847.7048	ADAR|103	7532.8249
ADAT1|23536	232.1256	ADAT1|23536	377.6525
ADAT2|134637	31.2477	ADAT2|134637	127.6525
ADAT3|113179	16.963	ADAT3|113179	12.2679
ADA|100	248.4934	ADA|100	42.4403
ADCK1|57143	199.9851	ADCK1|57143	144.8939
ADCK2|90956	1034.7444	ADCK2|90956	602.4536
ADCK4|79934	496.094	ADCK4|79934	498.6737
ADCK5|203054	66.3641	ADCK5|203054	66.313
lowly_expressed	lowly_expressed	ADCY10|55811	8.6207
ADCY1|107	213.377	ADCY1|107	136.2732
ADCY2|108	579.1236	ADCY2|108	371.3528
ADCY3|109	1544.7928	ADCY3|109	1134.3103
ADCY4|196883	603.8241	ADCY4|196883	342.8382
ADCY5|111	190.1644	ADCY5|111	403.5146
ADCY6|112	1453.7609	ADCY6|112	1610.7427
ADCY7|113	613.3472	ADCY7|113	175.7294
ADCY9|115	1034.1492	ADCY9|115	1012.931
ADCYAP1R1|117	36.6044	ADCYAP1R1|117	15.5836
ADCYAP1|116	28.5693	ADCYAP1|116	8.6207
ADC|113451	389.8519	ADC|113451	142.2414
ADD1|118	6759.3185	ADD1|118	5865.0531
ADD2|119	113.0868	ADD2|119	44.7613
ADD3|120	2483.1486	ADD3|120	3940.9814
ADH1A|124	38.6876	ADH1A|124	30.504
ADH1B|125	4076.4824	ADH1B|125	3208.2228
ADH1C|126	83.0295	ADH1C|126	138.5942
lowly_expressed	lowly_expressed	ADH4|127	46.4191
ADH5|128	2262.3317	ADH5|128	2810.3448
ADHFE1|137872	58.329	ADHFE1|137872	195.2918
ADI1|55256	1416.8589	ADI1|55256	1453.2493
ADIPOQ|9370	3003.348	ADIPOQ|9370	1674.7347
ADIPOR1|51094	3375.3441	ADIPOR1|51094	2243.3687
ADIPOR2|79602	1885.2764	ADIPOR2|79602	1866.0477
ADK|132	301.1681	ADK|132	346.1538
ADM2|79924	180.6413	ADM2|79924	70.6233
ADM|133	327.059	ADM|133	214.8541
ADNP2|22850	591.3251	ADNP2|22850	697.6127
ADNP|23394	2575.9988	ADNP|23394	3544.4297
ADORA1|134	75.8872	ADORA1|134	267.5729
ADORA2A|135	529.4249	ADORA2A|135	54.0385
ADORA2B|136	36.0092	ADORA2B|136	129.3103
ADORA3|140	174.6894	ADORA3|140	120.3581
ADO|84890	562.1606	ADO|84890	610.4111
ADPGK|83440	952.3101	ADPGK|83440	812.3342
ADPRHL1|113622	112.4916	ADPRHL1|113622	51.061
ADPRHL2|54936	660.3675	ADPRHL2|54936	678.0504
ADPRH|141	368.7226	ADPRH|141	406.1671
ADRA1A|148	6.5471	ADRA1A|148	9.2838
ADRA1B|147	30.6525	ADRA1B|147	12.5995
ADRA1D|146	22.0222	ADRA1D|146	7.9576
ADRA2A|150	678.5209	ADRA2A|150	903.8462
ADRA2B|151	46.7227	ADRA2B|151	36.1406
ADRA2C|152	53.865	ADRA2C|152	53.0504
ADRB1|153	7.7375	ADRB1|153	7.9576
ADRB2|154	152.9648	ADRB2|154	315.3183
ADRBK1|156	1434.1195	ADRBK1|156	1117.0424
ADRBK2|157	540.436	ADRBK2|157	826.9231
ADRM1|11047	1156.4616	ADRM1|11047	945.2918
ADSL|158	880.8868	ADSL|158	710.2122
ADSSL1|122622	155.6432	ADSSL1|122622	94.1645
ADSS|159	2176.3262	ADSS|159	1602.7851
AEBP1|165	38436.1283	AEBP1|165	4267.2414
AEBP2|121536	504.1292	AEBP2|121536	1242.0424
AEN|64782	378.2457	AEN|64782	540.4509
AES|166	5287.1066	AES|166	4771.8833
AFAP1L1|134265	668.4026	AFAP1L1|134265	310.6764
AFAP1L2|84632	1149.0217	AFAP1L2|84632	1273.2095
AFAP1|60312	2217.3797	AFAP1|60312	1442.6094
AFF1|4299	2566.4757	AFF1|4299	2981.4324
AFF2|2334	94.9334	AFF2|2334	87.8647
AFF3|3899	1758.5001	AFF3|3899	1968.1698
AFF4|27125	3047.9875	AFF4|27125	5798.0769
AFG3L1|172	75.292	AFG3L1|172	324.2706
AFG3L2|10939	1030.4263	AFG3L2|10939	1660.6399
AFMID|125061	628.8223	AFMID|125061	1230.4377
AFP|174	8.6303	AFP|174	45.0928
AFTPH|54812	1663.2691	AFTPH|54812	2569.6286
AG2|387763	963.3212	AG2|387763	241.3793
AGAP11|119385	20.2366	AGAP11|119385	144.9171
AGAP1|116987	420.5044	AGAP1|116987	556.366
AGAP2|116986	107.0069	AGAP2|116986	51.2367
AGAP3|116988	1080.872	AGAP3|116988	1137.5995
AGAP4|119016	69.0425	AGAP4|119016	156.4987
AGAP5|729092	17.6594	AGAP5|729092	89.506
AGAP6|414189	27.9741	AGAP6|414189	116.0477
AGAP7|653268	6.2495	AGAP7|653268	44.7613
AGAP8|728404	11.9039	AGAP8|728404	54.3767
AGA|175	536.2696	AGA|175	635.9416
AGBL2|79841	20.2366	AGBL2|79841	23.2095
AGBL3|340351	6.5471	AGBL3|340351	6.2997
AGBL4|84871	13.6895	AGBL4|84871	17.2414
AGBL5|60509	541.0371	AGBL5|60509	710.882
AGER|177	6.2495	AGER|177	33.8196
AGFG1|3267	1642.1397	AGFG1|3267	2279.5093
AGFG2|3268	496.9868	AGFG2|3268	456.565
AGGF1|55109	733.2788	AGGF1|55109	790.1194
AGK|55750	514.545	AGK|55750	581.8966
AGL|178	765.4192	AGL|178	1708.8859
AGMAT|79814	11.3087	AGMAT|79814	11.2732
AGPAT1|10554	2166.3477	AGPAT1|10554	1400.8886
AGPAT2|10555	967.4875	AGPAT2|10555	461.5385
AGPAT3|56894	1451.0825	AGPAT3|56894	1291.7772
AGPAT4|56895	298.7873	AGPAT4|56895	300.7294
AGPAT5|55326	529.4249	AGPAT5|55326	790.1194
AGPAT6|137964	1365.6722	AGPAT6|137964	1550.0663
AGPAT9|84803	99.0998	AGPAT9|84803	201.9231
AGPHD1|123688	37.1996	AGPHD1|123688	53.0504
AGPS|8540	853.2103	AGPS|8540	1035.1459
AGR2|10551	4096.4214	AGR2|10551	1189.6552
AGR3|155465	1726.3596	AGR3|155465	632.2944
AGRN|375790	6068.0009	AGRN|375790	2900.8621
AGTPBP1|23287	303.5488	AGTPBP1|23287	441.313
AGTR1|185	248.791	AGTR1|185	211.87
AGTRAP|57085	904.9922	AGTRAP|57085	584.5491
AGT|183	108.3253	AGT|183	10.2785
AGXT2L2|85007	355.4587	AGXT2L2|85007	378.8064
AHCTF1|25909	1536.1952	AHCTF1|25909	2225.7958
AHCYL1|10768	4024.4029	AHCYL1|10768	4160.1459
AHCYL2|23382	827.9146	AHCYL2|23382	746.0212
AHCY|191	2780.4479	AHCY|191	2358.4218
AHDC1|27245	887.1364	AHDC1|27245	1223.8064
AHI1|54806	237.4823	AHI1|54806	567.3077
AHNAK2|113146	2317.0895	AHNAK2|113146	790.7825
AHNAK|79026	67125.3627	AHNAK|79026	111709.8806
AHRR|57491	38.39	AHRR|57491	18.8992
AHR|196	2687.5976	AHR|196	5598.8064
AHSA1|10598	1657.6148	AHSA1|10598	1721.4854
AHSA2|130872	101.7781	AHSA2|130872	530.1724
AIDA|64853	1487.7256	AIDA|64853	756.3462
AIF1L|83543	791.0126	AIF1L|83543	1612.069
AIF1|199	458.5968	AIF1|199	184.6817
AIFM1|9131	857.3767	AIFM1|9131	804.3767
AIFM2|84883	280.9315	AIFM2|84883	311.008
AIFM3|150209	5.9519	AIFM3|150209	13.9257
AIG1|51390	738.3379	AIG1|51390	779.8408
AIM1L|55057	5.6543	lowly_expressed	lowly_expressed
