gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
ADAMTS5|11096	155.9605	ADAMTS5|11096	2412.0983
ADAMTS6|11174	20.6918	ADAMTS6|11174	49.7795
ADAMTS7|11173	82.7671	ADAMTS7|11173	86.0113
lowly_expressed	lowly_expressed	ADAMTS8|11095	36.2319
ADAMTS9|56999	218.3447	ADAMTS9|56999	1282.6087
ADAMTSL1|92949	44.4719	ADAMTSL1|92949	273.787
ADAMTSL2|9719	33.3539	ADAMTSL2|9719	53.8752
ADAMTSL3|57188	123.2242	ADAMTSL3|57188	206.6793
ADAMTSL4|54507	357.937	ADAMTSL4|54507	685.2552
ADAMTSL5|339366	6.4855	ADAMTSL5|339366	38.4373
ADAP1|11033	175.6794	ADAP1|11033	131.4304
ADAP2|55803	481.7789	ADAP2|55803	388.4688
ADARB1|104	483.6319	ADARB1|104	1063.6421
ADAR|103	16995.3675	ADAR|103	9221.4871
ADAT1|23536	402.4089	ADAT1|23536	354.4423
ADAT2|134637	213.7122	ADAT2|134637	248.5822
ADAT3|113179	60.2224	ADAT3|113179	40.6427
ADA|100	231.6245	ADA|100	156.2697
ADCK1|57143	175.1081	ADCK1|57143	186.2004
ADCK2|90956	711.2415	ADCK2|90956	649.0233
ADCK4|79934	452.7486	ADCK4|79934	444.2344
ADCK5|203054	247.3749	ADCK5|203054	92.9427
ADCY1|107	45.0896	ADCY1|107	507.8765
ADCY2|108	29.6479	ADCY2|108	83.1758
ADCY3|109	1155.6763	ADCY3|109	1942.1582
ADCY4|196883	60.84	ADCY4|196883	466.2886
lowly_expressed	lowly_expressed	ADCY5|111	550.4096
ADCY6|112	1255.7134	ADCY6|112	2669.8173
ADCY7|113	950.2779	ADCY7|113	718.9666
ADCY9|115	836.9364	ADCY9|115	946.1248
lowly_expressed	lowly_expressed	ADCYAP1R1|117	24.5747
ADCYAP1|116	33.9716	ADCYAP1|116	27.7253
ADC|113451	260.6547	ADC|113451	123.1884
ADD1|118	5441.9395	ADD1|118	6347.511
ADD2|119	10.8091	ADD2|119	77.8198
ADD3|120	1773.008	ADD3|120	3196.9124
lowly_expressed	lowly_expressed	ADH1A|124	48.5192
ADH1B|125	39.5306	ADH1B|125	7557.971
lowly_expressed	lowly_expressed	ADH1C|126	175.4883
lowly_expressed	lowly_expressed	ADH4|127	40.3277
ADH5|128	1206.9179	ADH5|128	3080.0252
ADHFE1|137872	34.8981	ADHFE1|137872	209.1997
ADI1|55256	1460.4694	ADI1|55256	1576.8746
ADIPOQ|9370	65.7813	ADIPOQ|9370	13743.8563
ADIPOR1|51094	4489.1909	ADIPOR1|51094	1839.9496
ADIPOR2|79602	2709.0797	ADIPOR2|79602	2619.7227
ADK|132	390.0556	ADK|132	331.1279
ADM2|79924	81.5318	ADM2|79924	109.3258
ADM|133	388.2026	ADM|133	1109.9559
ADNP2|22850	656.5781	ADNP2|22850	606.8053
ADNP|23394	3272.6992	ADNP|23394	2814.1147
ADORA1|134	265.596	ADORA1|134	359.4833
ADORA2A|135	174.4842	ADORA2A|135	118.4468
ADORA2B|136	246.7573	ADORA2B|136	121.6131
ADORA3|140	114.8857	ADORA3|140	174.5432
ADO|84890	870.908	ADO|84890	732.8292
ADPGK|83440	1610.5899	ADPGK|83440	922.489
ADPRHL1|113622	26.2508	ADPRHL1|113622	51.3548
ADPRHL2|54936	1857.3193	ADPRHL2|54936	543.1632
ADPRH|141	253.2427	ADPRH|141	549.7795
lowly_expressed	lowly_expressed	ADRA1A|148	34.6566
lowly_expressed	lowly_expressed	ADRA1B|147	22.3693
lowly_expressed	lowly_expressed	ADRA1D|146	12.6024
ADRA2A|150	111.4886	ADRA2A|150	947.385
ADRA2B|151	7.7208	ADRA2B|151	47.259
ADRA2C|152	28.7214	ADRA2C|152	85.0662
ADRB1|153	33.9716	ADRB1|153	32.4512
ADRB2|154	203.2119	ADRB2|154	236.925
ADRBK1|156	5449.6603	ADRBK1|156	1681.4745
ADRBK2|157	563.6195	ADRBK2|157	1901.0712
ADRM1|11047	2208.7708	ADRM1|11047	899.811
ADSL|158	1209.0797	ADSL|158	731.8841
ADSSL1|122622	172.6374	ADSSL1|122622	160.0504
ADSS|159	3024.3978	ADSS|159	1361.0586
AEBP1|165	3646.6955	AEBP1|165	10722.1172
AEBP2|121536	881.7171	AEBP2|121536	804.0328
AEN|64782	570.7227	AEN|64782	435.7278
AES|166	3126.6214	AES|166	5426.9061
AFAP1L1|134265	149.7838	AFAP1L1|134265	446.4398
AFAP1L2|84632	721.433	AFAP1L2|84632	1406.7423
AFAP1|60312	1126.2477	AFAP1|60312	1506.8967
AFF1|4299	1537.9864	AFF1|4299	3114.3667
AFF2|2334	155.9605	AFF2|2334	75.2993
AFF3|3899	27.4861	AFF3|3899	1082.5457
AFF4|27125	2483.0142	AFF4|27125	3871.4556
AFG3L1|172	515.1328	AFG3L1|172	305.293
AFG3L2|10939	1496.9704	AFG3L2|10939	1169.2092
AFMID|125061	367.5108	AFMID|125061	476.6856
lowly_expressed	lowly_expressed	AFP|174	12.6024
AFTPH|54812	2914.7622	AFTPH|54812	1467.2338
AG2|387763	71.3403	AG2|387763	185.5703
AGAP11|119385	12.3873	AGAP11|119385	184.0044
AGAP1|116987	507.1032	AGAP1|116987	527.7253
AGAP2|116986	200.1822	AGAP2|116986	111.7297
AGAP3|116988	1260.9636	AGAP3|116988	1296.4713
AGAP4|119016	212.4768	AGAP4|119016	323.5665
AGAP5|729092	49.5893	AGAP5|729092	62.0384
AGAP6|414189	131.2539	AGAP6|414189	146.1878
AGAP7|653268	12.971	AGAP7|653268	12.2873
AGAP8|728404	47.2514	AGAP8|728404	42.5331
AGA|175	568.252	AGA|175	402.6465
lowly_expressed	lowly_expressed	AGBL2|79841	21.109
AGBL3|340351	9.8826	AGBL3|340351	7.2464
lowly_expressed	lowly_expressed	AGBL4|84871	10.397
AGBL5|60509	797.7733	AGBL5|60509	611.2382
AGER|177	33.0451	AGER|177	53.2451
AGFG1|3267	4152.8721	AGFG1|3267	1959.0422
AGFG2|3268	462.0136	AGFG2|3268	499.6849
AGGF1|55109	985.7937	AGGF1|55109	977.3157
AGK|55750	578.7523	AGK|55750	539.0674
AGL|178	1038.6041	AGL|178	1251.1027
AGMAT|79814	22.2359	AGMAT|79814	12.9175
AGPAT1|10554	1102.7424	AGPAT1|10554	1617.8607
AGPAT2|10555	542.6189	AGPAT2|10555	1832.0731
AGPAT3|56894	2510.1915	AGPAT3|56894	2109.3258
AGPAT4|56895	144.2248	AGPAT4|56895	394.77
AGPAT5|55326	608.0914	AGPAT5|55326	665.7215
AGPAT6|137964	1932.0568	AGPAT6|137964	1694.3919
AGPAT9|84803	67.9432	AGPAT9|84803	161.9408
AGPHD1|123688	27.4861	AGPHD1|123688	56.7108
AGPS|8540	981.7789	AGPS|8540	1370.8255
AGR2|10551	848.672	AGR2|10551	866.0996
lowly_expressed	lowly_expressed	AGR3|155465	215.1859
AGRN|375790	4733.4775	AGRN|375790	4351.2917
AGTPBP1|23287	337.2452	AGTPBP1|23287	430.6868
AGTR1|185	10.5003	AGTR1|185	307.8135
AGTRAP|57085	3394.9969	AGTRAP|57085	559.2313
AGT|183	5.8678	AGT|183	84.7511
