gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
AHI1|54806	438.0252	AHI1|54806	375.1084
AHNAK2|113146	1518.2073	AHNAK2|113146	2683.0009
AHNAK|79026	59872.8992	AHNAK|79026	221938.4215
AHRR|57491	66.5266	AHRR|57491	30.3556
AHR|196	1526.9608	AHR|196	3159.15
AHSA1|10598	1809.1737	AHSA1|10598	1225.9324
AHSA2|130872	298.6695	AHSA2|130872	401.5611
AIDA|64853	1594.2262	AIDA|64853	1955.915
AIF1L|83543	115.1961	AIF1L|83543	2650.477
AIF1|199	186.6246	AIF1|199	449.6964
AIFM1|9131	1166.6667	AIFM1|9131	907.6323
AIFM2|84883	297.2689	AIFM2|84883	4325.2385
AIFM3|150209	65.7318	AIFM3|150209	9.974
AIG1|51390	901.6106	AIG1|51390	1352.5585
AIM1L|55057	10.8543	lowly_expressed	lowly_expressed
AIM1|202	4491.2465	AIM1|202	2520.3816
AIM2|9447	15.7563	AIM2|9447	7.3721
AIMP1|9255	1412.3424	AIMP1|9255	799.6921
AIMP2|7965	485.3326	AIMP2|7965	254.9306
AIP|9049	1180.3221	AIP|9049	896.791
lowly_expressed	lowly_expressed	AJAP1|55966	14.3105
AK1|203	393.5574	AK1|203	1016.4788
AK2|204	1765.4062	AK2|204	1915.0043
AK3L1|205	58.8235	AK3L1|205	491.7606
AK3|50808	741.9468	AK3|50808	3029.0546
AK5|26289	24.5098	AK5|26289	9.5403
AK7|122481	39.2157	AK7|122481	13.8768
AKAP10|11216	799.7199	AKAP10|11216	613.6167
AKAP11|11215	961.1345	AKAP11|11215	2703.3825
AKAP12|9590	310.5742	AKAP12|9590	9092.3677
AKAP13|11214	2411.4146	AKAP13|11214	3584.9957
AKAP1|8165	2718.1373	AKAP1|8165	2838.6817
AKAP2|11217	344.7934	AKAP2|11217	3122.5282
lowly_expressed	lowly_expressed	AKAP3|10566	39.0286
AKAP5|9495	81.2325	AKAP5|9495	16.0451
AKAP6|9472	56.7227	AKAP6|9472	59.4102
AKAP7|9465	151.2605	AKAP7|9465	237.6409
AKAP8L|26993	792.0168	AKAP8L|26993	593.235
AKAP8|10270	690.4762	AKAP8|10270	456.2012
AKAP9|10142	4775.5602	AKAP9|10142	1901.9948
AKD1|221264	230.042	AKD1|221264	152.2116
AKIRIN1|79647	1246.4986	AKIRIN1|79647	1256.7216
AKIRIN2|55122	529.4118	AKIRIN2|55122	888.5516
AKNA|80709	404.0616	AKNA|80709	1068.5169
AKR1A1|10327	1428.5714	AKR1A1|10327	1530.7892
lowly_expressed	lowly_expressed	AKR1B10|57016	6.5048
lowly_expressed	lowly_expressed	AKR1B15|441282	42.9315
AKR1B1|231	197.1289	AKR1B1|231	1128.7944
AKR1C1|1645	19.958	AKR1C1|1645	14114.483999999999
AKR1C2|1646	18.2073	AKR1C2|1646	8772.333
AKR1C3|8644	60.9244	AKR1C3|8644	6931.4831
lowly_expressed	lowly_expressed	AKR1E2|83592	45.0997
AKR7A2|8574	482.8431	AKR7A2|8574	1182.5672
AKR7A3|22977	128.5014	lowly_expressed	lowly_expressed
AKR7L|246181	18.2073	lowly_expressed	lowly_expressed
AKT1S1|84335	806.7227	AKT1S1|84335	1014.7441
AKT1|207	3175.07	AKT1|207	3778.4042
AKT2|208	2683.8235	AKT2|208	4829.575
AKT3|10000	167.0168	AKT3|10000	1332.1769
AKTIP|64400	579.8529	AKTIP|64400	787.1206
ALAD|210	1028.7115	ALAD|210	4691.2402
ALAS1|211	792.0168	ALAS1|211	1336.5134
lowly_expressed	lowly_expressed	ALAS2|212	29.9219
ALB|213	11.5546	lowly_expressed	lowly_expressed
ALCAM|214	4020.6583	ALCAM|214	771.0321
ALDH16A1|126133	528.0112	ALDH16A1|126133	502.1683
ALDH18A1|5832	2098.0392	ALDH18A1|5832	1149.1761
ALDH1A1|216	93.1373	ALDH1A1|216	3902.4284
lowly_expressed	lowly_expressed	ALDH1A2|8854	743.2784
ALDH1A3|220	105.7913	ALDH1A3|220	899.1110000000001
ALDH1B1|219	739.4958	ALDH1B1|219	619.2541
lowly_expressed	lowly_expressed	ALDH1L1|10840	3003.0356
ALDH1L2|160428	123.2493	ALDH1L2|160428	467.4761
ALDH2|217	1234.2437	ALDH2|217	31672.1596
lowly_expressed	lowly_expressed	ALDH3A1|218	17.7797
ALDH3A2|224	3751.0504	ALDH3A2|224	6563.7467
ALDH3B1|221	184.5238	ALDH3B1|221	301.3877
ALDH3B2|222	2994.7479	ALDH3B2|222	36.4267
ALDH4A1|8659	447.47900000000004	ALDH4A1|8659	3171.7259
ALDH5A1|7915	527.6611	ALDH5A1|7915	905.4639999999999
ALDH6A1|4329	344.0826	ALDH6A1|4329	1014.8569
ALDH7A1|501	1691.8768	ALDH7A1|501	1344.3192
ALDH8A1|64577	27.3109	ALDH8A1|64577	8.673
ALDH9A1|223	2043.7675	ALDH9A1|223	5478.3174
ALDOA|226	18707.2829	ALDOA|226	15511.7086
lowly_expressed	lowly_expressed	ALDOB|229	5.2038
ALDOC|230	268.2073	ALDOC|230	3169.9913
ALG10B|144245	312.6751	ALG10B|144245	242.4111
ALG10|84920	190.8263	ALG10|84920	98.4389
ALG11|440138	8.0532	ALG11|440138	11.2749
ALG12|79087	512.9552	ALG12|79087	432.784
ALG13|79868	414.2157	ALG13|79868	372.0729
ALG14|199857	107.493	ALG14|199857	258.4562
ALG1|56052	386.6492	ALG1|56052	353.1006
ALG2|85365	765.056	ALG2|85365	498.2654
ALG3|10195	678.5714	ALG3|10195	444.4926
ALG5|29880	195.7283	ALG5|29880	513.8768
ALG6|29929	391.4566	ALG6|29929	248.0486
ALG8|79053	1548.6695	ALG8|79053	795.7502
ALG9|79796	427.52099999999996	ALG9|79796	774.935
ALKBH1|8846	275.5602	ALKBH1|8846	153.9462
ALKBH2|121642	448.5294	ALKBH2|121642	132.2637
ALKBH3|221120	644.9580000000001	ALKBH3|221120	329.1414
ALKBH4|54784	240.2766	ALKBH4|54784	160.6548
ALKBH5|54890	962.493	ALKBH5|54890	2052.7667
ALKBH6|84964	103.6415	ALKBH6|84964	62.4458
ALKBH7|84266	346.6387	ALKBH7|84266	320.902
ALKBH8|91801	223.7395	ALKBH8|91801	235.4727
