gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ACTR10|55860	1026.9529	ACTR10|55860	1068.0904
ACTR1A|10121	2675.651	ACTR1A|10121	1828.8456
ACTR1B|10120	989.9497	ACTR1B|10120	1416.5893
ACTR2|10097	9789.8584	ACTR2|10097	4719.282
ACTR3B|57180	306.5327	ACTR3B|57180	315.6917
ACTR3C|653857	26.9529	ACTR3C|653857	22.5936
ACTR3|10096	5776.1535	ACTR3|10096	2759.2077
ACTR5|79913	483.7825	ACTR5|79913	223.4602
ACTR6|64431	436.7291	ACTR6|64431	559.2696
ACTR8|93973	362.2659	ACTR8|93973	603.5283
ACVR1B|91	1205.1165	ACVR1B|91	1416.8988
ACVR1C|130399	5.482	ACVR1C|130399	357.165
ACVR1|90	511.6492	ACVR1|90	1114.5156
ACVR2A|92	198.264	ACVR2A|92	780.2538
ACVR2B|93	171.7679	ACVR2B|93	705.6639
ACVRL1|94	390.5893	ACVRL1|94	498.6072
ACY1|95	523.5267	ACY1|95	576.6976
lowly_expressed	lowly_expressed	ACY3|91703	57.2578
ACYP1|97	120.603	ACYP1|97	72.4234
ACYP2|98	87.2545	ACYP2|98	141.1328
ADAL|161823	104.1571	ADAL|161823	149.4893
ADAM10|102	1228.8716	ADAM10|102	2165.2739
ADAM11|4185	14.1617	ADAM11|4185	23.5221
ADAM12|8038	533.1201	ADAM12|8038	338.5949
ADAM15|8751	4324.8789	ADAM15|8751	2244.822
ADAM17|6868	1005.0251	ADAM17|6868	776.5398
ADAM19|8728	744.6323	ADAM19|8728	116.9916
ADAM21|8747	6.8524	ADAM21|8747	9.9041
ADAM22|53616	37.46	ADAM22|53616	115.7536
ADAM23|8745	52.5354	ADAM23|8745	19.8081
ADAM28|10863	207.4006	ADAM28|10863	105.2306
lowly_expressed	lowly_expressed	ADAM32|203102	56.9483
ADAM33|80332	10.0503	ADAM33|80332	465.8093
ADAM6|8755	42470.265	ADAM6|8755	33576.6914
ADAM8|101	623.1156	ADAM8|101	73.3519
ADAM9|8754	1079.4884	ADAM9|8754	1480.6561
ADAMDEC1|27299	1318.4102	lowly_expressed	lowly_expressed
ADAMTS10|81794	63.4993	ADAMTS10|81794	89.446
ADAMTS12|81792	105.9845	ADAMTS12|81792	102.4451
ADAMTS13|11093	113.7506	ADAMTS13|11093	117.6106
ADAMTS14|140766	32.8917	ADAMTS14|140766	7.1185
ADAMTS15|170689	584.2851	ADAMTS15|170689	223.7697
ADAMTS16|170690	7.7661	lowly_expressed	lowly_expressed
