gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
ADRA2C|152	29.5567	ADRA2C|152	118.932
removed	removed	ADRB1|153	265.3722
ADRB2|154	14.0746	ADRB2|154	400.4854
removed	removed	ADRB3|155	20.6311
ADRBK1|156	1343.0683	ADRBK1|156	1114.4822
ADRBK2|157	1432.0901	ADRBK2|157	2997.5728
ADRM1|11047	1416.608	ADRM1|11047	693.7702
ADSL|158	718.86	ADSL|158	646.8447
ADSSL1|122622	372.9768	ADSSL1|122622	110.8414
ADSS|159	4176.2843	ADSS|159	1050.5663
AEBP1|165	5709.7115	AEBP1|165	13407.767
AEBP2|121536	596.411	AEBP2|121536	697.8155
AEN|64782	365.2357	AEN|64782	208.3333
AES|166	8464.1098	AES|166	5520.6311
AFAP1L1|134265	129.4863	AFAP1L1|134265	1426.7799
AFAP1L2|84632	198.4518	AFAP1L2|84632	801.7799
AFAP1|60312	2062.6214	AFAP1|60312	1554.1909
AFF1|4299	3539.4089	AFF1|4299	5557.8479
AFF2|2334	6.6854	AFF2|2334	167.4757
AFF3|3899	1160.0985	AFF3|3899	1071.6019
AFF4|27125	5554.5391	AFF4|27125	3921.521
AFG3L1|172	140.746	AFG3L1|172	159.3851
AFG3L2|10939	1722.4982	AFG3L2|10939	1201.1246
AFMID|125061	335.6791	AFMID|125061	245.5502
AFTPH|54812	4677.6918	AFTPH|54812	1308.657
AG2|387763	62.9838	AG2|387763	199.4337
AGAP11|119385	17.2942	AGAP11|119385	376.6222
AGAP1|116987	659.7467	AGAP1|116987	498.7864
AGAP2|116986	73.9866	AGAP2|116986	46.6788
AGAP3|116988	520.0563	AGAP3|116988	793.2848
AGAP4|119016	92.1886	AGAP4|119016	108.8188
AGAP5|729092	42.8044	AGAP5|729092	43.932
AGAP6|414189	49.9648	AGAP6|414189	78.0744
AGAP7|653268	5.278	removed	removed
AGAP8|728404	24.2787	AGAP8|728404	61.8932
AGA|175	552.076	AGA|175	467.6375
AGBL2|79841	64.3913	removed	removed
AGBL5|60509	1051.0274	AGBL5|60509	539.2435
AGER|177	6.6854	AGER|177	29.9353
AGFG1|3267	3187.8958	AGFG1|3267	3302.589
AGFG2|3268	300.4926	AGFG2|3268	315.1294
AGGF1|55109	1970.4433	AGGF1|55109	1057.0388
AGK|55750	568.2618	AGK|55750	476.9417
AGL|178	842.0127	AGL|178	1962.7832
AGMAT|79814	134.7643	AGMAT|79814	8.0906
AGPAT1|10554	1488.7368	AGPAT1|10554	1461.699
AGPAT2|10555	367.3469	AGPAT2|10555	3775.89
AGPAT3|56894	3243.1386	AGPAT3|56894	2259.3042
AGPAT4|56895	78.4659	AGPAT4|56895	322.8155
AGPAT5|55326	977.4806	AGPAT5|55326	447.0065
AGPAT6|137964	1009.5004	removed	removed
AGPAT9|84803	85.5032	AGPAT9|84803	179.6117
AGPHD1|123688	82.6882	AGPHD1|123688	72.8155
AGPS|8540	1742.7868	AGPS|8540	1947.411
AGR2|10551	18803.6594	AGR2|10551	413.0259
AGR3|155465	1573.8916	AGR3|155465	57.0388
AGRN|375790	2741.7312	AGRN|375790	1266.1812
AGTPBP1|23287	337.0866	AGTPBP1|23287	631.068
AGTR1|185	22.5194	AGTR1|185	983.8188
AGTRAP|57085	1265.658	AGTRAP|57085	417.0712
AGT|183	158.3392	AGT|183	108.0097
AGXT2L2|85007	222.2308	AGXT2L2|85007	611.784
removed	removed	AGXT|189	7.2816
AHCTF1|25909	8156.5799	removed	removed
