gene_id	TCGA-BH-A18V-06A-11R-A213-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
ALDH1A3|220	968.8528	ALDH1A3|220	1142.1637
ALDH1B1|219	959.9387	ALDH1B1|219	442.8205
ALDH1L1|10840	7.5494	ALDH1L1|10840	572.9755
ALDH1L2|160428	863.5383	ALDH1L2|160428	129.6657
ALDH2|217	4248.5852	ALDH2|217	8058.3544
ALDH3A1|218	91.1738	ALDH3A1|218	65.0775
ALDH3A2|224	1879.517	ALDH3A2|224	2371.6585
ALDH3B1|221	918.4168	ALDH3B1|221	213.3367
ALDH3B2|222	511.6189	ALDH3B2|222	1181.1809
ALDH4A1|8659	534.8479	ALDH4A1|8659	1167.9696
ALDH5A1|7915	1337.7004	ALDH5A1|7915	512.7909999999999
ALDH6A1|4329	433.5055	ALDH6A1|4329	135.4395
ALDH7A1|501	1162.031	ALDH7A1|501	2927.0190000000002
ALDH8A1|64577	9.2916	ALDH8A1|64577	30.3369
ALDH9A1|223	2102.5154	ALDH9A1|223	3252.4065
ALDOA|226	36629.2389	ALDOA|226	18453.6268
ALDOC|230	498.8429	ALDOC|230	1373.4775
ALG10B|144245	399.8293	ALG10B|144245	190.3394
ALG10|84920	176.2501	ALG10|84920	41.5909
ALG11|440138	18.8736	ALG11|440138	5.3823
ALG12|79087	636.1844	ALG12|79087	612.6091
ALG13|79868	666.9628	ALG13|79868	329.7912
ALG14|199857	83.0437	ALG14|199857	235.8447
lowly_expressed	lowly_expressed	ALG1L|200810	25.9772
ALG1|56052	441.3395	ALG1|56052	440.0902
ALG2|85365	936.1289	ALG2|85365	801.9699
ALG3|10195	1307.7930000000001	ALG3|10195	793.6518
ALG5|29880	704.4196	ALG5|29880	699.216
ALG6|29929	523.5237	ALG6|29929	253.4597
ALG8|79053	655.6387	ALG8|79053	905.2132
ALG9|79796	295.2987	ALG9|79796	631.692
ALKBH1|8846	219.5141	ALKBH1|8846	292.1147
ALKBH2|121642	139.6644	ALKBH2|121642	634.1385
ALKBH3|221120	241.2913	ALKBH3|221120	561.2322
ALKBH4|54784	286.3991	ALKBH4|54784	392.0062
ALKBH5|54890	2051.9923	ALKBH5|54890	2627.0754
ALKBH6|84964	231.9997	ALKBH6|84964	137.4945
ALKBH7|84266	483.4537	ALKBH7|84266	897.3843
ALKBH8|91801	109.1763	ALKBH8|91801	205.5079
ALK|238	28.1652	ALK|238	32.7834
ALMS1|7840	789.2055	ALMS1|7840	335.6628
ALOX12B|242	17.1314	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALOX12P2|245	17.1257
ALOX12|239	5.6185	lowly_expressed	lowly_expressed
ALOX15B|247	64.1701	ALOX15B|247	938.4859
lowly_expressed	lowly_expressed	ALOX15|246	19.5722
ALOX5AP|241	624.2795	ALOX5AP|241	381.6574
ALOX5|240	649.5411	ALOX5|240	472.6681
ALOXE3|59344	6.0976	ALOXE3|59344	14.1898
