gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
AGFG1|3267	1760.126	AGFG1|3267	1948.845
AGFG2|3268	384.3384	AGFG2|3268	427.0203
AGGF1|55109	919.892	AGGF1|55109	952.8529
AGK|55750	472.9973	AGK|55750	530.4962
AGL|178	570.6571	AGL|178	1314.8728
AGMAT|79814	31.0531	AGMAT|79814	18.3633
AGPAT1|10554	2004.3924	AGPAT1|10554	1320.7666
AGPAT2|10555	1347.4347	AGPAT2|10555	653.2099
AGPAT3|56894	2040.054	AGPAT3|56894	2851.5631
AGPAT4|56895	109.811	AGPAT4|56895	196.75
AGPAT5|55326	467.5968	AGPAT5|55326	1247.8321
AGPAT6|137964	1874.4374	AGPAT6|137964	2040.0787
AGPAT9|84803	154.3654	AGPAT9|84803	103.1844
AGPHD1|123688	51.7552	AGPHD1|123688	44.3052
AGPS|8540	797.0297	AGPS|8540	956.3507
AGR2|10551	31300.18	AGR2|10551	5647.7447
AGR3|155465	4576.0576	AGR3|155465	1607.5202
AGRN|375790	5046.3546	AGRN|375790	5321.8684
AGTPBP1|23287	279.0279	AGTPBP1|23287	418.5674
AGTR1|185	82.3582	AGTR1|185	133.207
lowly_expressed	lowly_expressed	AGTR2|186	5.2467
AGTRAP|57085	562.5563	AGTRAP|57085	1032.1358
AGT|183	50.405	AGT|183	164.3955
AGXT2L1|64850	9.4509	AGXT2L1|64850	16.323
AGXT2L2|85007	313.2718	AGXT2L2|85007	334.4254
AHCTF1|25909	1713.3213	AHCTF1|25909	1681.848
AHCYL1|10768	5188.1188	AHCYL1|10768	5269.4017
AHCYL2|23382	670.5671	AHCYL2|23382	865.4084
AHCY|191	4275.4275	AHCY|191	3750.2004
AHDC1|27245	823.1323	AHDC1|27245	1205.8588
AHI1|54806	212.8713	AHI1|54806	414.7781
AHNAK2|113146	536.4536	AHNAK2|113146	566.3485
AHNAK|79026	35768.2268	AHNAK|79026	66652.1898
AHRR|57491	21.1521	AHRR|57491	18.0719
AHR|196	1730.423	AHR|196	2466.8075
AHSA1|10598	2138.6139	AHSA1|10598	1657.9465
AHSA2|130872	127.3627	AHSA2|130872	267.58
AIDA|64853	1544.2844	AIDA|64853	897.5268
AIF1L|83543	1249.775	AIF1L|83543	1353.9314
AIF1|199	748.4248	AIF1|199	177.2207
AIFM1|9131	874.4374	AIFM1|9131	1631.7132
AIFM2|84883	489.649	AIFM2|84883	188.0055
lowly_expressed	lowly_expressed	AIFM3|150209	17.999
AIG1|51390	700.27	AIG1|51390	900.9692
AIM1L|55057	42.7543	lowly_expressed	lowly_expressed
AIM1|202	1391.5392	AIM1|202	4456.1685
AIM2|9447	63.0063	lowly_expressed	lowly_expressed
AIMP1|9255	1095.495	AIMP1|9255	1041.0668
AIMP2|7965	417.7948	AIMP2|7965	318.2599
AIP|9049	1307.8308	AIP|9049	563.1422
AJAP1|55966	14.4014	AJAP1|55966	18.6548
AK1|203	490.5491	AK1|203	458.7918
AK2|204	2166.0666	AK2|204	1880.3469
AK3L1|205	198.0198	AK3L1|205	608.9048
AK3|50808	993.2493	AK3|50808	1380.4562
AK5|26289	114.3114	AK5|26289	1376.3754
AK7|122481	7.6508	AK7|122481	55.09
AKAP10|11216	330.333	AKAP10|11216	605.6985
AKAP11|11215	936.5437	AKAP11|11215	1851.1987
AKAP12|9590	1453.1953	AKAP12|9590	1285.7247
AKAP13|11214	3477.9478	AKAP13|11214	3136.3405
AKAP1|8165	1656.1656	AKAP1|8165	1983.5313
AKAP2|11217	1427.7768	AKAP2|11217	1194.2228
AKAP3|10566	7.6508	AKAP3|10566	40.8074
AKAP5|9495	319.532	AKAP5|9495	138.7452
AKAP6|9472	59.4059	AKAP6|9472	198.2074
AKAP7|9465	145.8146	AKAP7|9465	145.1578
AKAP8L|26993	683.6184	AKAP8L|26993	676.5285
AKAP8|10270	597.6598	AKAP8|10270	683.2325
AKAP9|10142	3742.5743	AKAP9|10142	3726.5904
AKD1|221264	103.0603	AKD1|221264	159.1489
