gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
AGT|183	24.7403	AGT|183	129.8157
AGXT2L2|85007	145.6792	AGXT2L2|85007	696.294
AGXT|189	17.4451	AGXT|189	15.4941
AHCTF1|25909	2051.5423	AHCTF1|25909	1591.2898
AHCYL1|10768	6698.9136	AHCYL1|10768	5459.799
AHCYL2|23382	426.9289	AHCYL2|23382	772.1943
AHCY|191	6249.1476	AHCY|191	1664.9916
AHDC1|27245	419.9508	AHDC1|27245	567.8392
AHI1|54806	236.936	AHI1|54806	446.8174
AHNAK2|113146	1221.1561	AHNAK2|113146	3192.2111
AHNAK|79026	79476.9646	AHNAK|79026	165015.4941
AHRR|57491	126.8734	AHRR|57491	24.7069
AHR|196	592.8158	AHR|196	2136.0972
AHSA1|10598	1798.7471	AHSA1|10598	1240.7873
AHSA2|130872	99.9128	AHSA2|130872	314.4891
AIDA|64853	1033.4851	AIDA|64853	2510.9338
AIF1L|83543	909.0477	AIF1L|83543	2904.1039
AIF1|199	176.354	AIF1|199	435.9296
AIFM1|9131	1147.5696	AIFM1|9131	1115.5779
AIFM2|84883	126.5562	AIFM2|84883	3351.34
AIFM3|150209	17.1279	AIFM3|150209	12.4246
AIG1|51390	514.4715	AIG1|51390	1448.0737
AIM1|202	4335.8972	AIM1|202	1497.0687
AIM2|9447	9.8327	AIM2|9447	8.3752
AIMP1|9255	1025.7553	AIMP1|9255	1023.1533
AIMP2|7965	612.3733	AIMP2|7965	241.6625
AIP|9049	690.5083	AIP|9049	806.1139
lowly_expressed	lowly_expressed	AJAP1|55966	20.5193
AK1|203	412.6556	AK1|203	808.6265
AK2|204	1544.366	AK2|204	2360.5528
AK3L1|205	3272.6984	AK3L1|205	1092.9648
AK3|50808	636.5871	AK3|50808	4855.9464
AK5|26289	113.8688	AK5|26289	266.3317
AK7|122481	110.0626	AK7|122481	15.0754
AKAP10|11216	512.5684	AKAP10|11216	558.6265
AKAP11|11215	2468.9557	AKAP11|11215	2688.0235
AKAP12|9590	540.7977	AKAP12|9590	10039.7822
AKAP13|11214	2825.1526	AKAP13|11214	3702.6801
AKAP1|8165	1421.2989	AKAP1|8165	2432.9983
AKAP2|11217	389.8882	AKAP2|11217	2492.433
AKAP3|10566	6.978	AKAP3|10566	26.8007
AKAP5|9495	89.1285	AKAP5|9495	61.139
AKAP6|9472	182.3805	AKAP6|9472	212.3116
AKAP7|9465	69.4632	AKAP7|9465	311.9765
AKAP8L|26993	644.8339	AKAP8L|26993	442.6298
AKAP8|10270	1073.6658	AKAP8|10270	407.4539
AKAP9|10142	1813.6547	AKAP9|10142	1847.1524
AKD1|221264	67.8773	AKD1|221264	144.4724
AKIRIN1|79647	899.215	AKIRIN1|79647	1323.2831
AKIRIN2|55122	677.5038	AKIRIN2|55122	764.6566
AKNAD1|254268	31.084	lowly_expressed	lowly_expressed
AKNA|80709	388.2325	AKNA|80709	642.7973
AKR1A1|10327	1138.0541	AKR1A1|10327	1528.4757
AKR1B10|57016	4038.062	AKR1B10|57016	7.1189
AKR1B15|441282	780.2712	lowly_expressed	lowly_expressed
AKR1B1|231	180.4774	AKR1B1|231	1110.134
AKR1C1|1645	753.4216	AKR1C1|1645	6023.8693
AKR1C2|1646	741.8919999999999	AKR1C2|1646	5500.4188
AKR1C3|8644	324.7958	AKR1C3|8644	2919.1792
AKR1D1|6718	142.0982	lowly_expressed	lowly_expressed
AKR1E2|83592	81.0879	AKR1E2|83592	29.732
AKR7A2|8574	695.5832	AKR7A2|8574	981.9933
AKR7A3|22977	8.2468	AKR7A3|22977	25.9631
AKT1S1|84335	600.4282	AKT1S1|84335	889.8660000000001
AKT1|207	2914.9155	AKT1|207	3181.742
AKT2|208	1033.0664	AKT2|208	4729.4807
AKT3|10000	421.2196	AKT3|10000	1432.1608
AKTIP|64400	673.0315	AKTIP|64400	849.3509
ALAD|210	518.5949	ALAD|210	3123.5343
ALAS1|211	1074.6174	ALAS1|211	1069.5142
lowly_expressed	lowly_expressed	ALB|213	119.7655
ALCAM|214	9086.6704	ALCAM|214	1159.9665
ALDH16A1|126133	218.5394	ALDH16A1|126133	378.5595
