gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
AKIRIN1|79647	1371.0666	AKIRIN1|79647	1018.3506
AKIRIN2|55122	638.3327	AKIRIN2|55122	662.3631
AKNA|80709	767.0617	AKNA|80709	761.587
AKR1A1|10327	2359.2154	AKR1A1|10327	1859.4328
lowly_expressed	lowly_expressed	AKR1B10|57016	103.2857
AKR1B1|231	893.7474	AKR1B1|231	618.2636
AKR1C1|1645	780.9563	AKR1C1|1645	471.4586
AKR1C2|1646	485.9011	AKR1C2|1646	166.5337
AKR1C3|8644	522.6808	AKR1C3|8644	393.4141
lowly_expressed	lowly_expressed	AKR1D1|6718	8.7039
AKR1E2|83592	22.0678	AKR1E2|83592	18.8583
AKR7A2|8574	2068.2468	AKR7A2|8574	1028.7952
AKR7A3|22977	1456.0687	AKR7A3|22977	192.3551
AKR7L|246181	72.7421	AKR7L|246181	29.5931
AKT1S1|84335	879.8529	AKT1S1|84335	729.9630000000001
AKT1|207	4651.0012	AKT1|207	3279.6112
AKT2|208	1724.152	AKT2|208	2210.7783
AKT3|10000	841.0298	AKT3|10000	973.6708
AKTIP|64400	589.4606	AKTIP|64400	668.1337
ALAD|210	1883.1222	ALAD|210	1449.7715
ALAS1|211	993.0527	ALAS1|211	682.382
ALB|213	34.7364	ALB|213	346.7034
ALCAM|214	2182.6727	ALCAM|214	6825.2702
ALDH16A1|126133	845.9338	ALDH16A1|126133	452.6003
ALDH18A1|5832	2046.1789999999999	ALDH18A1|5832	2260.3902
ALDH1A1|216	538.6187	ALDH1A1|216	1248.4224
ALDH1A2|8854	124.6424	ALDH1A2|8854	300.2829
ALDH1A3|220	475.423	ALDH1A3|220	1243.6933
ALDH1B1|219	1163.4655	ALDH1B1|219	400.6673
ALDH1L1|10840	83.7761	ALDH1L1|10840	55.4145
ALDH1L2|160428	580.3024	ALDH1L2|160428	361.5
ALDH2|217	3361.2587	ALDH2|217	2454.196
lowly_expressed	lowly_expressed	ALDH3A1|218	118.0823
ALDH3A2|224	1667.7564	ALDH3A2|224	2445.202
ALDH3B1|221	222.7217	ALDH3B1|221	125.6256
ALDH3B2|222	2800.5721	ALDH3B2|222	1876.2602
ALDH4A1|8659	1540.2534	ALDH4A1|8659	705.3021
ALDH5A1|7915	598.2836	ALDH5A1|7915	697.1785
ALDH6A1|4329	400.9522	ALDH6A1|4329	942.9085
ALDH7A1|501	1469.9632	ALDH7A1|501	2931.4572
ALDH8A1|64577	20.8418	ALDH8A1|64577	32.4944
ALDH9A1|223	2163.4655	ALDH9A1|223	3443.5338
ALDOA|226	25517.3682	ALDOA|226	16930.4417
ALDOC|230	436.4528	ALDOC|230	492.63800000000003
ALG10B|144245	471.5979	ALG10B|144245	445.9273
ALG10|84920	161.8308	ALG10|84920	162.4719
ALG11|440138	15.1206	ALG11|440138	12.7656
