gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
lowly_expressed	lowly_expressed	AKR1B15|441282	51.058
AKR1B1|231	685.3415	AKR1B1|231	610.2497
AKR1C1|1645	13.0468	AKR1C1|1645	1342.7938
AKR1C2|1646	8.8258	AKR1C2|1646	909.8712
AKR1C3|8644	269.3784	AKR1C3|8644	901.9221
lowly_expressed	lowly_expressed	AKR1D1|6718	5.809
lowly_expressed	lowly_expressed	AKR1E2|83592	36.3826
AKR7A2|8574	1159.2479	AKR7A2|8574	1024.2166
AKR7A3|22977	326.5541	AKR7A3|22977	179.1615
AKR7L|246181	25.3262	AKR7L|246181	21.7073
AKT1S1|84335	939.7544	AKT1S1|84335	739.8818
AKT1|207	4217.5748	AKT1|207	2806.6592
AKT2|208	2654.6431	AKT2|208	2226.6775
AKT3|10000	401.7652	AKT3|10000	668.951
AKTIP|64400	608.231	AKTIP|64400	507.3205
ALAD|210	778.5879	ALAD|210	1931.9477
ALAS1|211	562.548	ALAS1|211	943.5022
ALB|213	44.8964	ALB|213	81.6316
ALCAM|214	3397.9279	ALCAM|214	3747.4098
ALDH16A1|126133	712.2026	ALDH16A1|126133	465.9421
ALDH18A1|5832	3140.0614	ALDH18A1|5832	1861.0169
ALDH1A1|216	418.2655	ALDH1A1|216	1030.9428
ALDH1A2|8854	23.7913	ALDH1A2|8854	521.8919
ALDH1A3|220	486.9839	ALDH1A3|220	1610.5669
ALDH1B1|219	887.5672	ALDH1B1|219	491.3182
ALDH1L1|10840	5.7559	ALDH1L1|10840	290.7552
ALDH1L2|160428	626.6309	ALDH1L2|160428	385.5335
ALDH2|217	794.7045	ALDH2|217	3389.3926
lowly_expressed	lowly_expressed	ALDH3A1|218	124.1289
ALDH3A2|224	1325.0192	ALDH3A2|224	1802.0098
ALDH3B1|221	263.2387	ALDH3B1|221	129.0207
ALDH3B2|222	522.2563	ALDH3B2|222	642.352
ALDH4A1|8659	371.4505	ALDH4A1|8659	1104.931
ALDH5A1|7915	1229.0867	ALDH5A1|7915	727.6524
ALDH6A1|4329	640.33	ALDH6A1|4329	566.3031
ALDH7A1|501	1605.5257	ALDH7A1|501	2913.9727
lowly_expressed	lowly_expressed	ALDH8A1|64577	18.3442
ALDH9A1|223	3262.4712	ALDH9A1|223	3598.822
ALDOA|226	16528.0123	ALDOA|226	10456.793
lowly_expressed	lowly_expressed	ALDOB|229	11.618
ALDOC|230	48.7337	ALDOC|230	818.1503
ALG10B|144245	264.3899	ALG10B|144245	408.4637
ALG10|84920	119.34	ALG10|84920	117.09700000000001
ALG11|440138	12.2794	ALG11|440138	10.395
ALG12|79087	389.8695	ALG12|79087	426.1964
ALG13|79868	443.9754	ALG13|79868	580.2875
ALG14|199857	139.2939	ALG14|199857	156.537
ALG1L|200810	7.053	ALG1L|200810	9.3769
ALG1|56052	980.5372	ALG1|56052	455.2383
ALG2|85365	607.8281	ALG2|85365	854.533
ALG3|10195	1261.7038	ALG3|10195	441.4832
ALG5|29880	490.4068	ALG5|29880	525.8664
ALG6|29929	373.7529	ALG6|29929	321.9403
ALG8|79053	592.8626	ALG8|79053	655.8044
ALG9|79796	368.3807	ALG9|79796	583.0391
ALKBH1|8846	504.6048	ALKBH1|8846	234.4997
ALKBH2|121642	257.099	ALKBH2|121642	312.4625
ALKBH3|221120	262.855	ALKBH3|221120	305.4306
ALKBH4|54784	208.8335	ALKBH4|54784	204.7699
ALKBH5|54890	2669.9002	ALKBH5|54890	1912.3806
