gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ADAM33|80332	492.4963	ADAM33|80332	953.4765
ADAM6|8755	48029.1632	ADAM6|8755	20403.502
ADAM8|101	56.3511	ADAM8|101	138.5481
ADAM9|8754	3661.5837	ADAM9|8754	2680.9816
ADAMDEC1|27299	5.5732	ADAMDEC1|27299	30.6748
ADAMTS10|81794	168.1245	ADAMTS10|81794	135.9918
ADAMTS12|81792	840.932	ADAMTS12|81792	83.3333
ADAMTS13|11093	48.301	ADAMTS13|11093	37.3211
ADAMTS14|140766	780.2461	ADAMTS14|140766	10.7362
ADAMTS15|170689	248.3164	ADAMTS15|170689	93.047
ADAMTS16|170690	508.3985	ADAMTS16|170690	229.0389
ADAMTS17|170691	71.2129	ADAMTS17|170691	33.2311
ADAMTS18|170692	250.4838	ADAMTS18|170692	77.7096
ADAMTS19|171019	21.9831	ADAMTS19|171019	8.6912
ADAMTS1|9510	3176.0972	ADAMTS1|9510	9104.8057
ADAMTS20|80070	20.435	lowly_expressed	lowly_expressed
ADAMTS2|9509	1971.36	ADAMTS2|9509	679.4479
ADAMTS3|9508	126.0159	ADAMTS3|9508	99.182
ADAMTS4|9507	1292.3601	ADAMTS4|9507	1486.7076
ADAMTS5|11096	1145.9091	ADAMTS5|11096	2456.0327
ADAMTS6|11174	204.3502	ADAMTS6|11174	44.9898
ADAMTS7|11173	211.4715	ADAMTS7|11173	62.3722
ADAMTS8|11095	157.2877	ADAMTS8|11095	58.2822
ADAMTS9|56999	1325.7992	ADAMTS9|56999	663.5992
ADAMTSL1|92949	378.3575	ADAMTSL1|92949	282.2086
ADAMTSL2|9719	106.5098	ADAMTSL2|9719	26.5849
ADAMTSL3|57188	134.3757	ADAMTSL3|57188	192.7403
ADAMTSL4|54507	353.5877	ADAMTSL4|54507	1580.7771
ADAMTSL5|339366	22.6024	ADAMTSL5|339366	46.0123
ADAP1|11033	68.0362	ADAP1|11033	107.5307
