gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
ADCK2|90956	673.6999	ADCK2|90956	616.4818
ADCK4|79934	487.37	ADCK4|79934	439.9366
ADCK5|203054	148.2912	ADCK5|203054	72.2662
ADCY10|55811	27.6374	lowly_expressed	lowly_expressed
ADCY1|107	203.2689	ADCY1|107	938.1933
ADCY2|108	21.6939	ADCY2|108	181.6165
ADCY3|109	812.6508	ADCY3|109	1423.3344
ADCY4|196883	95.6909	ADCY4|196883	546.4342
ADCY5|111	70.4309	ADCY5|111	561.9651
ADCY6|112	3120.3566	ADCY6|112	3282.7258
ADCY7|113	374.74	ADCY7|113	479.5563
ADCY9|115	235.9584	ADCY9|115	791.1252
ADCYAP1R1|117	5.052	ADCYAP1R1|117	131.5372
ADC|113451	50.2229	ADC|113451	149.6038
ADD1|118	4890.9361	ADD1|118	7022.8209
ADD2|119	14.2645	ADD2|119	62.7575
ADD3|120	959.2868	ADD3|120	4103.962
lowly_expressed	lowly_expressed	ADH1A|124	403.7179
ADH1B|125	319.4651	ADH1B|125	39890.9667
ADH1C|126	15.156	ADH1C|126	419.9683
lowly_expressed	lowly_expressed	ADH4|127	11.4105
ADH5|128	2383.6553	ADH5|128	3700.4754
ADHFE1|137872	46.6568	ADHFE1|137872	396.8304
ADI1|55256	1354.2348	ADI1|55256	1204.1204
ADIPOQ|9370	39.5245	ADIPOQ|9370	33263.7084
ADIPOR1|51094	4916.7905	ADIPOR1|51094	2227.8922
ADIPOR2|79602	2916.7905	ADIPOR2|79602	3306.4976
ADK|132	440.1189	ADK|132	335.0238
ADM2|79924	123.0312	ADM2|79924	49.4453
ADM|133	49.6285	ADM|133	490.3328
ADNP2|22850	1750.6686	ADNP2|22850	916.6403
ADNP|23394	6394.3536	ADNP|23394	3325.1981
ADORA1|134	79.9406	ADORA1|134	549.2868
ADORA2A|135	800.2734	ADORA2A|135	72.9002
ADORA2B|136	28.2318	ADORA2B|136	34.5483
ADORA3|140	157.8009	ADORA3|140	47.2266
ADO|84890	955.1263	ADO|84890	620.6022
ADPGK|83440	855.3581	ADPGK|83440	862.6815
ADPRHL1|113622	122.734	ADPRHL1|113622	98.2567
ADPRHL2|54936	616.6419	ADPRHL2|54936	414.897
ADPRH|141	158.6924	ADPRH|141	356.8938
lowly_expressed	lowly_expressed	ADRA1A|148	57.3693
ADRA1B|147	8.0238	ADRA1B|147	52.2979
ADRA2A|150	89.4502	ADRA2A|150	850.0792
ADRA2B|151	10.6984	ADRA2B|151	43.7401
ADRA2C|152	188.7073	ADRA2C|152	55.7845
lowly_expressed	lowly_expressed	ADRB1|153	57.3693
ADRB2|154	44.5765	ADRB2|154	402.2187
ADRBK1|156	1461.8128	ADRBK1|156	1432.0127
ADRBK2|157	991.0847	ADRBK2|157	2598.0983
ADRM1|11047	1750.3715	ADRM1|11047	742.3138
ADSL|158	970.2823	ADSL|158	713.7876
ADSSL1|122622	159.584	ADSSL1|122622	243.4231
ADSS|159	3406.2407	ADSS|159	1218.7005
AEBP1|165	5551.5602	AEBP1|165	4415.8479
AEBP2|121536	1077.266	AEBP2|121536	833.2805
AEN|64782	613.9673	AEN|64782	345.1664
AES|166	4976.8202	AES|166	5970.523
AFAP1L1|134265	139.3759	AFAP1L1|134265	639.6197
AFAP1L2|84632	221.0996	AFAP1L2|84632	948.6529
AFAP1|60312	594.3477	AFAP1|60312	1392.3867
AFF1|4299	1761.0698	AFF1|4299	3751.8225
AFF2|2334	6.8351	AFF2|2334	35.4992
AFF3|3899	657.0579	AFF3|3899	1886.2124
AFF4|27125	4165.2303	AFF4|27125	4284.3106
AFG3L1|172	282.6152	AFG3L1|172	233.9144
AFG3L2|10939	3224.8737	AFG3L2|10939	1174.5388
AFMID|125061	468.0535	AFMID|125061	547.7021
AFP|174	17.5334	AFP|174	400.317
AFTPH|54812	1900.1486	AFTPH|54812	1778.13
AG2|387763	135.8098	AG2|387763	238.6688
AGAP11|119385	27.0698	AGAP11|119385	278.2979
AGAP1|116987	704.6062	AGAP1|116987	716.9572
AGAP2|116986	281.5988	AGAP2|116986	123.9588
