gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
lowly_expressed	lowly_expressed	ADAM32|203102	48.1651
ADAM33|80332	56.1864	ADAM33|80332	816.0729
ADAM6|8755	10574.0638	ADAM6|8755	25376.1111
ADAM8|101	48.6518	ADAM8|101	71.3558
ADAM9|8754	748.2913	ADAM9|8754	2038.2263
ADAMDEC1|27299	11.8401	lowly_expressed	lowly_expressed
ADAMTS10|81794	65.4432	ADAMTS10|81794	160.8053
ADAMTS12|81792	428.8251	ADAMTS12|81792	208.4608
ADAMTS13|11093	32.291	ADAMTS13|11093	55.5556
ADAMTS14|140766	63.2905	lowly_expressed	lowly_expressed
ADAMTS15|170689	932.135	ADAMTS15|170689	364.6789
ADAMTS16|170690	294.0638	ADAMTS16|170690	52.4975
ADAMTS17|170691	28.8467	ADAMTS17|170691	27.7778
ADAMTS18|170692	29.2772	ADAMTS18|170692	261.4679
ADAMTS19|171019	80.7276	ADAMTS19|171019	6.1162
ADAMTS1|9510	1432.0004	ADAMTS1|9510	6004.842
ADAMTS2|9509	679.619	ADAMTS2|9509	384.5566
ADAMTS3|9508	47.3602	ADAMTS3|9508	133.0275
ADAMTS4|9507	327.8618	ADAMTS4|9507	122.579
ADAMTS5|11096	194.6074	ADAMTS5|11096	2445.7187
ADAMTS6|11174	143.157	ADAMTS6|11174	38.736
ADAMTS7|11173	75.1305	ADAMTS7|11173	88.9399
ADAMTS8|11095	21.3121	ADAMTS8|11095	35.423
ADAMTS9|56999	448.415	ADAMTS9|56999	858.3078
ADAMTSL1|92949	123.5671	ADAMTSL1|92949	91.4883
ADAMTSL2|9719	130.6711	ADAMTSL2|9719	36.1876
ADAMTSL3|57188	60.7072	ADAMTSL3|57188	213.8124
ADAMTSL4|54507	226.2526	ADAMTSL4|54507	611.6208
ADAMTSL5|339366	178.2466	ADAMTSL5|339366	31.0907
ADAP1|11033	120.4564	ADAP1|11033	76.0754
ADAP2|55803	247.5647	ADAP2|55803	252.0387
ADARB1|104	287.8209	ADARB1|104	1013.2518
lowly_expressed	lowly_expressed	ADARB2|105	10.4485
ADAR|103	9092.2986	ADAR|103	7212.7931
ADAT1|23536	360.3681	ADAT1|23536	339.4495
ADAT2|134637	58.7697	ADAT2|134637	221.2029
ADAT3|113179	19.5899	ADAT3|113179	13.7615
ADA|100	52.0962	ADA|100	116.4628
ADCK1|57143	141.8653	ADCK1|57143	106.524
ADCK2|90956	1138.7977	ADCK2|90956	560.1427
ADCK4|79934	483.7199	ADCK4|79934	356.524
ADCK5|203054	48.6518	ADCK5|203054	62.6911
ADCY1|107	1698.294	ADCY1|107	403.4149
ADCY2|108	62.2141	ADCY2|108	68.8073
ADCY3|109	494.1112	ADCY3|109	1618.5015
ADCY4|196883	189.2256	ADCY4|196883	1160.8053
ADCY5|111	36.5965	ADCY5|111	290.7747
ADCY6|112	1526.2903	ADCY6|112	2549.4393
ADCY7|113	456.5954	ADCY7|113	477.5739
ADCY9|115	2348.2052	ADCY9|115	971.9674
lowly_expressed	lowly_expressed	ADCYAP1R1|117	37.4618
ADCYAP1|116	38.534	ADCYAP1|116	12.2324
ADC|113451	170.4967	ADC|113451	149.3374
ADD1|118	4934.0724	ADD1|118	6619.7757
ADD2|119	38.534	ADD2|119	110.6014
ADD3|120	1107.7983	ADD3|120	3516.3099
ADH1A|124	6.0277	ADH1A|124	158.4455
ADH1B|125	595.447	ADH1B|125	19483.9424
ADH1C|126	24.5412	ADH1C|126	342.7625
lowly_expressed	lowly_expressed	ADH4|127	16.3099
ADH5|128	1672.2458	ADH5|128	3357.7982
ADHFE1|137872	61.5683	ADHFE1|137872	197.5025
ADI1|55256	1797.7504	ADI1|55256	1028.5423
ADIPOQ|9370	476.1854	ADIPOQ|9370	12172.528
ADIPOR1|51094	2858.8343	ADIPOR1|51094	1833.5882
ADIPOR2|79602	2183.0903	ADIPOR2|79602	2546.1264
ADK|132	551.3159	ADK|132	288.2263
ADM2|79924	70.825	ADM2|79924	43.578
ADM|133	26.9092	ADM|133	632.7727
ADNP2|22850	895.5385	ADNP2|22850	719.419
ADNP|23394	3840.9128	ADNP|23394	3175.0765
ADORA1|134	17.2219	ADORA1|134	206.9317
ADORA2A|135	53.6031	ADORA2A|135	61.134
ADORA2B|136	9.472	ADORA2B|136	30.8359
ADORA3|140	217.857	ADORA3|140	87.4108
ADO|84890	697.9172	ADO|84890	761.4679
ADPGK|83440	1131.1124	ADPGK|83440	807.5535
ADPRHL1|113622	127.2267	ADPRHL1|113622	61.4169
ADPRHL2|54936	521.6081	ADPRHL2|54936	406.7278
ADPRH|141	164.0385	ADPRH|141	487.0031
lowly_expressed	lowly_expressed	ADRA1A|148	46.8909
ADRA1B|147	12.0553	ADRA1B|147	24.21
lowly_expressed	lowly_expressed	ADRA1D|146	7.9001
ADRA2A|150	2496.5287	ADRA2A|150	1295.6167
lowly_expressed	lowly_expressed	ADRA2B|151	49.6942
ADRA2C|152	10.5484	ADRA2C|152	112.3853
lowly_expressed	lowly_expressed	ADRB1|153	24.7197
ADRB2|154	55.7559	ADRB2|154	651.1213
ADRBK1|156	1444.7016	ADRBK1|156	1584.8624
ADRBK2|157	306.1192	ADRBK2|157	1493.1193
ADRM1|11047	629.6755	ADRM1|11047	678.6442
ADSL|158	408.5894	ADSL|158	613.6595
ADSSL1|122622	173.08	ADSSL1|122622	91.2334
ADSS|159	1752.9735	ADSS|159	1338.685
AEBP1|165	8295.1402	AEBP1|165	7682.212
AEBP2|121536	1015.4459	AEBP2|121536	1079.001
AEN|64782	380.8191	AEN|64782	324.9235
AES|166	4066.3043	AES|166	4797.4006
AFAP1L1|134265	286.9598	AFAP1L1|134265	918.1957
AFAP1L2|84632	262.4186	AFAP1L2|84632	1159.0214
AFAP1|60312	1313.1521	AFAP1|60312	1629.1922
AFF1|4299	3423.7124	AFF1|4299	4346.0754
AFF2|2334	57.4781	AFF2|2334	52.4975
AFF3|3899	4767.0201	AFF3|3899	2633.5372
AFF4|27125	6367.1492	AFF4|27125	4826.9623
AFG3L1|172	116.8936	AFG3L1|172	305.0459
AFG3L2|10939	1620.2702	AFG3L2|10939	1132.3089
AFMID|125061	583.1764	AFMID|125061	442.9154
lowly_expressed	lowly_expressed	AFP|174	44.3425
AFTPH|54812	2563.4788	AFTPH|54812	2084.3527
AG2|387763	114.095	AG2|387763	637.3598
AGAP11|119385	135.5363	AGAP11|119385	409.052
AGAP1|116987	530.6496	AGAP1|116987	598.369
AGAP2|116986	46.5013	AGAP2|116986	86.2538
AGAP3|116988	636.1337	AGAP3|116988	1348.1142
AGAP4|119016	139.2821	AGAP4|119016	286.9521
AGAP5|729092	89.4032	AGAP5|729092	102.1814
AGAP6|414189	64.5821	AGAP6|414189	143.7309
AGAP7|653268	7.104	AGAP7|653268	7.9001
AGAP8|728404	54.4642	AGAP8|728404	88.685
AGA|175	795.4362	AGA|175	451.0703
AGBL2|79841	41.1173	AGBL2|79841	13.7615
lowly_expressed	lowly_expressed	AGBL3|340351	11.7227
lowly_expressed	lowly_expressed	AGBL4|84871	8.9195
AGBL5|60509	505.271	AGBL5|60509	618.5143
AGER|177	18.5135	AGER|177	62.4363
AGFG1|3267	2093.3211	AGFG1|3267	2289.2457
AGFG2|3268	337.3338	AGFG2|3268	572.63
AGGF1|55109	1269.2535	AGGF1|55109	1040.5199
AGK|55750	640.8697	AGK|55750	482.6707
AGL|178	1480.0065	AGL|178	1408.002
AGMAT|79814	17.6524	lowly_expressed	lowly_expressed
AGPAT1|10554	1470.0005	AGPAT1|10554	1440.1147
AGPAT2|10555	473.6021	AGPAT2|10555	1344.5464
AGPAT3|56894	2088.3698	AGPAT3|56894	1534.6585
AGPAT4|56895	142.0806	AGPAT4|56895	347.6045
AGPAT5|55326	829.0189	AGPAT5|55326	846.3303
AGPAT6|137964	1992.7883	AGPAT6|137964	1778.7971
AGPAT9|84803	84.8178	AGPAT9|84803	161.5698
AGPHD1|123688	49.7282	AGPHD1|123688	60.3976
AGPS|8540	4055.9712	AGPS|8540	1098.6239
AGR2|10551	9256.3371	AGR2|10551	2572.8848
AGR3|155465	12074.2694	AGR3|155465	501.5291
AGRN|375790	1130.402	AGRN|375790	2294.0877
AGTPBP1|23287	336.2575	AGTPBP1|23287	474.5158
AGTR1|185	227.1137	AGTR1|185	521.6616
lowly_expressed	lowly_expressed	AGTR2|186	5.3517
AGTRAP|57085	1312.5235	AGTRAP|57085	432.9766
AGT|183	73.193	AGT|183	21.1519
AGXT2L2|85007	314.6548	AGXT2L2|85007	514.419
AHCTF1|25909	1896.1305	AHCTF1|25909	2006.371
AHCYL1|10768	6337.4415	AHCYL1|10768	4027.5229
AHCYL2|23382	1272.9132	AHCYL2|23382	722.9867
AHCY|191	2516.7644	AHCY|191	1623.3435
AHDC1|27245	543.3507	AHDC1|27245	1033.3843
AHI1|54806	448.1998	AHI1|54806	623.8532
AHNAK2|113146	1106.0761	AHNAK2|113146	1639.1437
AHNAK|79026	49365.9114	AHNAK|79026	127856.2691
AHRR|57491	34.2285	AHRR|57491	15.8002
AHR|196	4832.6785	AHR|196	4686.2895
AHSA1|10598	1521.7695	AHSA1|10598	1128.1855
AHSA2|130872	298.3693	AHSA2|130872	741.0805
AIDA|64853	994.8356	AIDA|64853	1310.2752
AIF1L|83543	291.2653	AIF1L|83543	2824.9235
AIF1|199	344.0073	AIF1|199	356.2691
AIFM1|9131	1418.4382	AIFM1|9131	532.3649
AIFM2|84883	186.6423	AIFM2|84883	834.3527
lowly_expressed	lowly_expressed	AIFM3|150209	8.8838
AIG1|51390	870.9973	AIG1|51390	821.3558
AIM1L|55057	76.4222	lowly_expressed	lowly_expressed
AIM1|202	2828.696	AIM1|202	3870.5403
AIM2|9447	8.1804	AIM2|9447	6.8807
AIMP1|9255	1285.6036	AIMP1|9255	1156.3405
AIMP2|7965	284.3593	AIMP2|7965	162.6223
AIP|9049	408.5894	AIP|9049	582.314
AJAP1|55966	8.3957	AJAP1|55966	13.7615
AK1|203	602.3357	AK1|203	343.527
AK2|204	2130.3482	AK2|204	1770.897
AK3L1|205	92.5677	AK3L1|205	404.9439
AK3|50808	1692.9121	AK3|50808	2042.5586
AK5|26289	420.86	AK5|26289	1283.3843
AK7|122481	31.8605	AK7|122481	56.3201
AKAP10|11216	708.0351	AKAP10|11216	707.1865
AKAP11|11215	2403.3152	AKAP11|11215	3276.7584
AKAP12|9590	926.9684	AKAP12|9590	4496.1774
AKAP13|11214	3745.5465	AKAP13|11214	4729.103
AKAP1|8165	1779.6674	AKAP1|8165	2439.8573
AKAP2|11217	676.0088	AKAP2|11217	2363.736
AKAP3|10566	67.5959	AKAP3|10566	49.949
AKAP5|9495	204.51	AKAP5|9495	145.2599
AKAP6|9472	31.8605	AKAP6|9472	202.0897
AKAP7|9465	134.9766	AKAP7|9465	218.1448
AKAP8L|26993	552.8228	AKAP8L|26993	808.104
AKAP8|10270	687.1535	AKAP8|10270	765.2905
AKAP9|10142	5844.8953	AKAP9|10142	4170.7441
AKD1|221264	247.3494	AKD1|221264	218.9093
AKIRIN1|79647	1487.541	AKIRIN1|79647	1341.2334
AKIRIN2|55122	467.3591	AKIRIN2|55122	707.1865
AKNA|80709	525.483	AKNA|80709	878.1855
AKR1A1|10327	2239.492	AKR1A1|10327	1069.8267
AKR1B1|231	484.3657	AKR1B1|231	853.9755
AKR1C1|1645	38.534	AKR1C1|1645	1430.5632
AKR1C2|1646	23.2496	AKR1C2|1646	1332.8236
AKR1C3|8644	492.9767	AKR1C3|8644	1901.3761
AKR1D1|6718	5.1666	lowly_expressed	lowly_expressed
AKR1E2|83592	12.4859	AKR1E2|83592	39.6203
AKR7A2|8574	1167.6444	AKR7A2|8574	690.367
AKR7A3|22977	472.741	AKR7A3|22977	114.4241
AKR7L|246181	45.638000000000005	AKR7L|246181	32.6198
AKT1S1|84335	786.1794	AKT1S1|84335	566.0041
AKT1|207	4112.5881	AKT1|207	2448.2671
AKT2|208	2013.4546	AKT2|208	1963.3028
AKT3|10000	666.2719999999999	AKT3|10000	1884.5566
AKTIP|64400	1182.3303	AKTIP|64400	794.3782
ALAD|210	1493.7839999999999	ALAD|210	1806.5749
ALAS1|211	1488.4021	ALAS1|211	799.1845
ALB|213	7.3193	ALB|213	52.4975
ALCAM|214	5390.8832	ALCAM|214	3990.5708
ALDH16A1|126133	351.1114	ALDH16A1|126133	336.3914
ALDH18A1|5832	4785.5336	ALDH18A1|5832	1107.5433
ALDH1A1|216	457.6718	ALDH1A1|216	3168.1957
