gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
AGMAT|79814	37.5515	AGMAT|79814	10.3093
AGPAT1|10554	1608.2767	AGPAT1|10554	1711.3454
AGPAT2|10555	1441.9006	AGPAT2|10555	5748.9691
AGPAT3|56894	2463.0712	AGPAT3|56894	2006.701
AGPAT4|56895	192.7388	AGPAT4|56895	385.567
AGPAT5|55326	756.3943	AGPAT5|55326	362.3711
AGPAT6|137964	1787.1444	AGPAT6|137964	1573.1959
AGPAT9|84803	121.4676	AGPAT9|84803	214.433
AGPHD1|123688	36.7851	AGPHD1|123688	49.4845
AGPS|8540	464.0291	AGPS|8540	2052.0619
AGR2|10551	14578.0247	AGR2|10551	16.4948
AGR3|155465	1972.6027	lowly_expressed	lowly_expressed
AGRN|375790	11789.635	AGRN|375790	836.5979
AGTPBP1|23287	209.9818	AGTPBP1|23287	668.0412
AGTR1|185	75.8693	AGTR1|185	1150
AGTRAP|57085	939.9368	AGTRAP|57085	667.0103
AGT|183	321.8699	AGT|183	108.2474
AGXT2L2|85007	318.1378	AGXT2L2|85007	691.1546
AHCTF1|25909	1515.0877	AHCTF1|25909	1417.0103
AHCYL1|10768	4013.7944	AHCYL1|10768	5145.3608
AHCYL2|23382	780.9177	AHCYL2|23382	654.6392
AHCY|191	4441.4216	AHCY|191	1737.1134
AHDC1|27245	657.5342	AHDC1|27245	652.0619
AHI1|54806	222.2435	AHI1|54806	309.2784
AHNAK2|113146	1195.9	AHNAK2|113146	3235.567
AHNAK|79026	46385.6691	AHNAK|79026	142264.9485
AHRR|57491	21.8412	AHRR|57491	11.3402
AHR|196	2745.0905	AHR|196	2336.5979
AHSA1|10598	1950.7616	AHSA1|10598	1382.4742
AHSA2|130872	217.6454	AHSA2|130872	383.5052
AIDA|64853	1560.7664	AIDA|64853	2144.1701
AIF1L|83543	347.926	AIF1L|83543	3273.7113
AIF1|199	454.4497	AIF1|199	1444.3299
AIFM1|9131	1087.4605	AIFM1|9131	899.4845
AIFM2|84883	322.6363	AIFM2|84883	2673.1959
AIFM3|150209	23.9601	AIFM3|150209	12.8866
AIG1|51390	1109.3017	AIG1|51390	896.3918
AIM1|202	1703.9946	AIM1|202	1809.7938
lowly_expressed	lowly_expressed	AIM2|9447	6.701
AIMP1|9255	894.4688	AIMP1|9255	712.8144
AIMP2|7965	493.3921	AIMP2|7965	266.9227
AIP|9049	815.787	AIP|9049	980.4124
lowly_expressed	lowly_expressed	AJAP1|55966	17.5258
AK1|203	581.2817	AK1|203	772.6804
AK2|204	2163.4256	AK2|204	1691.7526
AK3L1|205	116.4863	AK3L1|205	531.4433
AK3|50808	1423.8912	AK3|50808	3184.5361
AK5|26289	254.8137	AK5|26289	5.1546
AK7|122481	27.2057	AK7|122481	10.3093
AKAP10|11216	355.2064	AKAP10|11216	473.7113
AKAP11|11215	2080.6591	AKAP11|11215	2418.0412
AKAP12|9590	777.8523	AKAP12|9590	12743.299
AKAP13|11214	2054.6029	AKAP13|11214	3690.2062
AKAP1|8165	1482.1343	AKAP1|8165	2553.6082
AKAP2|11217	370.6907	AKAP2|11217	2258.5361
AKAP3|10566	40.2337	AKAP3|10566	54.1237
