gene_id	TCGA-BH-A1FE-06A-11R-A213-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
ADAT3|113179	25.3076	ADAT3|113179	14.6699
ADA|100	163.0931	ADA|100	63.5697
ADCK1|57143	142.0035	ADCK1|57143	102.6895
ADCK2|90956	591.9156	ADCK2|90956	469.7869
ADCK4|79934	733.5677	ADCK4|79934	253.5802
ADCK5|203054	100.5272	ADCK5|203054	15.0192
ADCY1|107	235.8524	ADCY1|107	440.4471
ADCY2|108	44.9912	ADCY2|108	119.4551
ADCY3|109	1956.8963	ADCY3|109	918.8054
ADCY4|196883	406.3269	ADCY4|196883	337.7576
ADCY5|111	570.123	ADCY5|111	267.2022
ADCY6|112	2443.2337	ADCY6|112	1655.606
ADCY7|113	1091.7399	ADCY7|113	587.4956
ADCY9|115	1538.8401	ADCY9|115	580.8592
ADCYAP1R1|117	12.3023	ADCYAP1R1|117	46.4548
ADC|113451	110.7206	ADC|113451	98.1488
ADD1|118	7228.1195	ADD1|118	4656.3046
lowly_expressed	lowly_expressed	ADD2|119	25.847
ADD3|120	1689.6309	ADD3|120	4191.4076
ADH1A|124	8.0844	ADH1A|124	109.3259
ADH1B|125	892.0914	ADH1B|125	15398.8823
ADH1C|126	21.7926	ADH1C|126	173.2448
lowly_expressed	lowly_expressed	ADH4|127	7.6842
ADH5|128	3525.4833	ADH5|128	3559.5529
ADHFE1|137872	261.5114	ADHFE1|137872	329.0255
ADI1|55256	2415.4657	ADI1|55256	1471.8826
lowly_expressed	lowly_expressed	ADIPOQ|9370	14022.0049
ADIPOR1|51094	2185.5888	ADIPOR1|51094	2392.9445
ADIPOR2|79602	2840.0703	ADIPOR2|79602	1899.4062
ADK|132	191.9156	ADK|132	407.6144
ADM2|79924	10.5448	ADM2|79924	55.5362
ADM|133	3200	ADM|133	144.2543
ADNP2|22850	897.7153	ADNP2|22850	1035.2777
ADNP|23394	2004.5694	ADNP|23394	4292.0014
ADORA1|134	34.0949	ADORA1|134	328.3269
ADORA2A|135	54.123	ADORA2A|135	47.1498
ADORA2B|136	35.5009	ADORA2B|136	133.4265
ADORA3|140	53.4271	ADORA3|140	82.0817
ADO|84890	682.9525	ADO|84890	950.4017
ADPGK|83440	844.2882	ADPGK|83440	948.2885
ADPRHL1|113622	54.833	ADPRHL1|113622	66.7132
ADPRHL2|54936	568.0141	ADPRHL2|54936	317.4991
ADPRH|141	488.225	ADPRH|141	351.3797
ADRA1A|148	23.9016	ADRA1A|148	21.3063
ADRA1B|147	55.1845	ADRA1B|147	8.0335
ADRA1D|146	11.5993	lowly_expressed	lowly_expressed
ADRA2A|150	286.116	ADRA2A|150	387.7052
ADRA2B|151	28.1195	ADRA2B|151	8.3828
ADRA2C|152	47.4517	ADRA2C|152	12.9235
lowly_expressed	lowly_expressed	ADRB1|153	15.7178
ADRB2|154	48.1547	ADRB2|154	219.6996
ADRB3|155	94.5518	lowly_expressed	lowly_expressed
ADRBK1|156	1714.2355	ADRBK1|156	881.942
ADRBK2|157	433.7434	ADRBK2|157	2182.6755
ADRM1|11047	1600.703	ADRM1|11047	258.8194
ADSL|158	1000	ADSL|158	922.1097
ADSSL1|122622	72.7592	ADSSL1|122622	72.6511
ADSS|159	1104.7452	ADSS|159	2052.7419
AEBP1|165	27750.4394	AEBP1|165	1168.7042
AEBP2|121536	731.1072	AEBP2|121536	1840.3772
AEN|64782	927.9438	AEN|64782	521.481
AES|166	5649.9121	AES|166	3324.1355
AFAP1L1|134265	800	AFAP1L1|134265	197.3454
AFAP1L2|84632	1013.7083	AFAP1L2|84632	849.8079
AFAP1|60312	1498.8682	AFAP1|60312	1877.3908
