gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
ALG11|440138	8.8353	ALG11|440138	14.3691
ALG12|79087	760.2410000000001	ALG12|79087	444.5442
ALG13|79868	355.4217	ALG13|79868	421.6435
ALG14|199857	198.3936	ALG14|199857	227.2115
ALG1|56052	791.0482	ALG1|56052	413.3992
ALG2|85365	973.8956	ALG2|85365	692.4113
ALG3|10195	1568.2731	ALG3|10195	544.6789
ALG5|29880	593.9759	ALG5|29880	577.9075
ALG6|29929	625.7028	ALG6|29929	228.5586
ALG8|79053	1601.6064	ALG8|79053	767.8491
ALG9|79796	830.9237	ALG9|79796	907.9479
ALKBH1|8846	197.99200000000002	ALKBH1|8846	242.4787
ALKBH2|121642	355.0201	ALKBH2|121642	247.4181
ALKBH3|221120	247.7912	ALKBH3|221120	390.211
ALKBH4|54784	260.6024	ALKBH4|54784	195.7836
ALKBH5|54890	2301.2048	ALKBH5|54890	2105.9722
ALKBH6|84964	129.7189	ALKBH6|84964	79.0301
ALKBH7|84266	549.3976	ALKBH7|84266	315.6713
ALKBH8|91801	452.2088	ALKBH8|91801	239.3354
lowly_expressed	lowly_expressed	ALK|238	8.9807
ALMS1|7840	1004.4177	ALMS1|7840	742.7032
lowly_expressed	lowly_expressed	ALOX12P2|245	10.7768
lowly_expressed	lowly_expressed	ALOX12|239	6.7355
ALOX15B|247	998.7952	ALOX15B|247	64.2119
ALOX15|246	33.7349	lowly_expressed	lowly_expressed
