gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
ADAM23|8745	66.7273	ADAM23|8745	63.8395
ADAM28|10863	135.568	ADAM28|10863	101.2312
ADAM32|203102	31.703	ADAM32|203102	49.2476
ADAM33|80332	64.6137	ADAM33|80332	571.8741
ADAM6|8755	29989.2361	ADAM6|8755	23994.2818
ADAM8|101	601.753	ADAM8|101	55.1756
ADAM9|8754	1812.2035	ADAM9|8754	1783.4017
ADAMDEC1|27299	406.1003	ADAMDEC1|27299	11.3999
ADAMTS10|81794	176.9329	ADAMTS10|81794	119.015
ADAMTS12|81792	205.3146	ADAMTS12|81792	107.1591
ADAMTS13|11093	9.3599	ADAMTS13|11093	38.7597
ADAMTS14|140766	153.684	ADAMTS14|140766	7.7519
ADAMTS15|170689	207.7301	ADAMTS15|170689	274.5098
ADAMTS16|170690	66.7273	ADAMTS16|170690	145.4628
ADAMTS17|170691	48.0074	ADAMTS17|170691	20.0638
ADAMTS18|170692	16.6063	ADAMTS18|170692	134.9749
ADAMTS19|171019	84.5413	lowly_expressed	lowly_expressed
ADAMTS1|9510	589.9776	ADAMTS1|9510	3504.332
ADAMTS2|9509	535.6296	ADAMTS2|9509	698.1304
ADAMTS3|9508	19.6257	ADAMTS3|9508	84.8153
ADAMTS4|9507	665.4609	ADAMTS4|9507	102.1432
ADAMTS5|11096	165.4594	ADAMTS5|11096	1520.7478
ADAMTS6|11174	61.2925	ADAMTS6|11174	20.5198
ADAMTS7|11173	345.1097	ADAMTS7|11173	38.3037
ADAMTS8|11095	23.8527	ADAMTS8|11095	97.1272
ADAMTS9|56999	449.5787	ADAMTS9|56999	1045.1436
ADAMTSL1|92949	180.2542	ADAMTSL1|92949	295.0296
ADAMTSL2|9719	187.1986	ADAMTSL2|9719	29.1838
ADAMTSL3|57188	158.8169	ADAMTSL3|57188	171.9106
ADAMTSL4|54507	151.2686	ADAMTSL4|54507	990.8801
ADAMTSL5|339366	58.2731	ADAMTSL5|339366	31.4637
ADAP1|11033	209.0918	ADAP1|11033	96.8491
ADAP2|55803	660.0261	ADAP2|55803	272.2298
ADARB1|104	545.8954	ADARB1|104	779.7538
ADARB2|105	10.2657	lowly_expressed	lowly_expressed
ADAR|103	12679.688	ADAR|103	6274.5098
ADAT1|23536	199.276	ADAT1|23536	285.4537
ADAT2|134637	56.4615	ADAT2|134637	149.5668
ADAT3|113179	56.1596	ADAT3|113179	20.0638
ADA|100	209.5417	ADA|100	95.3032
ADCK1|57143	201.0876	ADCK1|57143	179.2066
ADCK2|90956	1334.2432	ADCK2|90956	749.658
ADCK4|79934	528.9871	ADCK4|79934	493.3881
ADCK5|203054	160.9304	ADCK5|203054	49.2476
ADCY1|107	2213.7748	ADCY1|107	564.5235
ADCY2|108	14.7947	ADCY2|108	69.3114
ADCY3|109	1051.7544	ADCY3|109	1512.4852
ADCY4|196883	287.7424	ADCY4|196883	565.4355
ADCY5|111	339.9769	ADCY5|111	322.8454
ADCY6|112	528.9871	ADCY6|112	1958.5043
ADCY7|113	378.3224	ADCY7|113	480.6202
lowly_expressed	lowly_expressed	ADCY8|114	14.5919
ADCY9|115	1038.0466	ADCY9|115	862.7451
lowly_expressed	lowly_expressed	ADCYAP1R1|117	5.016
lowly_expressed	lowly_expressed	ADCYAP1|116	15.9599
ADC|113451	238.5273	ADC|113451	126.311
ADD1|118	6506.0583	ADD1|118	6993.1601
ADD2|119	41.6668	ADD2|119	76.6074
ADD3|120	1442.3353	ADD3|120	2617.4191
lowly_expressed	lowly_expressed	ADH1A|124	89.3753
ADH1B|125	296.4985	ADH1B|125	7890.5609
ADH1C|126	15.0967	ADH1C|126	303.6936
lowly_expressed	lowly_expressed	ADH4|127	131.3269
ADH5|128	1676.6355	ADH5|128	3522.1158
lowly_expressed	lowly_expressed	ADH7|131	106.7031
ADHFE1|137872	8.1522	ADHFE1|137872	97.1272
ADI1|55256	1196.5616	ADI1|55256	1645.2348
ADIPOQ|9370	509.6634	ADIPOQ|9370	9685.3625
ADIPOR1|51094	4968.3121	ADIPOR1|51094	2061.5595
ADIPOR2|79602	5158.2281	ADIPOR2|79602	2653.8988
ADK|132	521.7407	ADK|132	345.6452
ADM2|79924	498.1899	ADM2|79924	44.2316
