gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
ALAD|210	1114.0097	ALAD|210	1533.8958
ALAS1|211	718.5185	ALAS1|211	891.4424
ALB|213	10.9501	ALB|213	111.7796
ALCAM|214	5918.1965	ALCAM|214	5979.0916
ALDH16A1|126133	474.3961	ALDH16A1|126133	511.6712
ALDH18A1|5832	1790.3382	ALDH18A1|5832	2217.987
ALDH1A1|216	3340.0966	ALDH1A1|216	1719.1705
ALDH1A2|8854	329.1465	ALDH1A2|8854	525.0847
ALDH1A3|220	699.6747	ALDH1A3|220	1269.0619
ALDH1B1|219	540.0966	ALDH1B1|219	938.1104
ALDH1L1|10840	253.4622	ALDH1L1|10840	43.8735
ALDH1L2|160428	725.9259	ALDH1L2|160428	442.0884
ALDH2|217	3990.9823	ALDH2|217	1528.3068
lowly_expressed	lowly_expressed	ALDH3A1|218	21.2381
ALDH3A2|224	2186.1514	ALDH3A2|224	1465.4308
ALDH3B1|221	203.5427	ALDH3B1|221	248.4302
ALDH3B2|222	3823.8325	ALDH3B2|222	3257.8169
ALDH4A1|8659	597.7456	ALDH4A1|8659	1171.4504
ALDH5A1|7915	342.9952	ALDH5A1|7915	585.4457
ALDH6A1|4329	806.8631	ALDH6A1|4329	513.7894
ALDH7A1|501	2154.9114	ALDH7A1|501	3965.1024
ALDH8A1|64577	39.9356	ALDH8A1|64577	20.6792
ALDH9A1|223	3099.1948	ALDH9A1|223	4409.9853
ALDOA|226	21437.6812	ALDOA|226	13577.0315
ALDOC|230	345.8937	ALDOC|230	532.071
ALG10B|144245	425.1208	ALG10B|144245	333.6622
ALG10|84920	148.4702	ALG10|84920	117.648
ALG11|440138	24.4767	ALG11|440138	15.3697
ALG12|79087	480.1932	ALG12|79087	547.7201
ALG13|79868	550.4026	ALG13|79868	589.9169
ALG14|199857	211.5942	ALG14|199857	165.4338
ALG1|56052	594.6184	ALG1|56052	647.8188
ALG2|85365	681.1594	ALG2|85365	934.4776
ALG3|10195	721.7391	ALG3|10195	743.3344
ALG5|29880	742.3510000000001	ALG5|29880	630.7165
ALG6|29929	339.4525	ALG6|29929	330.5882
ALG8|79053	1068.9211	ALG8|79053	922.7407
ALG9|79796	673.43	ALG9|79796	592.9909
ALKBH1|8846	253.7842	ALKBH1|8846	227.75099999999998
ALKBH2|121642	246.6989	ALKBH2|121642	354.9003
ALKBH3|221120	332.6892	ALKBH3|221120	316.3363
ALKBH4|54784	257.2335	ALKBH4|54784	242.1202
ALKBH5|54890	2159.0016	ALKBH5|54890	2116.4911
ALKBH6|84964	68.9211	ALKBH6|84964	67.3472
ALKBH7|84266	373.913	ALKBH7|84266	401.2888
ALKBH8|91801	289.211	ALKBH8|91801	292.5831
ALMS1P|200420	6.4412	lowly_expressed	lowly_expressed
ALMS1|7840	790.6602	ALMS1|7840	769.0438
lowly_expressed	lowly_expressed	ALOX12P2|245	17.3258
lowly_expressed	lowly_expressed	ALOX12|239	6.7068
ALOX15B|247	4152.3349	ALOX15B|247	8091.4469
lowly_expressed	lowly_expressed	ALOX15|246	66.5089
