gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
ADAM33|80332	44.5395	ADAM33|80332	387.3649
ADAM6|8755	2799.2153	ADAM6|8755	1394.4698
ADAM8|101	157.4953	ADAM8|101	23.3807
ADAM9|8754	722.2745	ADAM9|8754	3035.1903
ADAMDEC1|27299	6.8876	lowly_expressed	lowly_expressed
ADAMTS10|81794	152.4444	ADAMTS10|81794	168.4361
ADAMTS12|81792	362.2852	ADAMTS12|81792	489.0851
ADAMTS13|11093	11.0201	ADAMTS13|11093	29.5837
ADAMTS14|140766	38.1111	lowly_expressed	lowly_expressed
ADAMTS15|170689	904.565	ADAMTS15|170689	498.6282
ADAMTS16|170690	65.6613	ADAMTS16|170690	235.7151
ADAMTS17|170691	17.9076	ADAMTS17|170691	14.3147
ADAMTS18|170692	393.9679	ADAMTS18|170692	255.2785
ADAMTS19|171019	289.7363	lowly_expressed	lowly_expressed
ADAMTS1|9510	486.2611	ADAMTS1|9510	5760.229
ADAMTS2|9509	424.7323	ADAMTS2|9509	943.8149
ADAMTS3|9508	16.5301	ADAMTS3|9508	131.6951
ADAMTS4|9507	206.1673	ADAMTS4|9507	417.5116
ADAMTS5|11096	50.5087	ADAMTS5|11096	3197.4234
ADAMTS6|11174	33.0602	ADAMTS6|11174	31.4923
ADAMTS7|11173	112.9558	ADAMTS7|11173	156.9844
ADAMTS8|11095	16.9893	ADAMTS8|11095	27.1979
ADAMTS9|56999	184.5864	ADAMTS9|56999	1128.4743
ADAMTSL1|92949	101.4766	ADAMTSL1|92949	217.106
ADAMTSL2|9719	168.0562	ADAMTSL2|9719	143.624
ADAMTSL3|57188	202.494	ADAMTSL3|57188	839.7948
ADAMTSL4|54507	75.3039	ADAMTSL4|54507	1190.0274
ADAMTSL5|339366	27.091	ADAMTSL5|339366	13.8375
ADAP1|11033	644.7757	ADAP1|11033	46.6897
ADAP2|55803	280.0937	ADAP2|55803	295.8368
ADARB1|104	715.3869	ADARB1|104	1601.8132
ADARB2|105	11.4793	lowly_expressed	lowly_expressed
ADAR|103	14744.8679	ADAR|103	5058.3323
ADAT1|23536	283.3079	ADAT1|23536	277.7049
ADAT2|134637	61.0696	ADAT2|134637	93.5226
ADAT3|113179	30.7644	ADAT3|113179	17.1776
ADA|100	152.4444	ADA|100	156.5072
ADCK1|57143	219.4833	ADCK1|57143	162.7102
ADCK2|90956	933.4927	ADCK2|90956	647.5009
ADCK4|79934	854.9746	ADCK4|79934	320.1718
ADCK5|203054	109.7416	ADCK5|203054	61.5531
ADCY1|107	63.3655	ADCY1|107	211.3802
ADCY2|108	19.7443	ADCY2|108	60.1217
ADCY3|109	1723.683	ADCY3|109	1520.7873
ADCY4|196883	91.834	ADCY4|196883	748.658
ADCY5|111	27.5502	ADCY5|111	956.2209
ADCY6|112	1114.8648	ADCY6|112	6236.908
ADCY7|113	403.1513	ADCY7|113	684.7191
ADCY9|115	1719.1326	ADCY9|115	770.6072
lowly_expressed	lowly_expressed	ADCYAP1R1|117	46.2841
ADCYAP1|116	6.8876	ADCYAP1|116	8.1117
ADC|113451	104.6908	ADC|113451	51.5329
ADD1|118	3858.4057	ADD1|118	9356.0778
ADD2|119	440.8032	ADD2|119	88.2739
ADD3|120	514.2704	ADD3|120	3122.987
ADH1A|124	15.6118	ADH1A|124	1316.9128
ADH1B|125	1322.4097	ADH1B|125	97362.2808
ADH1C|126	89.9973	ADH1C|126	544.9123
ADH5|128	1331.1339	ADH5|128	6903.4952
ADH7|131	241.9826	ADH7|131	33.8781
ADHFE1|137872	47.7537	ADHFE1|137872	944.292
ADI1|55256	1068.0295	ADI1|55256	2758.4397
ADIPOQ|9370	1392.6627	ADIPOQ|9370	121963.9747
ADIPOR1|51094	4714.7578	ADIPOR1|51094	2449.2425
ADIPOR2|79602	18223.9992	ADIPOR2|79602	6643.4451
ADK|132	310.3989	ADK|132	640.8207
ADM2|79924	490.3936	lowly_expressed	lowly_expressed
ADM|133	106.5274	ADM|133	1500.1789
ADNP2|22850	561.1058	ADNP2|22850	670.4044
ADNP|23394	4745.0631	ADNP|23394	2182.0351
ADORA1|134	58.3146	ADORA1|134	497.6739
ADORA2A|135	2139.7094	ADORA2A|135	41.5126
ADORA2B|136	77.5997	ADORA2B|136	19.0862
ADORA3|140	159.7912	ADORA3|140	32.9238
ADO|84890	780.1299	ADO|84890	600.7396
ADPGK|83440	548.9699	ADPGK|83440	646.475
ADPRHL1|113622	46.3762	ADPRHL1|113622	133.1266
ADPRHL2|54936	338.8675	ADPRHL2|54936	358.3443
