gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
ADPGK|83440	953.3898	ADPGK|83440	798.2402
ADPRHL1|113622	385.5932	ADPRHL1|113622	97.5177
ADPRHL2|54936	790.678	ADPRHL2|54936	860.8156
ADPRH|141	168.6441	ADPRH|141	324.0248
ADRA1B|147	12.7119	ADRA1B|147	9.7518
lowly_expressed	lowly_expressed	ADRA1D|146	7.5355
ADRA2A|150	281.3559	ADRA2A|150	352.8369
lowly_expressed	lowly_expressed	ADRA2B|151	21.2766
ADRA2C|152	25.4237	ADRA2C|152	70.0355
lowly_expressed	lowly_expressed	ADRB1|153	26.5957
ADRB2|154	11.8644	ADRB2|154	58.9539
ADRBK1|156	1445.7627	ADRBK1|156	2026.5957
ADRBK2|157	358.4746	ADRBK2|157	571.8085
ADRM1|11047	1765.2542	ADRM1|11047	2276.5957
ADSL|158	1016.1017	ADSL|158	1195.4787
ADSSL1|122622	106.7797	ADSSL1|122622	183.0674
ADSS|159	1828.8136	ADSS|159	1379.8759
AEBP1|165	47533.0508	AEBP1|165	4122.7837
AEBP2|121536	299.1525	AEBP2|121536	475.6206
AEN|64782	358.4746	AEN|64782	631.6489
AES|166	5762.7119	AES|166	7824.0248
AFAP1L1|134265	160.1695	AFAP1L1|134265	192.3759
AFAP1L2|84632	216.1017	AFAP1L2|84632	1069.1489
AFAP1|60312	1415.2458	AFAP1|60312	1268.1649
AFARP1|246182	5.0847	lowly_expressed	lowly_expressed
AFF1|4299	1522.8814	AFF1|4299	1228.7234
AFF2|2334	14.4068	AFF2|2334	23.9362
AFF3|3899	1292.3729	AFF3|3899	1238.0319
AFF4|27125	2798.3051	AFF4|27125	1742.4645
AFG3L1|172	64.4068	AFG3L1|172	226.5071
AFG3L2|10939	1504.0339	AFG3L2|10939	1446.711
AFMID|125061	211.8644	AFMID|125061	748.227
lowly_expressed	lowly_expressed	AFP|174	65.6028
AFTPH|54812	1503.3898	AFTPH|54812	1102.3936
AG2|387763	311.0169	AG2|387763	158.2447
AGAP11|119385	11.8644	AGAP11|119385	23.9362
AGAP1|116987	373.7288	AGAP1|116987	545.656
AGAP2|116986	144.3644	AGAP2|116986	144.6809
AGAP3|116988	820.339	AGAP3|116988	1952.5709
AGAP4|119016	80.5085	AGAP4|119016	168.4397
AGAP5|729092	15.2542	AGAP5|729092	31.3076
AGAP6|414189	24.5763	AGAP6|414189	87.766
lowly_expressed	lowly_expressed	AGAP7|653268	10.195
AGAP8|728404	9.322	AGAP8|728404	17.2872
AGA|175	905.9322	AGA|175	619.2376
AGBL2|79841	8.4746	AGBL2|79841	8.8652
AGBL4|84871	5.9322	AGBL4|84871	10.6383
AGBL5|60509	372.9068	AGBL5|60509	884.3395
lowly_expressed	lowly_expressed	AGER|177	33.2447
AGFG1|3267	2273.7288	AGFG1|3267	1448.1383
AGFG2|3268	79.661	AGFG2|3268	584.2199
AGGF1|55109	815.2542	AGGF1|55109	707.8901
AGK|55750	444.9153	AGK|55750	509.7518
AGL|178	1419.4915	AGL|178	513.7411
AGMAT|79814	10.1695	AGMAT|79814	14.1844
AGPAT1|10554	1191.5932	AGPAT1|10554	1881.5293
AGPAT2|10555	1675.4237	AGPAT2|10555	1365.2482
AGPAT3|56894	1151.6949	AGPAT3|56894	2526.1525
AGPAT4|56895	231.3559	AGPAT4|56895	186.6135
AGPAT5|55326	891.5254	AGPAT5|55326	801.8617
AGPAT6|137964	1460.1695	AGPAT6|137964	2614.805
