gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
ADAMTS7|11173	64.7399	ADAMTS7|11173	135.4079
lowly_expressed	lowly_expressed	ADAMTS8|11095	80.7401
ADAMTS9|56999	159.8266	ADAMTS9|56999	854.4996
ADAMTSL1|92949	50	ADAMTSL1|92949	253.5744
ADAMTSL2|9719	64.1618	ADAMTSL2|9719	97.561
ADAMTSL3|57188	84.3931	ADAMTSL3|57188	384.7771
ADAMTSL4|54507	43.6416	ADAMTSL4|54507	1406.2237
lowly_expressed	lowly_expressed	ADAMTSL5|339366	58.032
ADAP1|11033	102.7428	ADAP1|11033	146.6442
ADAP2|55803	171.6763	ADAP2|55803	313.709
ADARB1|104	286.7052	ADARB1|104	870.0589
ADARB2|105	5.7803	ADARB2|105	8.4104
ADAR|103	27349.422	ADAR|103	9140.0336
ADAT1|23536	414.1618	ADAT1|23536	308.6627
ADAT2|134637	55.4913	ADAT2|134637	132.4643
ADAT3|113179	12.4277	ADAT3|113179	22.7082
ADA|100	63.8728	ADA|100	115.2229
ADCK1|57143	203.7572	ADCK1|57143	198.9066
ADCK2|90956	761.2717	ADCK2|90956	631.6232
ADCK4|79934	830.3468	ADCK4|79934	502.1026
ADCK5|203054	360.6936	ADCK5|203054	94.6173
ADCY1|107	951.1561	ADCY1|107	941.5475
ADCY2|108	10.4046	ADCY2|108	68.545
ADCY3|109	943.4653	ADCY3|109	1465.8957
ADCY4|196883	104.6243	ADCY4|196883	621.9512
ADCY5|111	1745.0867	ADCY5|111	672.4138
ADCY6|112	2245.6647	ADCY6|112	3565.6013
ADCY7|113	196.2428	ADCY7|113	585.7864
ADCY9|115	1083.237	ADCY9|115	875.5257
lowly_expressed	lowly_expressed	ADCYAP1R1|117	37.0059
ADC|113451	47.1098	ADC|113451	136.6695
ADD1|118	5550	ADD1|118	6616.905
ADD2|119	17.341	ADD2|119	59.714
ADD3|120	854.6243	ADD3|120	3559.714
ADH1A|124	9.5376	ADH1A|124	201.8503
ADH1B|125	784.3931	ADH1B|125	23377.2077
lowly_expressed	lowly_expressed	ADH1C|126	375.1051
lowly_expressed	lowly_expressed	ADH4|127	18.5029
ADH5|128	1054.6243	ADH5|128	3330.9504
ADHFE1|137872	78.9017	ADHFE1|137872	341.8839
ADI1|55256	1167.6301	ADI1|55256	1788.0572
ADIPOQ|9370	638.4393	ADIPOQ|9370	31914.6341
ADIPOR1|51094	7192.4855	ADIPOR1|51094	2159.3776
ADIPOR2|79602	10821.0983	ADIPOR2|79602	3212.7839
ADK|132	386.9942	ADK|132	317.0732
ADM2|79924	37.5723	ADM2|79924	104.7098
ADM|133	43.0636	ADM|133	659.3776
ADNP2|22850	827.7457	ADNP2|22850	666.947
ADNP|23394	4265.0289	ADNP|23394	2244.7435
ADORA1|134	553.7572	ADORA1|134	346.5097
ADORA2A|135	78.3237	ADORA2A|135	66.4424
lowly_expressed	lowly_expressed	ADORA2B|136	56.3499
ADORA3|140	104.9133	ADORA3|140	61.3961
ADO|84890	728.9017	ADO|84890	581.5812
ADPGK|83440	810.1532	ADPGK|83440	802.0858
ADPRHL1|113622	162.4277	ADPRHL1|113622	72.7502
ADPRHL2|54936	483.237	ADPRHL2|54936	591.2532
ADPRH|141	113.2948	ADPRH|141	504.2052
lowly_expressed	lowly_expressed	ADRA1A|148	66.0219
ADRA1B|147	6.6474	ADRA1B|147	63.0782
lowly_expressed	lowly_expressed	ADRA1D|146	7.9899
ADRA2A|150	146.8208	ADRA2A|150	2155.1724
lowly_expressed	lowly_expressed	ADRA2B|151	20.185
ADRA2C|152	73.4104	ADRA2C|152	90.8326
lowly_expressed	lowly_expressed	ADRB1|153	109.3356
ADRB2|154	13.8728	ADRB2|154	352.8175
lowly_expressed	lowly_expressed	ADRB3|155	12.6156
ADRBK1|156	4658.3815	ADRBK1|156	1595.0378
ADRBK2|157	265.0289	ADRBK2|157	2064.7603
ADRM1|11047	2117.341	ADRM1|11047	1153.4903
ADSL|158	676.3006	ADSL|158	695.122
ADSSL1|122622	58.9595	ADSSL1|122622	158.9571
ADSS|159	2326.8786	ADSS|159	981.9176
AEBP1|165	2136.7052	AEBP1|165	9984.4407
AEBP2|121536	802.6012	AEBP2|121536	674.0959
AEN|64782	310.1156	AEN|64782	457.9479
AES|166	2261.2717	AES|166	6834.3146
AFAP1L1|134265	241.9075	AFAP1L1|134265	798.5702
AFAP1L2|84632	76.3006	AFAP1L2|84632	1061.3961
AFAP1|60312	519.6532	AFAP1|60312	1458.7805
AFARP1|246182	8.9595	lowly_expressed	lowly_expressed
AFF1|4299	2374.5665	AFF1|4299	2813.2885
AFF2|2334	6.9364	AFF2|2334	98.8225
AFF3|3899	15743.0636	AFF3|3899	1849.4533
AFF4|27125	6540.7514	AFF4|27125	3345.6686
AFG3L1|172	143.6416	AFG3L1|172	297.7292
AFG3L2|10939	1058.0029	AFG3L2|10939	1267.3255
AFMID|125061	568.4971	AFMID|125061	499.159
lowly_expressed	lowly_expressed	AFP|174	22.2876
AFTPH|54812	2378.3237	AFTPH|54812	1485.2817
AG2|387763	108.3815	AG2|387763	975.6098
AGAP11|119385	25.1445	AGAP11|119385	175.778
AGAP1|116987	774.5665	AGAP1|116987	427.6703
AGAP2|116986	143.3121	AGAP2|116986	62.4432
AGAP3|116988	1092.4855	AGAP3|116988	1228.3431
AGAP4|119016	106.9364	AGAP4|119016	203.1119
AGAP5|729092	35.396	AGAP5|729092	72.3213
AGAP6|414189	37.2832	AGAP6|414189	120.6897
lowly_expressed	lowly_expressed	AGAP7|653268	10.0925
AGAP8|728404	36.4162	AGAP8|728404	41.2111
AGA|175	673.4104	AGA|175	485.2817
AGBL2|79841	9.2486	AGBL2|79841	6.3078
lowly_expressed	lowly_expressed	AGBL3|340351	6.7283
AGBL4|84871	7.8035	lowly_expressed	lowly_expressed
AGBL5|60509	988.4538	AGBL5|60509	685.0378
AGER|177	6.9364	AGER|177	36.1648
AGFG1|3267	1364.4509	AGFG1|3267	2077.3759
AGFG2|3268	240.1734	AGFG2|3268	535.3238
AGGF1|55109	1639.3064	AGGF1|55109	810.7653
AGK|55750	369.9422	AGK|55750	478.5534
AGL|178	1256.0694	AGL|178	1117.746
AGMAT|79814	8.0925	AGMAT|79814	8.831
AGPAT1|10554	5055.3931	AGPAT1|10554	1603.8352
AGPAT2|10555	886.1272	AGPAT2|10555	5343.1455
AGPAT3|56894	3549.1329	AGPAT3|56894	2026.0723
AGPAT4|56895	24.5665	AGPAT4|56895	284.693
AGPAT5|55326	718.4971	AGPAT5|55326	460.8915
AGPAT6|137964	1616.474	AGPAT6|137964	1728.7637
AGPAT9|84803	38.7283	AGPAT9|84803	198.0656
AGPHD1|123688	15.896	AGPHD1|123688	57.6114
AGPS|8540	1841.6185	AGPS|8540	1309.9243
AGR2|10551	2391.3295	AGR2|10551	3824.222
AGR3|155465	2357.2254	AGR3|155465	656.0135
AGRN|375790	1352.3121	AGRN|375790	4770.3953
AGTPBP1|23287	571.6763	AGTPBP1|23287	368.7973
AGTR1|185	1653.7572	AGTR1|185	484.8612
AGTRAP|57085	973.4104	AGTRAP|57085	693.4399
AGT|183	201.7341	AGT|183	195.963
AGXT2L2|85007	263.6908	AGXT2L2|85007	635.778
lowly_expressed	lowly_expressed	AGXT|189	7.1489
AHCTF1|25909	3050.8671	AHCTF1|25909	1244.323
AHCYL1|10768	4154.9133	AHCYL1|10768	4384.7771
AHCYL2|23382	707.2254	AHCYL2|23382	560.5551
AHCY|191	5161.8497	AHCY|191	1743.9024
AHDC1|27245	553.7572	AHDC1|27245	1050.4626
AHI1|54806	303.4682	AHI1|54806	447.0143
AHNAK2|113146	427.4566	AHNAK2|113146	1330.1093
AHNAK|79026	33096.8208	AHNAK|79026	99682.5063
AHRR|57491	11.2717	AHRR|57491	15.9798
AHR|196	1987.8613	AHR|196	3495.3743
AHSA1|10598	2728.3237	AHSA1|10598	1421.783
