gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
lowly_expressed	lowly_expressed	AKR1B10|57016	7.667
lowly_expressed	lowly_expressed	AKR1B15|441282	470.9748
AKR1B1|231	445.7829	AKR1B1|231	804.6732
AKR1C1|1645	97.902	AKR1C1|1645	690.7631
AKR1C2|1646	95.5802	AKR1C2|1646	1032.4936
AKR1C3|8644	202.3823	AKR1C3|8644	952.1723
lowly_expressed	lowly_expressed	AKR1D1|6718	216.1373
AKR1E2|83592	5.0305	AKR1E2|83592	29.5728
AKR7A2|8574	1003.7855	AKR7A2|8574	981.015
AKR7A3|22977	376.5163	AKR7A3|22977	321.6502
AKR7L|246181	39.4704	AKR7L|246181	25.5568
AKT1S1|84335	1001.4637	AKT1S1|84335	688.9376
AKT1|207	3582.1288	AKT1|207	2857.9774
AKT2|208	2198.3444	AKT2|208	2369.4779
AKT3|10000	1069.9564	AKT3|10000	1092.3695
AKTIP|64400	517.8279	AKTIP|64400	638.3498
ALAD|210	1611.7064	ALAD|210	1790.4345
ALAS1|211	591.2815	ALAS1|211	1022.2709
ALB|213	8.1263	ALB|213	1835.3414
ALCAM|214	3584.8376	ALCAM|214	7260.6791
ALDH16A1|126133	578.5117	ALDH16A1|126133	405.6225
ALDH18A1|5832	2742.0293	ALDH18A1|5832	1602.0445
ALDH1A1|216	405.1517	ALDH1A1|216	1122.6725
ALDH1A2|8854	18.1873	ALDH1A2|8854	249.3611
ALDH1A3|220	738.6104	ALDH1A3|220	3627.2034
ALDH1B1|219	790.1812	ALDH1B1|219	425.7028
ALDH1L1|10840	29.4093	ALDH1L1|10840	170.5002
ALDH1L2|160428	309.5715	ALDH1L2|160428	235.1223
ALDH2|217	3502.0272	ALDH2|217	3655.3487
lowly_expressed	lowly_expressed	ALDH3A1|218	55.8598
ALDH3A2|224	1001.8507	ALDH3A2|224	1838.6272
ALDH3B1|221	102.5455	ALDH3B1|221	126.3235
ALDH3B2|222	431.4652	ALDH3B2|222	6314.3483
ALDH4A1|8659	540.5892	ALDH4A1|8659	1054.7645
ALDH5A1|7915	737.554	ALDH5A1|7915	720.701
ALDH6A1|4329	502.1249	ALDH6A1|4329	602.636
ALDH7A1|501	1240.6077	ALDH7A1|501	2615.9182
ALDH8A1|64577	7.3523	ALDH8A1|64577	19.7152
ALDH9A1|223	3368.5245	ALDH9A1|223	2549.8357
ALDOA|226	27183.0835	ALDOA|226	15041.621000000001
ALDOC|230	133.8897	ALDOC|230	882.8039
ALG10B|144245	343.2374	ALG10B|144245	474.9909
ALG10|84920	118.0241	ALG10|84920	152.9755
ALG11|440138	17.0264	ALG11|440138	16.4294
ALG12|79087	535.5586	ALG12|79087	443.9576
ALG13|79868	544.0719	ALG13|79868	566.9953
ALG14|199857	244.9484	ALG14|199857	180.3578
ALG1|56052	784.7637	ALG1|56052	423.5086
ALG2|85365	885.3744	ALG2|85365	971.1574
ALG3|10195	672.1569999999999	ALG3|10195	541.0734
ALG5|29880	703.8881	ALG5|29880	591.4567
ALG6|29929	357.1681	ALG6|29929	294.6331
ALG8|79053	1059.1214	ALG8|79053	839.7225
ALG9|79796	600.5686	ALG9|79796	571.7415
ALKBH1|8846	269.7141	ALKBH1|8846	260.6791
ALKBH2|121642	263.1357	ALKBH2|121642	257.7583
ALKBH3|221120	342.4634	ALKBH3|221120	392.1139
ALKBH4|54784	308.3564	ALKBH4|54784	184.498
ALKBH5|54890	2177.7501	ALKBH5|54890	2244.5382
ALKBH6|84964	63.8491	ALKBH6|84964	60.24100000000001
ALKBH7|84266	369.164	ALKBH7|84266	335.889
ALKBH8|91801	272.8099	ALKBH8|91801	300.4746
lowly_expressed	lowly_expressed	ALK|238	51.1135
lowly_expressed	lowly_expressed	ALMS1P|200420	5.1114
ALMS1|7840	1050.6082	ALMS1|7840	997.4443
